Unit,-,-,-,yr,m2,m2,m2,m,m,kg,kg,kg,kg,kg/m2,EA = evergreen angiosperm;,FW = field wild;,"0 = supressed,",-,-,degree,degree,TropRF = Tropical rainforest;,m2/m2,mm,C,-
Description,First author and year of publication,Family,Latin name of species (genus species),"Age of plant expressed as decimal, e.g. 3 months = 0.25 years",Total leaf area,Individual leaf size (average area of individual leaves across entire plant),Area of total stem cross section at breast height ,"Total height of plant, from ground to highest leaf","Height of crown, from first branch bearing a live leaf to highest leaf, (Crown depth)",Total leaf mass,"Stem mass, mass of all stem tissue (= m.ss + m.sh + m.sb)",Bark mass,Branch mass,Leaf mass per area (average across entire plant or sample taken from top of plant; = m.lf/a.lf),Plant functional type,Growing environment of sampled plant,Position in forest canopy (wild grown plants only),"Note any information about light environment of sampled plant, we will determine appropriate categories once we see what information is available",Name of location where sampled,Latitude of location where sampled (-90 to 90 deg South to North),Longitude of location where sampled (-180 to 180 West to East),"Vegetation type where sampled, or where typically found for artifical plantings (plantations, glasshouse, common garden etc)",Leaf area of index of vegetation,Mean annual rainfall (wild grown plants only),Mean annual temperature,Full bibliographic reference of source publication
Alternative related variables,Name and year of collection for unpublished data,,,,Calculated using Total leaf mass and Leaf mass per area,,,,"Height to crown base, being the height of first branch bearing a live leaf",,,,,,,,,,,,,,,,,
Method,,,,"Age of plant expressed as decimal, e.g. 3 months = 0.25 years",Calculated using Total leaf mass and measured Leaf mass per area,,from circumference,"Total height of plant, from ground to highest leaf","Height to crown base, being the height of first  live leaf",Total leaf mass (dry mass),,,Branch mass,Leaf dry mass per area (average across entire plant),,,"Numbered from smaller to larger, corresponding to size class of the inventory","Numbered from smaller to larger, corresponding to size class of the inventory",Stand name,,,,LAI estimated from allometric relationships calibrated on the destructive data of this excel file (one relationship per date and per stand),estimated from a single meteorological station,estimated from a single meteorological station," Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Variable,contributor,family,species,age,a.lf,lf.sz,a.st,h.t,h.c,m.lf,m.st,m.sb,m.br,lf.ma,pft,growingCondition,status,light,location,latitude,longitude,vegetation,lai,map,mat,reference
Nouvellon et al. (2010),5-Jan-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.64,38.739,0.003583,0.012796,16.3,7.97,2.97,,,,0.077,EA,PM,7,7,Kissoko (Congo),-4.7914,11.9822,TropSF,2.031,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),5-Jan-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.64,44.392,0.003687,0.014104,16.5,7.5,3.709,,,,0.084,EA,PM,8,8,Kissoko (Congo),-4.7914,11.9822,TropSF,2.031,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),5-Jan-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.64,44.022,0.00384,0.015547,16.55,7.89,3.8,,,,0.086,EA,PM,9,9,Kissoko (Congo),-4.7914,11.9822,TropSF,2.031,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),23-Mar-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.86,4.515,0.003539,0.002665,11.3,8.52,0.335,,,,0.074,EA,PM,0,0,Kissoko (Congo),-4.7914,11.9822,TropSF,2.5718,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),23-Mar-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.86,9.289,0.003399,0.004855,13.45,7.35,0.744,,,,0.08,EA,PM,1,1,Kissoko (Congo),-4.7914,11.9822,TropSF,2.5718,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),23-Mar-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.86,19.87,0.003972,0.007451,15.65,8.85,1.66,,,,0.084,EA,PM,2,2,Kissoko (Congo),-4.7914,11.9822,TropSF,2.5718,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),23-Mar-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.86,25.086,0.003819,0.008302,15.14,7.69,2.256,,,,0.09,EA,PM,3,3,Kissoko (Congo),-4.7914,11.9822,TropSF,2.5718,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),23-Mar-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.86,27.71,0.003683,0.009199,15.75,7.9,2.442,,,,0.088,EA,PM,4,4,Kissoko (Congo),-4.7914,11.9822,TropSF,2.5718,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),23-Mar-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.86,41.037,0.003964,0.01125,15.9,8.25,3.507,,,,0.085,EA,PM,5,5,Kissoko (Congo),-4.7914,11.9822,TropSF,2.5718,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),23-Mar-05,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.86,37.34,0.003687,0.012228,16.75,9.7,3.338,,,,0.089,EA,PM,6,6,Kissoko (Congo),-4.7914,11.9822,TropSF,2.5718,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
