Soil,H2O,P,SpID,Ind,Diam,Ht,Lv,Lft,SF,SLA,Lf,Stem,Root,Cot,Sht,Tot
1,1,0,Gg,4,1.44,8.5,16,,73.5,56.97674419,0.129,0.062,0.052,,0.191,0.243
1,1,0,Gg,5,2.36,31,92,,638,63.73626374,1.001,0.503,0.415,,1.504,1.919
1,1,0,Gg,1,1.99,15,45,,231.6,55.53956835,0.417,0.219,0.243,,0.636,0.879
1,1,0,Gg,2,1.74,14.5,37,,255.1,59.46386946,0.429,0.168,0.185,,0.597,0.782
1,1,0,Gg,3,1.71,17.5,49,,218,52.53012048,0.415,0.164,0.117,,0.579,0.696
1,1,0,Gg,4,1.77,15,44,,241.2,56.48711944,0.427,0.187,0.236,,0.614,0.85
1,1,1,Gg,1,3.86,47,165,,1640.6,65.25855211,2.514,1.642,0.927,,4.156,5.083
1,1,1,Gg,2,3.73,44,125,,1582.5,58.56772761,2.702,1.556,1.404,,4.258,5.662
1,1,1,Gg,3,2.25,14,52,,309.4,66.68103448,0.464,0.179,0.165,,0.643,0.808
1,1,1,Gg,4,1.73,18,53,,263.9,62.38770686,0.423,0.167,0.154,,0.59,0.744
1,1,1,Gg,5,1.75,17,61,,286.1,59.11157025,0.484,0.188,0.291,,0.672,0.963
1,1,1,Gg,1,2.5,23,72,,514.4,68.86211513,0.747,0.433,0.302,,1.18,1.482
1,1,1,Gg,2,2.35,24,62,,485.7,65.90230665,0.737,0.379,0.352,,1.116,1.468
1,1,1,Gg,3,1.37,7.5,25,,74.6,66.60714286,0.112,0.064,0.022,,0.176,0.198
1,1,1,Gg,4,1.59,11,26,,189.8,79.08333333,0.24,0.079,0.134,,0.319,0.453
1,1,1,Gg,5,3.73,33,107,,1369.8,58.3887468,2.346,1.41,1.625,,3.756,5.381
1,1,1,Gg,1,4.04,42.5,72,,1424.4,57.45865268,2.479,1.575,1.418,,4.054,5.472
1,1,1,Gg,2,1.49,15.5,21,,122.8,64.97354497,0.189,0.085,0.086,,0.274,0.36
1,1,1,Gg,3,3.71,47,196,,1654.3,61.31578947,2.698,1.657,1.361,,4.355,5.716
1,1,1,Gg,4,1.94,19.5,114,,248.1,60.95823096,0.407,0.233,0.185,,0.64,0.825
1,1,1,Gg,5,2.1,19.5,46,,348.6,60.41594454,0.577,0.272,0.219,,0.849,1.068
0,0,0,Jc,1,2.01,11,22,,79.5,32.18623482,0.247,0.092,0.176,,0.383,0.594
0,0,0,Jc,2,2.21,12,16,,69.5,28.60082305,0.243,0.136,0.211,,0.347,0.553
0,0,0,Jc,3,1.89,9,11,,79.2,33,0.24,0.104,0.206,,0.3,0.45
0,0,0,Jc,4,1.73,8,18,,57.3,27.54807692,0.208,0.06,0.15,,0.319,0.577
0,0,0,Jc,5,2.66,12,15,,99.4,35.5,0.28,0.111,0.258,,0.678,1.317
0,0,0,Jc,2,2.97,19,24,,222.4,30.29972752,0.734,0.398,0.639,,1.132,1.771
0,0,0,Jc,3,3.09,17.5,21,,237.5,26.27212389,0.904,0.431,0.805,,1.335,2.14
0,0,0,Jc,4,2.23,14,17,,91.6,32.59786477,0.281,0.159,0.246,,0.44,0.686
0,0,0,Jc,5,2.74,12.5,13,,135.1,25.73333333,0.525,0.232,0.467,,0.757,1.224
0,0,0,Jc,1,1.75,10,18,,86,46.48648649,0.185,0.059,0.107,,0.244,0.351
0,0,0,Jc,2,1.77,9,14,,100,53.76344086,0.186,0.072,0.08,,0.258,0.338
0,0,0,Jc,3,1.85,11.5,17,,95.2,43.27272727,0.22,0.115,0.096,,0.335,0.431
0,0,0,Jc,4,2.98,13.5,14,,236.1,45.93385214,0.514,0.237,0.348,,0.751,1.099
0,0,0,Jc,5,1.85,11.5,12,,64.2,35.08196721,0.183,0.093,0.109,,0.276,0.385
1,0,0,Jc,1,3.73,16.5,18,,516.1,21.97105151,2.349,0.624,1.466,,2.973,4.439
1,0,0,Jc,2,2.08,11.5,9,,77.2,22.31213873,0.346,0.218,0.217,,0.564,0.781
1,0,0,Jc,3,4.17,14,17,,504.7,21.52238806,2.345,0.595,0.939,,2.94,3.879
1,0,0,Jc,4,4.21,25,20,,430.4,22.52223967,1.911,0.82,0.559,,2.731,3.29
1,0,0,Jc,5,3.75,19.5,18,,468.2,20.16365202,2.322,0.69,0.595,,3.012,3.607
1,0,0,Jc,1,3.29,18.5,20,,388.7,28.1870921,1.379,0.446,0.517,,1.825,2.342
1,0,0,Jc,2,3.4,16.5,17,,306.8,26.26712329,1.168,0.439,0.633,,1.607,2.24
1,0,0,Jc,3,3.78,19,20,,491.1,22.34303913,2.198,0.629,0.922,,2.827,3.749
1,0,0,Jc,4,4.62,21,21,,317.5,27.44165946,1.157,0.611,0.725,,1.768,2.493
1,0,0,Jc,5,3.93,22,22,,388.6,15.69466882,2.476,0.857,0.875,,3.333,4.208
1,0,0,Jc,1,1.91,8.5,18,,78.7,54.27586207,0.145,0.061,0.064,,0.206,0.27
1,0,0,Jc,2,2,13.5,16,,193.3,52.52717391,0.368,0.126,0.109,,0.494,0.603
1,0,0,Jc,3,3.02,14.5,16,,308.2,41.20320856,0.748,0.287,0.283,,1.035,1.318
1,0,0,Jc,4,2.88,10,14,,171.6,31.71903882,0.541,0.186,0.255,,0.727,0.982
1,0,0,Jc,5,3.47,16,18,,328.9,31.47368421,1.045,0.382,0.367,,1.427,1.794
0,0,1,Jc,3,4.29,12.5,13,,222.8,29.58831341,0.753,0.344,0.644,,1.097,1.741
0,0,1,Jc,4,3.21,13.5,13,,249.3,30.07237636,0.829,0.346,0.843,,1.175,2.018
0,0,1,Jc,5,2.13,11.5,9,,74.5,29.8,0.25,0.151,0.253,,0.401,0.654
0,0,1,Jc,1,2.41,15,12,,122.1,27.68707483,0.441,0.209,0.344,,0.65,0.994
0,0,1,Jc,3,2.28,13.5,10,,92.3,31.28813559,0.295,0.158,0.192,,0.453,0.645
0,0,1,Jc,4,2.87,14.5,11,,90.1,28.6031746,0.315,0.177,0.247,,0.492,0.739
0,0,1,Jc,5,2.59,11.5,6,,56.9,38.70748299,0.147,0.15,0.249,,0.297,0.546
0,0,1,Jc,1,1.89,9,5,,32.1,39.14634146,0.082,0.093,0.087,,0.175,0.262
0,0,1,Jc,4,1.43,10,4,,22.2,38.27586207,0.058,0.075,0.065,,0.133,0.198
0,0,1,Jc,5,1.76,6,5,,23.3,46.6,0.05,0.047,0.055,,0.097,0.152
1,0,1,Jc,1,4.61,17.5,17,,677.1,27.875669,2.429,0.775,1.678,,3.204,4.882
1,0,1,Jc,2,5.05,20,19,,381.2,21.41573034,1.78,0.401,1.694,,2.181,3.875
1,0,1,Jc,3,3.95,17.5,15,,363.4,14.65913675,2.479,0.591,0.697,,3.07,3.767
1,0,1,Jc,4,4.4,22,19,,474.1,25.28533333,1.875,0.84,0.857,,2.715,3.572
1,0,1,Jc,5,5.2,23.5,17,,635.1,22.55326705,2.816,1.122,1.23,,3.938,5.168
1,0,1,Jc,1,3.66,20,22,,439.1,28.94528675,1.517,0.473,0.787,,1.99,2.777
1,0,1,Jc,2,4.15,25.5,24,,425.5,31.87265918,1.335,0.627,0.629,,1.962,2.591
1,0,1,Jc,3,2.14,12,15,,57,33.13953488,0.172,0.13,0.11,,0.302,0.412
1,0,1,Jc,4,3.92,24,21,,560,25.4893036,2.197,0.744,0.741,,2.941,3.682
1,0,1,Jc,5,3.88,22.5,18,,400,21.56334232,1.855,0.737,0.513,,2.592,3.105
1,0,1,Jc,1,3.21,17.5,16,,408.6,28.10178817,1.454,0.4,0.45,,1.854,2.304
1,0,1,Jc,2,3.87,23,18,,502.3,27.58374519,1.821,0.612,0.409,,2.433,2.842
1,0,1,Jc,3,3.67,23,19,,456.4,20.93577982,2.18,0.823,0.676,,3.003,3.679
1,0,1,Jc,5,3.8,19,19,,438.8,20.41879944,2.149,0.693,0.539,,2.842,3.381
0,1,0,Jc,2,2.25,9,17,,106.6,35.89225589,0.297,0.11,0.171,,0.407,0.578
0,1,0,Jc,3,1.79,10,16,,61.6,42.77777778,0.144,0.07,0.139,,0.214,0.353
0,1,0,Jc,4,2.56,10,16,,84.5,36.58008658,0.231,0.172,0.178,,0.403,0.581
0,1,0,Jc,5,1.79,8,6,,17,31.48148148,0.054,0.068,0.044,,0.122,0.166
0,1,0,Jc,1,1.59,5.5,9,,11.4,20.35714286,0.056,0.031,0.047,,0.087,0.134
0,1,0,Jc,2,1.55,6,10,,12.4,21.01694915,0.059,0.043,0.051,,0.102,0.153
0,1,0,Jc,3,3.08,15,18,,220.9,29.06578947,0.76,0.304,0.419,,1.064,1.483
0,1,0,Jc,4,2.48,12,14,,132.9,35.72580645,0.372,0.159,0.185,,0.531,0.716
0,1,0,Jc,5,3.01,15,12,,180.8,32.81306715,0.551,0.34,0.577,,0.891,1.468
0,1,0,Jc,2,1.4,8,6,,9.48,37.92,0.025,0.036,0.038,,0.061,0.099
0,1,0,Jc,3,1.66,4.5,6,,22.6,52.55813953,0.043,0.049,0.054,,0.092,0.146
1,1,0,Jc,1,3.49,18,19,,403.8,30.94252874,1.305,0.376,0.571,,1.681,2.252
1,1,0,Jc,2,3.12,16,19,,280.4,31.05204873,0.903,0.27,0.439,,1.173,1.612
1,1,0,Jc,3,2.54,14,14,,252.5,38.19969743,0.661,0.189,0.208,,0.85,1.058
1,1,0,Jc,4,6.02,35,28,,1191.9,26.61085064,4.479,2.181,2.473,,6.66,9.133
1,1,0,Jc,5,6.51,29,24,,1229.4,26.86625874,4.576,1.851,3.023,,6.427,9.45
1,1,0,Jc,1,4.06,22,23,,473.7,27.97991731,1.693,0.604,0.503,,2.297,2.8
1,1,0,Jc,2,4.17,18,23,,400.4,28.76436782,1.392,0.514,0.639,,1.906,2.545
1,1,0,Jc,3,3.75,22,23,,507.5,27.50677507,1.845,0.478,0.762,,2.323,3.085
1,1,0,Jc,4,2.8,13.5,17,,228.8,37.20325203,0.615,0.155,0.17,,0.77,0.94
1,1,0,Jc,1,4.75,27.5,20,,747.5,36.62420382,2.041,0.825,0.627,,2.866,3.493
1,1,0,Jc,2,4.32,26.5,23,,735,34.02777778,2.16,0.772,0.704,,2.932,3.636
1,1,0,Jc,3,3.55,22,25,,755.8,58.95475819,1.282,0.384,0.454,,1.666,2.12
1,1,0,Jc,4,3.44,19,19,,327.1,30.17527675,1.084,0.402,0.339,,1.486,1.825
1,1,0,Jc,5,5.5,34.5,20,,909.5,29.34817683,3.099,1.65,2.165,,4.749,6.914
0,1,1,Jc,1,3.55,15.5,10,,216.9,26.48351648,0.819,0.421,0.606,,1.24,1.846
0,1,1,Jc,2,2.71,13,9,,138,28.45360825,0.485,0.177,0.375,,0.662,1.037
0,1,1,Jc,3,1.87,8,9,,24.2,33.15068493,0.073,0.061,0.064,,0.134,0.198
0,1,1,Jc,2,1.74,9,6,,23.7,37.03125,0.064,0.063,0.058,,0.127,0.185
0,1,1,Jc,3,2,9.5,10,,50,32.05128205,0.156,0.071,0.114,,0.227,0.341
0,1,1,Jc,4,1.94,9,6,,43.2,40.75471698,0.106,0.066,0.064,,0.172,0.236
0,1,1,Jc,1,1.75,6.5,9,,45.6,38,0.12,0.045,0.056,,0.165,0.221
0,1,1,Jc,2,2.92,9.5,3,,42,36.52173913,0.115,0.169,0.249,,0.284,0.533
1,1,1,Jc,1,3.49,15,23,,118.7,28.39712919,0.418,0.252,0.231,,0.67,0.901
1,1,1,Jc,2,7.05,37.5,24,,1411.3,39.86723164,3.54,2.345,3.282,,5.885,9.167
1,1,1,Jc,3,3.17,16,20,,208.7,30.29027576,0.689,0.257,0.398,,0.946,1.344
1,1,1,Jc,4,3.32,16,19,,149.3,29.8003992,0.501,0.309,0.223,,0.81,1.033
1,1,1,Jc,5,6.2,31,23,,1566.6,40.89271731,3.831,1.907,1.81,,5.738,7.548
1,1,1,Jc,1,6.39,32,22,,969.6,27.80613708,3.487,1.351,1.689,,4.838,6.527
1,1,1,Jc,2,3.75,20,20,,434.6,30.6056338,1.42,0.438,0.486,,1.858,2.344
1,1,1,Jc,3,5.25,32.5,24,,1208.9,31.4571949,3.843,1.507,1.731,,5.35,7.081
1,1,1,Jc,4,4.41,26,24,,913.7,34.01712584,2.686,0.801,1.162,,3.487,4.649
1,1,1,Jc,5,5.54,39,18,,1170.6,34.51061321,3.392,1.692,2.228,,5.084,7.312
1,1,1,Jc,1,3.05,13,20,,170.2,31.57699443,0.539,0.252,0.286,,0.791,1.077
1,1,1,Jc,2,2.9,13,16,,205.9,37.16606498,0.554,0.234,0.279,,0.788,1.067
1,1,1,Jc,3,2.81,15.5,19,,180.1,27.45426829,0.656,0.235,0.284,,0.891,1.175
1,1,1,Jc,4,2.03,13,15,,119.2,34.55072464,0.345,0.109,0.115,,0.454,0.569
1,1,1,Jc,5,3.81,15,20,,378,30.28846154,1.248,0.367,0.523,,1.615,2.138
0,0,0,Qr,4,1.6,9,4,,21.3,22.65957447,0.094,0.107,0.121,,0.201,0.322
0,0,0,Qr,1,1.62,12,0,,15.5,15.81632653,0.098,0.099,0.136,,0.197,0.333
