Location,Indonesian_name,Species,Low_Wd,Wd,Hi_Wd,Girth,Cw_Avg,Cw_Depth,Hcb,CP_Idx,CF_idx,Isolated,Dense,Cw_Surf,Cw_Vol,Dbh,Height
Jambi,Durian,Durzib,420,570,690,36,3.746998799,5.6,2.6,5,4,Yes,open,118.4219643,164.6697205,11.4591559,8.2
Jambi,Durian,Durzib,420,570,690,43,5.447935389,6.3,2,5,4,Yes,open,206.2084756,391.6183738,13.68732511,8.3
Jambi,Durian,Durzib,420,570,690,53.85,5.391660227,9.5,3.3,4,4,No,low,280.371427,578.3986235,17.14098737,12.8
Jambi,Durian,Durzib,420,570,690,33.8,5.7,5.4,2.4,1,4,No,high,197.0167282,367.4532431,10.75887415,7.8
Jambi,Durian,Durzib,420,570,690,24,3.733630941,4.2,2.1,2,4,No,high,94.96637821,122.6226445,7.639437268,6.3
Jambi,Durian,Durzib,420,570,690,27,3.293933818,6.3,1.5,2,4,No,high,112.1425419,143.1623772,8.594366927,7.8
Jambi,Durian,Durzib,420,570,690,54,7.937253933,11.1,1,2,3,No,high,504.4093201,1464.610495,17.18873385,12.1
Jambi,Durian,Durzib,420,570,690,85.5,5.547972603,6.8,11,4,4,No,low,223.0744498,438.3652725,27.21549527,17.8
Sanggau,Durian,Durzib,420,570,690,228,19.11805429,21.9,18.1,4,4,No,low,2522.27996,16764.48088,72.57465405,40
Sanggau,Durian,Durzib,420,570,690,158.2,11.34460224,10,25,3,3,No,low,745.5626598,2695.486497,50.35662399,35
Sanggau,Durian,Durzib,420,570,690,130.8,12.09834699,14.1,3.5,5,5,Yes,open,1022.642036,4322.448217,41.63493311,17.6
Sanggau,Durian,Durzib,420,570,690,59,9.146584062,10.1,10.2,3,3,No,low,562.5390041,1769.692652,18.78028328,20.3
Sanggau,Durian,Durzib,420,570,690,124,8.497058314,15.1,6.4,4,4,No,low,701.3307128,2283.351429,39.47042589,21.5
Jambi,Karet,Hevbra,560,600,640,37.5,3.3,8,6,4,3,No,low,138.512948,182.4637013,11.93662073,14
Jambi,Karet,Hevbra,560,600,640,66.5,6.368673331,10,4,4,4,No,low,355.8901568,849.4866535,21.16760743,14
Jambi,Karet,Hevbra,560,600,640,88.2,7.5,9.8,7.2,3,4,No,low,427.5721151,1154.5353,28.07493196,17
Jambi,Karet,Hevbra,560,600,640,21.9,4.69893605,5.6,4.2,1,4,No,high,156.7748142,258.9677656,6.970986507,9.8
Jambi,Karet,Hevbra,560,600,640,28.6,4.164132563,7.2,3.8,1,3,No,high,164.6339658,261.4810397,9.103662745,11
Jambi,Karet,Hevbra,560,600,640,61,5.522680509,6.4,9.1,4,4,No,low,212.2281083,408.825924,19.41690306,15.5
Jambi,Karet,Hevbra,560,600,640,56,7.375635566,11.6,5.1,4,4,No,low,477.955561,1321.647085,17.82535363,16.7
Jambi,Karet,Hevbra,560,600,640,65,6.349803147,8.8,8.6,4,5,No,low,320.57011,743.1248927,20.6901426,17.4
Jambi,Karet,Hevbra,560,600,640,24.6,4.590206967,6.5,2.1,2,4,No,high,170.3423305,286.8378812,7.8304232,8.6
Jambi,Karet,Hevbra,560,600,640,40.8,6.13351449,5.5,3.9,1,4,No,high,220.2758462,433.3512906,12.98704336,9.4
Jambi,Karet,Hevbra,560,600,640,26.7,3.994996871,5,7.8,1,3,No,high,117.4675894,167.1327292,8.498873961,12.8
Jambi,Karet,Hevbra,560,600,640,76.4,6.945502142,11.4,5.3,2,5,No,high,438.7877927,1151.783265,24.3188753,16.7
Jambi,Karet,Hevbra,560,600,640,138.4,12.94758665,10.5,10,4,5,No,low,923.383147,3686.596147,44.05408825,20.5
Jambi,Karet,Hevbra,560,600,640,106,8.552777327,12.8,6.6,4,4,No,low,617.6667323,1961.024022,33.74084794,19.4
Jambi,Karet,Hevbra,560,600,640,26.4,4.098780306,7.3,2.7,1,3,No,high,163.4925514,256.8566154,8.403380995,10
Jambi,Karet,Hevbra,560,600,640,35.6,4.45421149,7.2,3.8,1,3,No,high,178.2271947,299.1801516,11.33183195,11
Jambi,Karet,Hevbra,560,600,640,51,4.892851929,8.5,4.3,1,4,No,high,228.1897983,426.1884594,16.2338042,12.8
Jambi,Karet,Hevbra,560,600,640,38,3.949683532,7.6,8.4,2,4,No,high,162.0709721,248.3114833,12.09577567,16
Jambi,Karet,Hevbra,560,600,640,85,7.155417528,5.3,13.1,4,4,No,low,267.7814771,568.335055,27.05634033,18.4
Jambi,Karet,Hevbra,560,600,640,16.3,3.231098884,5,2.5,1,3,No,high,90.53694169,109.3274243,5.188451145,7.5
Jambi,Karet,Hevbra,560,600,640,58.2,4.214261501,7.5,11.4,3,3,No,low,172.7256462,278.9734276,18.52563538,18.9
Jambi,Karet,Hevbra,560,600,640,46.2,5.490901565,6.6,9.1,2,3,No,high,215.4096063,416.7636814,14.70591674,15.7
Jambi,Karet,Hevbra,560,600,640,33.3,4.312771731,6.4,4.2,1,4,No,high,156.0044988,249.316793,10.59971921,10.6
Jambi,Karet,Hevbra,560,600,640,77.7,5.723635209,9.9,9.1,4,4,No,low,311.1308995,679.2625972,24.73267816,19
Jambi,Karet,Hevbra,560,600,640,74.2,5.196152423,5.3,12.1,4,4,No,low,171.9107737,299.7079392,23.61859355,17.4
Jambi,Karet,Hevbra,560,600,640,28.6,3.746998799,4.5,7.2,1,4,No,high,100.2476607,132.3238826,9.103662745,11.7
Jambi,Karet,Hevbra,560,600,640,30.6,4.728636167,8.3,2.7,1,4,No,high,214.9696159,388.6945983,9.740282517,11
Jambi,Karet,Hevbra,560,600,640,22.7,3.039736831,2.6,5.5,1,3,No,high,52.54585467,50.31574794,7.225634416,8.1
Jambi,Karet,Hevbra,560,600,640,21.8,4.949747468,5.2,4,1,4,No,high,159.152136,266.825936,6.939155519,9.2
Jambi,Karet,Hevbra,560,600,640,19.4,3.857460304,4.9,3.2,1,3,No,high,110.733762,152.7065357,6.175211792,8.1
Jambi,Karet,Hevbra,560,600,640,21.6,3.386738844,2.6,5.8,1,3,No,high,61.20629558,62.45905074,6.875493542,8.4
Jambi,Karet,Hevbra,560,600,640,101.3,12.25,11.8,3.3,5,-1,Yes,open,919.8664317,3708.623948,32.24479147,15.1
Jambi,Karet,Hevbra,560,600,640,64.5,7.94,7.5,3.5,5,-1,Yes,open,381.5644126,990.2865531,20.53098766,11
Jambi,Karet,Hevbra,560,600,640,85,11.1,9.8,2.8,5,-1,Yes,open,714.4657812,2528.894122,27.05634033,12.6
Jambi,Karet,Hevbra,560,600,640,66,7.83,9.2,3.3,5,-1,Yes,open,430.8636054,1181.326551,21.00845249,12.5
Jambi,Karet,Hevbra,560,600,640,73.2,8.19,8.9,4.3,5,-1,Yes,open,446.0101618,1250.306312,23.30028367,13.2
Jambi,Karet,Hevbra,560,600,640,53.5,6.14,5.8,3.1,5,-1,Yes,open,228.1790602,457.9555741,17.02957891,8.9
Jambi,Karet,Hevbra,560,600,640,68.5,6.55,8.8,3.4,5,-1,Yes,open,333.0702361,790.7221157,21.8042272,12.2
Jambi,Karet,Hevbra,560,600,640,91.6,11.02,15,4.3,5,-1,Yes,open,952.2545424,3815.162685,29.15718557,19.3
Jambi,Karet,Hevbra,560,600,640,131,11.19,15.7,3.4,5,-1,Yes,open,1005.081205,4117.356189,41.69859509,19.1
Jambi,Karet,Hevbra,560,600,640,68.2,7.4,10.6,3.4,5,-1,Yes,open,446.6999018,1215.704204,21.70873424,14
Jambi,Karet,Hevbra,560,600,640,131,12.93,12.2,6,5,-1,Yes,open,1011.146803,4271.845076,41.69859509,18.2
Jambi,Karet,Hevbra,560,600,640,99.6,8.52,9.8,2.4,5,-1,Yes,open,502.4123185,1489.923187,31.70366466,12.2
Jambi,Karet,Hevbra,560,600,640,120.3,9.1,12.7,7.5,5,-1,Yes,open,661.9660966,2202.648102,38.29267931,20.2
Jambi,Karet,Hevbra,560,600,640,189,16.93,11.5,2.6,5,-1,Yes,open,1430.981189,6903.516548,60.16056849,14.1
Jambi,Karet,Hevbra,560,600,640,135,15.35,13.1,3.7,5,-1,Yes,open,1338.104332,6464.674591,42.97183463,16.8
Jambi,Karet,Hevbra,560,600,640,81,6.55,7.2,3.8,5,-1,Yes,open,287.5656211,646.9544583,25.78310078,11
Jambi,Karet,Hevbra,560,600,640,120,12.65,14.2,2.1,5,-1,Yes,open,1088.523313,4759.134832,38.19718634,16.3
Jambi,Karet,Hevbra,560,600,640,82,8.46,5,4.2,5,-1,Yes,open,333.642764,749.4960426,26.10141067,9.2
Jambi,Karet,Hevbra,560,600,640,97.5,8.525256594,11.2,4.1,5,4,Yes,open,554.7207256,1704.871124,31.0352139,15.3
Jambi,Karet,Hevbra,560,600,640,79.5,7.848566748,14.3,2.3,5,4,Yes,open,611.0275169,1844.910758,25.30563595,16.6
Jambi,Karet,Hevbra,560,600,640,48.2,4.849742261,10.9,3.3,5,4,Yes,open,279.670338,536.9358836,15.34253651,14.2
Jambi,Karet,Hevbra,560,600,640,60,7.049822693,6.2,2.8,5,5,Yes,open,287.5037829,645.3669069,19.09859317,9
Jambi,Karet,Hevbra,560,600,640,38.8,5.485435261,6.1,4.4,5,4,Yes,open,203.3308057,384.4241266,12.35042358,10.5
Jambi,Karet,Hevbra,560,600,640,104,7.028513356,14.8,2,5,5,Yes,open,554.737468,1531.254147,33.10422816,16.8
Jambi,Karet,Hevbra,560,600,640,100,7.689603371,12.2,3.8,5,4,Yes,open,523.195521,1510.867305,31.83098862,16
