"","Date","Species","CO2","Temp","Water","Potnum","Leafnum","LA","LeafFW","TipFW","StemFW","RootFW","LeafDW","StemDW","TipDW","RootDW","LMA"
"126","19/01/2009","Sideroxylon",280,"Amb","Dry",263,166,551.6,14.58,0.48,8.59,18.78,5.2325,3.21,0.1507,3.51,86.48
"128","19/01/2009","Sideroxylon",280,"Amb","Dry",280,249,764.3,17.64,0.33,10.02,18.71,6.5263,3.92,0.1258,4.54,81.25
"130","19/01/2009","Sideroxylon",280,"Amb","Dry",286,205,608.7,14.56,1.02,8.51,21.77,5.3728,3.37,0.3122,4.42,80.01
"132","19/01/2009","Sideroxylon",280,"Amb","Wet",260,167,754.4,15.45,0.84,9.41,18.37,6.1512,3.84,0.2952,3.03,75.29
"134","19/01/2009","Sideroxylon",280,"Amb","Wet",269,109,449.3,11.8,0.79,6.86,25.07,3.6702,2.43,0.2175,3.84,73
"136","19/01/2009","Sideroxylon",280,"Amb","Wet",271,153,518,11.8,0.82,9.28,26.75,8.9255,3.23,0.2289,4.51,167.18
"138","19/01/2009","Sideroxylon",280,"Amb","Wet",274,204,631.3,14.68,0.9,10.22,30.55,4.6223,3.63,0.2602,4.19,67.95
"140","19/01/2009","Sideroxylon",280,"Amb","Wet",292,194,458.1,12.44,0.14,9.13,27.29,3.9308,3.09,0.2336,4.05,80.56
"142","19/01/2009","Sideroxylon",400,"Amb","Dry",156,228,936,23.83,0.47,14.1,25.23,7.3321,5.45,0.4425,5.6,75.21
"144","19/01/2009","Sideroxylon",400,"Amb","Dry",166,183,845.8,22.61,0.82,13.51,30.51,8.1919,5.19,0.2573,5.13,90.68
"146","19/01/2009","Sideroxylon",400,"Amb","Dry",170,273,873.5,18.89,1.24,14.51,32.75,6.3936,5.35,0.3758,5.95,69.72
"148","19/01/2009","Sideroxylon",400,"Amb","Dry",179,216,970.1,23.69,0.95,15.4,30.94,8.5666,5.89,0.3232,4.89,85.46
"150","19/01/2009","Sideroxylon",400,"Amb","Dry",195,228,444.3,34.28,1.8,15.79,39.52,12.352,6.21,0.6079,6.98,267.86
"152","19/01/2009","Sideroxylon",400,"Amb","Wet ",167,246,812.3,20.68,1.13,14.68,31.88,7.2876,5.71,0.3939,4.96,87.04
"154","19/01/2009","Sideroxylon",400,"Amb","Wet ",169,244,946.8,25.02,1.25,16.16,43.54,8.016,5.94,0.3859,5.95,80.59
"156","19/01/2009","Sideroxylon",400,"Amb","Wet ",173,257,1108.9,28.95,1.25,22.61,43.28,10.0354,8.67,0.435,7.12,88.38
"158","19/01/2009","Sideroxylon",400,"Amb","Wet ",178,227,807.6,19.18,1.01,14.66,36.78,6.7662,5.36,0.2516,4.04,79.99
"160","19/01/2009","Sideroxylon",400,"Amb","Wet ",200,191,858.8,21.16,1.41,14.99,35.07,6.2519,5.3,0.4062,5.49,67.66
"162","21/01/2009","Sideroxylon",640,"Amb","Dry",75,179,757.9,22.45,2.26,17.05,31.85,8.1093,6.7,0.6705,7.31,99.88
"164","21/01/2009","Sideroxylon",640,"Amb","Dry",78,214,825.9,22.55,1.82,16.15,32.38,8.632,6.44,0.6646,6.68,97.35
"166","21/01/2009","Sideroxylon",640,"Amb","Dry",85,315,1239.4,31.96,1.09,18.74,57.19,11.0673,7.22,0.3767,12.02,86.25
"168","21/01/2009","Sideroxylon",640,"Amb","Dry",93,165,585.9,16.89,0.9,9.77,35.41,17.028,4.23,0.28,5.73,284.86
"170","21/01/2009","Sideroxylon",640,"Amb","Dry",100,151,540.9,16.31,0.5,12.14,27.43,6.6808,4.88,0.1356,5.33,115.92
"172","21/01/2009","Sideroxylon",640,"Amb","Wet",65,263,1130.1,30.35,1.5,21.81,74.96,11.6623,8.63,0.5257,10.82,95.57
"174","21/01/2009","Sideroxylon",640,"Amb","Wet",80,196,664.9,16.15,1.24,13.49,28.84,6.1063,5,0.293,8.5,83.77
"176","21/01/2009","Sideroxylon",640,"Amb","Wet",88,244,1030.5,26.91,2.25,24.67,53.07,9.8559,9.11,0.6892,9.23,90.34
"178","21/01/2009","Sideroxylon",640,"Amb","Wet",89,270,1110.4,29.58,1.83,21.21,66.41,10.8914,8.53,0.6288,10.46,95.28
"180","21/01/2009","Sideroxylon",640,"Amb","Wet",92,423,1140.7,30.15,1.67,23.06,36.47,10.5344,8.62,0.5692,7.91,90.91
"182","21/01/2009","Sideroxylon",280,"Elv","Dry",354,181,514.3,11.65,0.56,7.14,12.97,4.1803,2.65,0.1578,2.46,76.22
"184","21/01/2009","Sideroxylon",280,"Elv","Dry",366,155,404.4,8.55,0.67,6.01,16.97,2.6662,2.12,0.1397,3.17,58.61
"186","21/01/2009","Sideroxylon",280,"Elv","Dry",371,146,309.9,8.06,0.37,4.65,11.02,3.3325,1.62,0.0742,2.47,87.12
