species,treatment,a.cs,h.c,h.t,a.lf,lf.sz,m.t,m.lf,d.st,lf.ma,a.cp
P. pubescens,ML,0.010148152,0.024266112,0.069512735,0.002415424,0.000402571,NA,NA,0.27,23.17326791,0.006414994
P. pubescens,ML,0.014290537,0.030579103,0.075825726,0.004239114,0.000529889,NA,NA,0.27,23.17326791,0.008645741
P. pubescens,ML,0.063629022,0.148878415,0.194125038,0.013723102,0.001143592,NA,NA,0.27,23.17326791,0.026379702
P. pubescens,ML,0.336885725,0.564405454,0.609652077,0.073027268,0.003319421,0.00448,0.00169,0.27,23.17326791,0.072791507
P. pubescens,HL,0.006113119,0.022939087,0.060831894,0.001540745,0.000385186,NA,NA,0.25,36.6,0.004793232
P. pubescens,HL,0.10821568,0.165119817,0.203012624,0.02743981,0.002286651,NA,NA,0.25,36.6,0.047423769
P. pubescens,HL,0.285041879,0.415063245,0.452956053,0.059507183,0.003305955,NA,NA,0.25,36.6,0.062249478
P. pubescens,HL,0.379439585,0.543390843,0.581283651,0.080189881,0.003341245,NA,NA,0.25,36.6,0.062296288
P. pubescens,HL,0.444860079,0.603889228,0.645083925,0.094796453,0.003791858,0.00585,0.00347,0.25,36.6,0.078333681
P. pubescens,LL,0.003460708,0.025876272,0.077995559,0.00070506,0.000176265,NA,NA,0.3,19.82652359,0.002127907
P. pubescens,LL,0.028980772,0.085722171,0.139020971,0.005759069,0.000575907,NA,NA,0.3,19.82652359,0.013524587
P. pubescens,LL,0.062987294,0.114030684,0.167329485,0.016230283,0.001014393,NA,NA,0.3,19.82652359,0.027165214
P. pubescens,LL,0.159925343,0.209845916,0.319056105,0.040025205,0.002668347,NA,NA,0.3,19.82652359,0.061507131
P. pubescens,LL,0.280165818,0.378251882,0.48746207,0.063507786,0.003342515,0.00175,0.00126,0.3,19.82652359,0.07184582
P. pubescens,HL,0.011444507,0.040965277,0.09868699,0.002815596,0.000469266,NA,NA,0.25,36.6,0.007089423
P. pubescens,HL,0.084803858,0.132542058,0.190263771,0.018190543,0.001819054,NA,NA,0.25,36.6,0.047479927
P. pubescens,HL,0.237236833,0.357064557,0.41478627,0.051820775,0.003048281,NA,NA,0.25,36.6,0.062557328
P. pubescens,HL,0.407764092,0.600119943,0.657841656,0.077609806,0.003374339,NA,NA,0.25,36.6,0.063783023
P. pubescens,HL,0.438980211,0.610673301,0.715998614,0.07929602,0.004173475,0.00594,0.00291,0.25,36.6,0.064149046
P. pubescens,LL,0.028612496,0.066585235,0.135754591,0.007195239,0.000899405,NA,NA,0.3,19.82652359,0.016317867
P. pubescens,LL,0.052075009,0.13182794,0.200997296,0.014344333,0.000896521,NA,NA,0.3,19.82652359,0.019475405
P. pubescens,LL,0.127762243,0.144360744,0.268916098,0.034996501,0.0023331,NA,NA,0.3,19.82652359,0.063742742
P. pubescens,LL,0.471925769,0.54665123,0.670101576,0.104903418,0.003885312,0.00337,0.00208,0.3,19.82652359,0.086520835
P. racemosa,ML,0.005072619,0.013055155,0.035689806,0.001355512,0.000338878,NA,NA,0.29,40.85872757,0.003826222
P. racemosa,ML,0.011618839,0.026242928,0.048877579,0.002997531,0.000499588,NA,NA,0.29,40.85872757,0.00780645
P. racemosa,ML,0.05810842,0.082216976,0.10500221,0.020662093,0.001721841,NA,NA,0.29,40.85872757,0.037201843
P. racemosa,ML,0.156093834,0.189195565,0.211980799,0.044965359,0.00408776,NA,NA,0.29,40.85872757,0.081761385
P. racemosa,ML,0.306910188,0.362073596,0.38485883,0.084483617,0.005280226,NA,NA,0.29,40.85872757,0.097956359
P. racemosa,ML,0.440877841,0.444504874,0.509225605,0.11969814,0.005984907,0.00835,0.00489,0.29,40.85872757,0.104008568
P. racemosa,HL,0.035811253,0.039356591,0.088906369,0.01137935,0.002844837,NA,NA,0.24,50.60711849,0.03759817
P. racemosa,HL,0.110023853,0.105050503,0.153407996,0.039375591,0.004921949,0.00249,0.00199,0.24,50.60711849,0.064827561
P. racemosa,HL,0.318708873,0.35966371,0.408021202,0.087468883,0.005145228,0.00643,0.00443,0.24,50.60711849,0.079364492
P. racemosa,HL,0.36742541,0.372196984,0.420554477,0.138734212,0.005138304,0.00993,0.00702,0.24,50.60711849,0.102510062
P. racemosa,HL,0.529274387,0.478757353,0.527114846,0.192755518,0.004942449,0.01442,0.00973,0.24,50.60711849,0.15694912
P. racemosa,ML,0.005954925,0.026607093,0.050113146,0.001387227,0.000346807,NA,NA,0.29,40.85872757,0.004083118
P. racemosa,ML,0.010140879,0.025742789,0.049248842,0.002889591,0.000481598,NA,NA,0.29,40.85872757,0.007048619
P. racemosa,ML,0.104724875,0.137231263,0.161543822,0.033333437,0.003333344,NA,NA,0.29,40.85872757,0.054077806
P. racemosa,ML,0.214228557,0.263089486,0.287402046,0.061954564,0.00516288,NA,NA,0.29,40.85872757,0.079166566
P. racemosa,ML,0.373275354,0.421889938,0.446202497,0.089756947,0.005983796,NA,NA,0.29,40.85872757,0.094871918
P. racemosa,ML,0.428978821,0.506693949,0.555063715,0.098899589,0.005205242,0.00771,0.00404,0.29,40.85872757,0.099961871
P. racemosa,HL,0.070665859,0.112839599,0.106626609,0.023144892,0.002314489,NA,NA,0.24,50.60711849,0.040944152
P. racemosa,HL,0.149235801,0.235026423,0.281256524,0.051601842,0.003440123,0.00398,0.00261,0.24,50.60711849,0.047939981
P. racemosa,HL,0.340505619,0.330138905,0.376369007,0.171825463,0.00505369,0.0126,0.00869,0.24,50.60711849,0.112644873
P. racemosa,HL,0.380598468,0.377922628,0.446035779,0.188499721,0.004284085,0.01696,0.00954,0.24,50.60711849,0.113695112
P. racemosa,HL,0.451477641,0.441721694,0.525793088,0.221308277,0.003882601,0.01903,0.01119,0.24,50.60711849,0.119603233
P. racemosa,HL,0.05211541,0.057709163,0.079118754,0.018823743,0.002352968,NA,NA,0.24,50.60711849,0.035522599
P. racemosa,HL,0.111031891,0.143010757,0.164420347,0.044311807,0.003692651,0.00284,0.00224,0.24,50.60711849,0.059766679
P. racemosa,HL,0.239688666,0.298749187,0.320158777,0.105752668,0.003776881,0.00681,0.00535,0.24,50.60711849,0.076662136
P. racemosa,HL,0.276099261,0.312126776,0.35258768,0.129764864,0.003932269,0.0094,0.00657,0.24,50.60711849,0.080476025
P. racemosa,HL,0.308969793,0.310106619,0.35258768,0.142581936,0.003752156,0.01027,0.00721,0.24,50.60711849,0.107428647
P. racemosa,LL,NA,0.034838711,0.049107325,0.000804004,0.000268001,NA,NA,0.25,19.47521866,0.00252092
P. racemosa,LL,0.014262195,0.066798131,0.081066745,0.003919279,0.000559897,NA,NA,0.25,19.47521866,0.006961699
P. racemosa,LL,0.017533905,0.048716641,0.075385879,0.005338125,0.000762589,NA,NA,0.25,19.47521866,0.008375515
P. racemosa,LL,0.001539894,0.001463121,0.077507589,0.00039639,9.91E-05,NA,NA,0.25,19.47521866,0.001218325
P. racemosa,LL,0.004296685,0.016640913,0.081704533,0.001271843,0.000317961,5.00E-05,2.00E-05,0.25,19.47521866,0.003381441
P. racemosa,LL,0.006503542,0.027173409,0.049628562,0.001776911,0.000296152,NA,NA,0.25,19.47521866,0.003944607
P. racemosa,LL,0.006503542,0.027173409,0.049628562,0.001776911,0.000296152,4.00E-05,3.00E-05,0.25,19.47521866,0.003944607
P. racemosa,LL,0.015857183,0.049856031,0.064119397,0.005465693,0.000683212,NA,NA,0.25,19.47521866,0.008578981
P. racemosa,LL,0.030090354,0.078833364,0.09309673,0.010233323,0.001137036,NA,NA,0.25,19.47521866,0.013487664
P. racemosa,LL,0.028857601,0.069560585,0.105559344,0.00721605,0.001202675,NA,NA,0.25,19.47521866,0.012299418
P. racemosa,LL,0.012344022,0.044823057,0.105559344,0.003266933,0.000816733,0.00011,6.40E-05,0.25,19.47521866,0.00810469
