Nutrition,age,a.lf,a.ss,a.sh,a.st,a.st1,a.cp,a.cs,h.t,h.c,m.lf,m.st,m.sb,m.br,m.br,m.rf,m.rc,n.lf,n.ss,n.sb,n.rf,pft,growingCondition,status,light,group,location,latitude,longitude,vegetation,lai,map,mat
0.45 mol K m-2,0.8,15.98,,,,,250,4.91,3.4,3.4,1.16,,,,,,,,,,,EA,PM,2,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol K m-2,0.8,25.62,,,,,276,5.98,3.6,3.6,1.83,,,,,,,,,,,EA,PM,3,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol K m-2,0.8,24.93,,,,,280,6.16,4,4,2.07,,,,,,,,,,,EA,PM,3,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol K m-2,1,3.64,3.16,0,3.9,3.16,,,3.7,2.5,0.21,0.48,0.39,0.975,,,,0.002,0.003,0.006,,EA,PM,0,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol K m-2,1,4.84,2.86,0,3.9,2.86,,,2.9,2.2,0.33,0.45,0.826,1.288,,,,0.002,0.004,0.005,,EA,PM,0,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol K m-2,1,9.04,5.48,0,7.18,5.48,,,3.6,2.6,0.59,0.77,0.826,1.735,,,,0.002,0.004,0.004,,EA,PM,1,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol K m-2,1,7.75,7.96,0,9.63,7.96,,,4.4,3.3,0.63,0.92,4.164,1.2,,,,0.002,0.003,0.004,,EA,PM,1,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol K m-2,1,13.89,11.27,0,13.66,11.27,,,5,3.5,0.97,1.39,2.971,1.503,,,,0.002,0.003,0.003,,EA,PM,2,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol K m-2,1,21.55,14.08,0,17.9,14.08,,,6.2,5,1.76,2.22,2.856,2.4,,,,0.002,0.002,0.004,,EA,PM,2,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol K m-2,1,35.2,18.63,0,21.66,18.63,,,6.4,5,2.36,2.77,3.601,4.085,,,,0.002,0.002,0.004,,EA,PM,3,,Non limiting nutrition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
