Nutrition,age,a.lf,a.ssbh,a.shbh,a.stbh,,a.cp,a.cs,h.t,h.c,m.lf,m.st,m.sb,m.br,,m.rf,m.rc,n.lf,n.ss,n.sb,n.rf,pft,growingCondition,status,light,,location,latitude,longitude,vegetation,lai,map,mat
0 K - 0 Na,3,18.53,0.00169,0.002631,0.005673,,2.4,,14.4,11.4,1.47,10.09,5.083,1.303,,,,0.021429252,0.0013,0.0029,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.4,1360,20
0 K - 0 Na,3,19.64,0.002322,0.003653,0.007796,,2.9,,13.3,7.4,1.65,13.53,2.982,3.946,,,,0.028567273,0.0015,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.4,1360,20
0 K - 0 Na,3,27.19,0.002278,0.003653,0.007647,,3.5,,12.8,9.6,2.28,17.2,3.83,2.581,,,,0.021465789,0.0013,0.0029,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.4,1360,20
0 K - 0 Na,3,57.7,0.003262,0.006046,0.010953,,3.5,,14,,3.73,25.49,5.133,4.668,,,,0.02010992,0.0011,0.0028,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.4,1360,20
0 K - 0 Na,3,40.27,0.004181,0.00731,0.014037,,4,,16,8.4,4.21,31.83,6.719,5.818,,,,0.021043705,0.0016,0.0033,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.4,1360,20
0 K - 0 Na,4,5.31,0.001753,0.00051,0.002578,,3.6,,12.2,10.4,0.52,6.34,1.113,0.351,,,,0.021444231,0.0011,0.0045,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.2,1360,20
0 K - 0 Na,4,11.03,0.002809,0.001998,0.005379,,6.1,,14.4,10.8,1.08,14.98,2.425,1.213,,,,0.022468519,0.0014,0.0037,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.2,1360,20
0 K - 0 Na,4,17.65,0.002863,0.00356,0.007647,,5.6,,16.4,10.6,1.67,21.28,4.57,2.568,,,,0.024308383,0.0013,0.0031,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.2,1360,20
0 K - 0 Na,4,18.71,0.003644,0.003759,0.008931,,7.5,,16.8,13.2,1.83,24.34,4.506,2.24,,,,0.023515301,0.0011,0.0036,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.2,1360,20
0 K - 0 Na,4,20.6,0.004718,0.003341,0.009748,,7.3,,16.8,11.9,2.12,27.01,3.946,2.407,,,,0.023320755,0.0013,0.0039,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.2,1360,20
0 K - 0 Na,4,19.44,0.005092,0.005411,0.012416,,8.4,,17.8,13.9,2.45,36.18,5.305,4.131,,,,0.022217143,9.00E-04,0.0038,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.2,1360,20
0 K - 0 Na,4,26.64,0.005675,0.005857,0.014037,,9.1,,18.5,12.5,3.01,45.04,8.359,5.1,,,,0.023011296,0.0011,0.0032,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.2,1360,20
0 K - 0 Na,4,34.03,0.006805,0.007308,0.017207,,9.6,,18.8,13.4,3.88,57.83,10.258,7.71,,,,0.021049485,0.001,0.0033,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.2,1360,20
0 K - 0 Na,5,8.44,0.001254,0.002459,0.00421,,4,,12,10.4,0.68,8.31,0.985,0.786,,,1.378,0.023582353,0.0014,0.0042,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.3,1360,20
0 K - 0 Na,5,9.38,0.002119,0.003769,0.007114,,2.2,,18.3,16.3,1.21,25.91,4.208,1.109,,,,0.020155372,0.001,0.0029,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.3,1360,20
0 K - 0 Na,5,15.62,0.002519,0.004884,0.008457,,3.7,,18.1,15.6,2.03,28.47,4.977,1.644,,,3.18,0.019236453,0.0011,0.0037,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.3,1360,20
0 K - 0 Na,5,14.79,0.003157,0.005988,0.010602,,6.9,,19.2,15.6,1.96,35.01,5.234,1.978,,,5.531,0.019619388,0.0013,0.0031,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.3,1360,20
0 K - 0 Na,5,20.44,0.003717,0.00706,0.012479,,6.6,,19.5,16.3,2.88,36.86,7.361,2.439,,,5.724,0.0191625,0.0011,0.0033,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.3,1360,20
0 K - 0 Na,5,25.07,0.004121,0.006832,0.013838,,6.4,,19.5,15.9,3.31,34.72,7.333,3.086,,,,0.019692447,0.0011,0.0041,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.3,1360,20
0 K - 0 Na,5,28.77,0.004693,0.009145,0.015758,,7.1,,20.6,16.6,4,57.66,7.929,4.568,,,9.839,0.020139,0.0012,0.0031,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.3,1360,20
0 K - 0 Na,5,26.23,0.005807,0.011622,0.019498,,10,,22,16.3,4.35,74.3,10.857,8.921,,,,0.015074713,0.0012,0.0034,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.3,1360,20
0 K - 0 Na,6,3.57,0.001287,0.002358,0.00432,,1.9,,15.6,14.7,0.38,12.4,1.857,0.221,,,1.665,0.023486842,0.0013,0.0033,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.9,1360,20
0 K - 0 Na,6,7.29,0.001715,0.002984,0.005758,,3.7,,16.6,15.4,0.75,18.18,2.632,0.534,,,,0.0243,0.0011,0.0038,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.9,1360,20
0 K - 0 Na,6,14.69,0.002457,0.004468,0.008251,,4.1,,18,16,1.79,30.58,5.018,1.67,,,2.881,0.02051676,0.0015,0.0038,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.9,1360,20
0 K - 0 Na,6,13.51,0.002903,0.005502,0.009748,,5.3,,18.1,15.7,1.75,28.28,5.049,1.749,,,,0.0193,0.0011,0.0034,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.9,1360,20
0 K - 0 Na,6,18.87,0.003386,0.005759,0.01137,,7.1,,20.2,18.2,2.1,43.02,5.628,1.8,,,6.159,0.022464286,0.0011,0.0037,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.9,1360,20
0 K - 0 Na,6,25.29,0.004485,0.007557,0.015058,,8,,18.9,16.4,3.07,51.24,9.401,3.455,,,,0.020594463,0.0013,0.0045,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.9,1360,20
0 K - 0 Na,6,31.84,0.004651,0.007577,0.015617,,9,,21.2,17.9,3.92,58.65,7.484,3.345,,,6.52,0.020306122,0.001,0.0051,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.9,1360,20
0 K - 0 Na,6,61.27,0.008138,0.013379,0.027327,,14.9,,21.7,16,8.88,101.63,12.063,14.207,,,16.101,0.017249437,0.0011,0.0045,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,2.9,1360,20
0 K - 0 Na,7,,0.001342,,0.004508,,,,13.6,,0.63,,0.121,0.454,,,,,,,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0 K - 0 Na,7,,0.001993,,0.006692,,,,17.9,,0.95,,0.187,0.82,,,,,,,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0 K - 0 Na,7,,0.00274,,0.009199,,,,17.9,,1.95,,0.207,2.145,,,,,,,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0 K - 0 Na,7,,0.003476,,0.011673,,,,20.7,,3.73,,0.232,0.25,,,,,,,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0 K - 0 Na,7,,0.003907,,0.013117,,,,20.7,,1.92,,0.395,2.118,,,,,,,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0 K - 0 Na,7,,0.004757,,0.015972,,,,20.5,,3.36,,0.468,5.22,,,,,,,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0 K - 0 Na,7,,0.005552,,0.018642,,,,22.3,,5.13,,0.572,6.37,,,,,,,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0 K - 0 Na,7,,0.006261,,0.021024,,,,21.5,,4.2,,0.708,5.834,,,,,,,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,0.5,0.07,,,,,0.3,,0.5,0,0.01,,,,,,,,,,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,0.5,0.57,,,,,1.5,,0.6,0,0.04,,,,,,,,,,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,0.5,0.92,,,,,1.6,,0.8,0,0.07,,,,,,,,,,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,0.5,1.05,,,,,2.8,,0.9,0,0.07,,,,,,,,,,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,0.5,1.32,,,,,2,,1,0,0.08,,,,,,,,,,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,0.5,2.03,,,,,3.1,,1.1,0,0.13,,,,,,,,,,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,0.5,1.64,,,,,3,,1.2,0,0.14,,,,,,,,,,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,0.5,2.22,,,,,3.1,,1.3,0,0.13,,,,,,,,,,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,0.8,12.97,,,,,3.5,,2.3,0,0.85,,,,,,,,,,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,0.8,14.91,,,,,5.1,,2.5,0,1.24,,,,,,,,,,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,0.8,3.76,,,,,3.5,,2.7,0,0.32,,,,,,,,,,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,0.8,12.89,,,,,3.9,,2.9,0,1,,,,,,,,,,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,0.8,13.86,,,,,3.9,,3.2,0,0.96,,,,,,,,,,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,0.8,15.98,,,,,4.9,,3.4,0,1.16,,,,,,,,,,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,0.8,25.62,,,,,6,,3.6,0,1.83,,,,,,,,,,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,0.8,24.93,,,,,6.2,,4,0,2.07,,,,,,,,,,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,,1360,20
0.45 mol K m-2,1,3.64,0.000316,0,0.00039,,,,3.7,1.2,0.21,0.48,0.39,0.975,,,,0.034666667,0.003,0.006,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol K m-2,1,4.84,0.000286,0,0.00039,,,,2.9,0.7,0.33,0.45,0.826,1.288,,,,0.029333333,0.004,0.005,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol K m-2,1,9.04,0.000548,0,0.000718,,,,3.6,1,0.59,0.77,0.826,1.735,,,,0.030644068,0.004,0.004,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol K m-2,1,7.75,0.000796,0,0.000963,,,,4.4,1.1,0.63,0.92,4.164,1.2,,,,0.024603175,0.003,0.004,,EA,PM,1,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol K m-2,1,13.89,0.001127,0,0.001366,,,,5,1.5,0.97,1.39,2.971,1.503,,,,0.028639175,0.003,0.003,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol K m-2,1,21.55,0.001408,0,0.00179,,,,6.2,1.2,1.76,2.22,2.856,2.4,,,,0.024488636,0.002,0.004,,EA,PM,2,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol K m-2,1,35.2,0.001863,0,0.002166,,,,6.4,1.4,2.36,2.77,3.601,4.085,,,,0.029830508,0.002,0.004,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol K m-2,1,33.83,0.002409,0,0.002724,,,,6.6,1.1,2.78,3.39,3.989,3.61,,,,0.024338129,0.002,0.004,,EA,PM,3,,,"Itatinga, E102",-23.04472222,-48.63,Wo,3,1360,20
0.45 mol K m-2,2,5.24,0.001184,0,0.001243,,,,8,2.4,0.48,1.53,0.606,0.422,,,,0.021833333,0.001,0.004,,EA,PM,0,,,"Itatinga, E102",-23.04472222,-48.63,Wo,5.2,1360,20
