dataset,Country,Forest.type,Species,Family,a.lf,h.t,m.lf,m.st,m.rt,lf.sz,a.cs,h.c,a.cp,d.ba
Lusk2012,Chile,CTRF,Amomyrtus luma,Myrtaceae,0.00311,0.178,0.00019,0.000237,0.000509,0.000163908,0.017139172,0.067940332,0.008507146,0.0022
Lusk2012,Chile,CTRF,Nothofagus nitida,Nothofagaceae,0.00461,0.211,0.000477,0.00026,0.000286,0.000159165,0.028615536,0.153387836,0.009700496,0.0061
Lusk2012,Chile,CTRF,Podocarpus nubigena,Podocarpaceae,0.0051,0.16,0.000545,0.000861,0.000649,5.87E-05,0.034425931,0.15685275,0.006745265,0.00813
Lusk2012,Chile,CTRF,Nothofagus dombeyi,Nothofagaceae,0.00106,0.105,4.00E-05,5.20E-05,6.90E-05,4.82E-05,0.006828421,0.077335273,0.001952017,9.00E-04
Lusk2012,Chile,CTRF,Nothofagus dombeyi,Nothofagaceae,0.00106,0.105,4.00E-05,5.20E-05,6.90E-05,4.82E-05,0.006828421,0.077335273,0.001952017,9.00E-04
Lusk2012,Chile,CTRF,Nothofagus nitida,Nothofagaceae,0.00316,0.17,0.000272,0.000163,0.000287,0.000143798,0.016218185,0.112307884,0.008561515,0.0031
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.00147,0.083,0.00014,6.00E-05,6.00E-05,0.000245228,0.01629687,0.057569332,0.008269489,0.0012
Lusk2012,Chile,CTRF,Podocarpus nubigena,Podocarpaceae,0.00207,0.225,0.00022,0.00025,0.000503,2.44E-05,0.027156069,0.164874371,0.004742603,0.00457
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.00197,0.065,8.70E-05,4.60E-05,0.000154,0.000328631,0.005430619,0.046842792,0.00228472,0.0019
Lusk2012,Chile,CTRF,Nothofagus dombeyi,Nothofagaceae,0.0027,0.147,0.000204,0.000172,0.000179,7.72E-05,0.021840894,0.153739294,0.006083618,0.0014
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.0075,0.24,0.001091,0.000915,0.000931,0.000202861,0.074619574,0.219537057,0.015260668,0.00762
Lusk2012,Chile,CTRF,Drimys winteri,Winteraceae,0.00504,0.088,0.000438,8.20E-05,0.000225,0.00045852,0.030387254,0.085653863,0.016621428,0.0035
Lusk2012,Chile,WTRF,Persea lingue,Lauraceae,0.00327,0.123,0.000147,0.000118,5.50E-05,0.001090744,NA,0.039980333,0.008722713,0.0028
Lusk2012,Chile,CTRF,Drimys winteri,Winteraceae,0.00358,0.057,0.000211,3.30E-05,0.000136,0.000398045,0.020797283,0.058658407,0.011621348,0.0029
Lusk2012,Chile,CTRF,Amomyrtus luma,Myrtaceae,0.00548,0.255,0.000511,3.00E-04,0.000221,0.000219343,0.029631492,0.170850878,0.005450255,0.0022
Lusk2012,Chile,CTRF,Nothofagus dombeyi,Nothofagaceae,0.00799,0.25,0.000773,0.000812,0.000512,0.000101204,0.082287254,0.28935505,0.018851182,0.0028
Lusk2012,Chile,CTRF,Podocarpus nubigena,Podocarpaceae,0.00573,0.279,0.00085,0.000833,0.000744,4.99E-05,0.037064619,0.185069704,0.004923892,0.0032
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.00352,0.18,0.000423,0.000369,0.000202,0.000176098,0.030448305,0.103064303,0.008904157,0.0021
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.00794,0.165,0.00077,0.00047,0.000576,0.000662015,0.070257319,0.153692209,0.026204271,0.00762
Lusk2012,Chile,CTRF,Drimys winteri,Winteraceae,0.00868,0.196,0.001402,0.000637,0.000758,0.000868448,0.064652501,0.186286457,0.026496845,0.00491
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.00207,0.07,0.00017,6.00E-05,0.00016,0.000295849,0.020599856,0.061513653,0.012130337,0.00381
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.01081,0.26,0.001149,0.001021,0.001304,0.000235105,0.088152683,0.195859588,0.023517702,0.00838
Lusk2012,Chile,CTRF,Nothofagus dombeyi,Nothofagaceae,0.00143,0.114,9.30E-05,4.90E-05,2.50E-05,0.000102182,0.008175921,0.088402131,0.001616284,0.0011
Lusk2012,Chile,WTRF,Persea lingue,Lauraceae,0.00271,0.107,0.000101,9.50E-05,2.70E-05,0.00090366,NA,0.059877298,0.004780404,0.0022
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.01512,0.25,0.00216,0.001736,0.00109,0.001375011,0.080411609,0.280183955,0.020297661,0.00889
Lusk2012,Chile,CTRF,Drimys winteri,Winteraceae,0.01042,0.149,0.00105,0.000358,0.000377,0.000801797,0.075498497,0.170474641,0.029252151,0.0046
Lusk2012,Chile,WTRF,Persea lingue,Lauraceae,0.01332,0.261,0.000885,0.000987,0.000395,0.001480472,0.060063282,0.159763262,0.018496251,0.0033
Lusk2012,Chile,CTRF,Drimys winteri,Winteraceae,0.00589,0.136,0.000702,0.000343,0.000386,0.000392791,0.045977155,0.162931328,0.011585757,0.0035
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.0055,0.13,0.00053,0.000195,0.000371,0.000500153,0.052266886,0.144634176,0.018116473,0.00508
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.01159,0.332,0.001771,0.002051,0.001794,0.000123336,0.129940525,0.275981089,0.029714465,0.00401
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.00841,0.08,0.000676,0.000159,0.000302,0.001402065,0.024468352,0.089388583,0.00866303,0.0022
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.01046,0.155,0.00092,0.000311,0.000488,0.000871888,0.095612768,0.153203456,0.046569268,0.0024
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.0119,0.12,0.001137,0.00024,0.000115,0.000991916,0.03377245,0.110671026,0.012850852,0.0019
Lusk2012,Chile,CTRF,Nothofagus nitida,Nothofagaceae,0.00542,0.209,0.00096,0.000693,0.0014,0.00018071,0.028489954,0.13011302,0.009925203,0.0041
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.01203,0.24,0.001043,0.001288,0.001455,0.001504042,0.086712171,0.104651169,0.043390162,0.00379
Lusk2012,Chile,CTRF,Nothofagus dombeyi,Nothofagaceae,0.00918,0.19,0.000685,0.00049,0.000636,8.74E-05,0.085903226,0.22758089,0.034552315,0.0026
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.00651,0.165,0.00117,0.000792,0.000631,0.000112258,0.045343614,0.143854596,0.012339466,0.0033
Lusk2012,Chile,WTRF,Podocarpus salignus,Podocarpaceae,0.01173,0.241,0.001146,0.000634,0.001851,0.000335192,0.095789175,0.168816533,0.034393529,0.0028
Lusk2012,Chile,CTRF,Drimys winteri,Winteraceae,0.00854,0.225,0.000713,0.000629,0.000323,0.000854126,0.054555083,0.132982327,0.019738203,0.0041
Lusk2012,Chile,CTRF,Amomyrtus luma,Myrtaceae,0.0012,0.099,8.20E-05,3.70E-05,0.000118,8.57E-05,0.00525313,0.043823294,0.002704156,0.0017
Lusk2012,Chile,CTRF,Drimys winteri,Winteraceae,0.01125,0.193,0.001768,0.000851,0.001176,0.000750109,0.061787884,0.136272408,0.028315794,0.005
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.00302,0.098,0.000248,0.000113,0.000227,0.00043149,0.027456411,0.06807949,0.014019719,0.002
Lusk2012,Chile,CTRF,Amomyrtus luma,Myrtaceae,0.00684,0.224,0.000422,0.00026,0.000584,0.000360039,0.035579237,0.141436482,0.014140884,0.0024
Lusk2012,Chile,CTRF,Nothofagus nitida,Nothofagaceae,0.00436,0.199,0.000423,0.00016,0.000186,0.000198201,0.025240969,0.141413838,0.012056423,0.0024
Lusk2012,Chile,CTRF,Drimys winteri,Winteraceae,0.02519,0.249,0.003501,0.001437,0.005269,0.001574514,0.118616938,0.184741891,0.044340222,0.0068
Lusk2012,Chile,WTRF,Persea lingue,Lauraceae,0.03427,0.325,0.002089,0.001138,0.003318,0.001904031,0.151068444,0.318107622,0.031727841,0.0041
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.02326,0.175,0.002744,0.001186,0.000732,0.001789359,0.064667052,0.115107358,0.030975419,0.0025
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.01482,0.08,0.001283,0.000371,0.001606,0.001140078,0.049240877,0.117091174,0.023728209,0.002
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.05395,0.345,0.006155,0.00381,0.00159,0.003173737,0.253956051,0.310794056,0.072837969,0.0034
Lusk2012,Chile,CTRF,Amomyrtus luma,Myrtaceae,0.00902,0.266,0.000821,0.000671,0.000318,0.000164009,0.066637429,0.177234138,0.027046453,0.0025
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.00916,0.09,0.000765,0.000177,0.000296,0.001526747,0.032169356,0.115007591,0.010223908,0.0024
Lusk2012,Chile,CTRF,Drimys winteri,Winteraceae,0.00925,0.223,0.00124,0.000991,0.003974,0.001027823,0.068149355,0.21484317,0.018020693,0.0044
Lusk2012,Chile,CTRF,Drimys winteri,Winteraceae,0.0065,0.144,0.000829,0.000358,0.000365,0.000928593,0.033940202,0.057735918,0.020738449,0.0044
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.03775,0.235,0.004466,0.001911,0.00219,0.004718833,0.144143648,0.254707629,0.037457625,0.00762
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.05176,0.375,0.003822,0.002075,0.001409,0.002875595,0.374559188,0.354018714,0.134322987,0.0119
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.00066,0.063,8.00E-05,7.00E-05,3.00E-05,4.71E-05,0.004924867,0.034242462,0.002392361,0.00381
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.00375,0.11,5.00E-04,0.000208,0.000206,0.000468745,0.036743815,0.086911506,0.017872722,0.002
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.02936,0.26,0.002198,0.001451,0.001637,0.002097099,0.213937278,0.206853449,0.100622875,0.0043
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.01483,0.1,0.00145,0.000386,0.000407,0.00134814,0.039818623,0.080741542,0.020022379,0.002
Lusk2012,Chile,CTRF,Podocarpus nubigena,Podocarpaceae,0.00558,0.239,0.000926,0.000467,0.00156,3.38E-05,0.043416134,0.179203851,0.009971382,0.0035
Lusk2012,Chile,CTRF,Amomyrtus luma,Myrtaceae,0.006,0.175,0.000862,0.00019,0.000541,0.000214276,0.032682347,0.1689606,0.008024568,0.002
Lusk2012,Chile,CTRF,Drimys winteri,Winteraceae,0.00821,0.116,0.000981,2.60E-05,0.000417,0.00074632,0.050737754,0.120663904,0.015717677,0.00401
Lusk2012,Chile,CTRF,Amomyrtus luma,Myrtaceae,0.00807,0.264,0.000723,0.000375,0.000638,0.000252172,0.056596169,0.184193351,0.017280444,0.0026
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.01162,0.115,0.001644,0.000605,0.000777,0.000774619,0.026204488,0.098913263,0.010922677,0.003
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.00897,0.218,0.000989,0.000666,0.000448,0.000280295,0.048815009,0.152037928,0.012251829,0.00635
Lusk2012,Chile,CTRF,Podocarpus nubigena,Podocarpaceae,0.00239,0.178,0.000346,0.00029,0.000301,2.88E-05,0.017127394,0.116863249,0.002997047,0.0026
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.01409,0.34,0.001429,0.001189,0.001051,0.000327651,0.120133852,0.29384337,0.023781859,0.0032
Lusk2012,Chile,CTRF,Drimys winteri,Winteraceae,0.03416,0.222,0.003824,0.000943,0.001303,0.002439805,0.198543224,0.227310882,0.072476668,0.0054
Lusk2012,Chile,WTRF,Podocarpus salignus,Podocarpaceae,0.00734,0.264,0.0008805,0.0014355,0.000766,0.000282282,0.076637119,0.15623478,0.031149042,0.00371
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.00716,0.23,0.000639,0.000481,0.000523,0.000193495,0.057720936,0.202698586,0.012629157,0.00635
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.0246,0.236,0.001895,0.001875,0.001702,0.001756965,0.164716349,0.196003427,0.07304897,0.0048
Lusk2012,Chile,CTRF,Podocarpus nubigena,Podocarpaceae,0.0062,0.3,0.00076,0.000546,0.000987,5.64E-05,0.038863794,0.191437943,0.004333793,0.0035
Lusk2012,Chile,CTRF,Amomyrtus luma,Myrtaceae,0.01524,0.3,0.001016,0.000605,0.001196,0.000461756,0.072369354,0.138072638,0.027908022,0.0024
Lusk2012,Chile,CTRF,Nothofagus nitida,Nothofagaceae,0.00521,0.32,0.000663,0.000577,0.000968,0.000186044,0.048244031,0.227076812,0.015388782,0.0021
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.01263,0.335,0.002063,0.002234,0.00113,0.000177859,0.141159196,0.345863179,0.031152508,0.0041
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.0031,0.113,0.00028,0.00016,0.00024,0.00013476,0.023567995,0.101413878,0.00760494,0.00508
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.00232,0.128,0.00027,0.00022,0.00014,0.000144975,0.022460558,0.104815215,0.006696857,0.00533
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.0257,0.15,0.003619,0.001081,0.000588,0.001427531,0.060122155,0.149884121,0.01988089,0.00635
Lusk2012,Chile,CTRF,Drimys winteri,Winteraceae,0.02651,0.383,0.004013,0.002469,0.001763,0.001893241,0.188644979,0.336264328,0.056026325,0.006
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.02746,0.27,0.00404,0.001306,0.000919,0.002287933,0.078179985,0.214931522,0.018884621,0.003
Lusk2012,Chile,WTRF,Persea lingue,Lauraceae,0.02108,0.276,0.002134,0.001942,0.00318,0.00117089,0.066341782,0.15241393,0.02531524,0.0064
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.01577,0.15,0.001949,0.000778,0.000865,0.001576691,0.05948138,0.12726175,0.029020821,0.0035
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.02337,0.26,0.001604,0.000869,0.000833,0.001460329,0.149562243,0.185108641,0.08217947,0.003
Lusk2012,Chile,WTRF,Podocarpus salignus,Podocarpaceae,0.00436,0.172,0.000286,0.000204,0.000254,0.000189518,0.037182397,0.085773938,0.01935798,0.0016
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.01245,0.34,0.002111,0.002453,0.00189,0.000175306,0.139525169,0.300519995,0.048073627,0.0043
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.01386,0.18,0.001007,0.000486,0.000783,0.000989685,0.090216348,0.168053563,0.039422179,0.00787
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.00362,0.118,0.00038,0.000192,0.000212,0.000278372,0.035884776,0.113923749,0.011668504,0.00533
Lusk2012,Chile,WTRF,Podocarpus salignus,Podocarpaceae,0.01207,0.197,0.001093,0.000786,0.000725,0.000227658,0.084905415,0.195756141,0.020210429,0.0034
Lusk2012,Chile,CTRF,Drimys winteri,Winteraceae,0.01045,0.255,0.000841,0.000699,0.001867,0.001044643,0.059597724,0.124652603,0.025077522,0.0041
Lusk2012,Chile,CTRF,Amomyrtus luma,Myrtaceae,0.00501,0.214,0.000378,0.000176,0.000458,0.000131796,0.035859844,0.206456766,0.006986641,0.0028
Lusk2012,Chile,CTRF,Amomyrtus luma,Myrtaceae,0.007,0.227,0.000496,0.000326,0.000427,0.000368282,0.035470206,0.126535259,0.01513539,0.0022
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.00829,0.11,0.00131,0.000313,0.000191,0.001035821,0.021326674,0.129170526,0.005454447,0.003
Lusk2012,Chile,CTRF,Nothofagus dombeyi,Nothofagaceae,0.00389,0.125,0.000266,9.50E-05,0.000149,0.000176744,0.024006721,0.149421529,0.00703364,0.0016
Lusk2012,Chile,CTRF,Nothofagus dombeyi,Nothofagaceae,0.00389,0.125,0.000266,9.50E-05,0.000149,0.000176744,0.024006721,0.149421529,0.00703364,0.0016
Lusk2012,Chile,WTRF,Persea lingue,Lauraceae,0.00292,0.205,0.000135,0.000141,9.90E-05,0.000486459,0.015168893,0.080111925,0.006131091,0.0028
Lusk2012,Chile,WTRF,Persea lingue,Lauraceae,0.00337,0.178,0.000216,0.000206,7.20E-05,0.000842077,0.013001119,0.034890893,0.008778365,0.0028
Lusk2012,Chile,WTRF,Lomatia hirsuta,Proteaceae,0.00801,0.09,0.000625,0.000221,0.000185,0.001601171,0.022345937,0.069656347,0.012495428,0.0024
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.00182,0.065,0.00022,0.00011,0.00016,0.000227352,0.017234109,0.078156046,0.007023603,0.00483
Lusk2012,NZ,WTRF,Knightia excelsa,Proteaceae,0.00789,0.178,0.000867,0.000744,0.001067,0.000876054,0.084872833,0.202773745,0.029003109,0.00401
Lusk2012,Chile,WTRF,Persea lingue,Lauraceae,0.0022,0.198,7.50E-05,0.000106,5.30E-05,0.000732796,NA,0.043818549,0.005382936,0.0025
Lusk2012,Chile,WTRF,Persea lingue,Lauraceae,0.0036,0.137,0.000197,0.000173,0.000124,0.000899314,0.015470553,0.065352739,0.007779831,0.0025
Lusk2012,NZ,WTRF,Agathis australis,Araucariaceae,0.00124,0.088,0.00013,1.00E-04,0.00018,9.53E-05,0.010405573,0.035320276,0.004774148,0.00508
Lusk2012,Chile,WTRF,Persea lingue,Lauraceae,0.00173,0.133,5.80E-05,0.000117,6.60E-05,0.00057617,NA,0.054599404,0.003321479,0.0029
Lusk2012,Chile,WTRF,Persea lingue,Lauraceae,0.00265,0.193,0.000133,0.00016,2.20E-05,0.000529524,0.009045236,0.044710278,0.004781228,0.003
Lusk2012,Chile,CTRF,Nothofagus nitida,Nothofagaceae,0.00125,0.108,0.00025,0.000217,0.000283,9.61E-05,0.005047533,0.033424321,0.002569553,0.0032
