"spdataset","dataset","species","age","dbh","sapbh","sapcb","h_t","h_c","cw","m_lf","a_lf","wbr","m_st","a_cs","SAcon","Vell","sp","authorname","reference","country","remark","a_cp","a_st","a_ss_dbh","a_ss_crownbase"
"Vanninen-PISY","Vanninen","PISY",NA,20.8,NA,73,24.23,6.39,1.75,3.474898696,NA,4.848465001,172.4326866,28.4325697919255,20.1346278680969,10.246500789224,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.40528187540469,0.0339794661412272,NA,0.0073
"Vanninen-PISY","Vanninen","PISY",NA,18.1,NA,99,21.71,7.37,1.95,3.353495204,NA,8.589084376,122.4172092,36.4753147811187,25.7578641652618,14.6735546168464,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.9864765163188,0.0257304292310638,NA,0.0099
"Vanninen-PISY","Vanninen","PISY",NA,23.7,NA,172,24.3,9.29,3.7,9.769646581,NA,21.70767126,258.6472811,89.8534624729192,65.805255110841,66.5913446404692,"Pinus sylvestris","L.","Vanninen 2004","Finland","",10.7521008569111,0.0441150294398713,NA,0.0172
"Vanninen-PISY","Vanninen","PISY",NA,17.8,NA,82,19.45,6.08,3.25,3.455903393,NA,7.801763297,106.7577868,53.5687385453217,40.4241866774879,33.6255133689227,"Pinus sylvestris","L.","Vanninen 2004","Finland","",8.29576810088555,0.0248845554090848,NA,0.0082
"Vanninen-PISY","Vanninen","PISY",NA,15.2,NA,43,22.89,5.09,1.85,1.819171179,NA,2.95883278,93.95929932,24.4099920784699,17.7216907800052,9.12136556027956,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.68802521422777,0.0181458391671346,NA,0.0043
"Vanninen-PISY","Vanninen","PISY",NA,14.9,NA,75,20.65,8.01,2.45,2.247550735,NA,5.684420839,85.69486891,50.2230462375207,35.8988534181019,25.1746422207356,"Pinus sylvestris","L.","Vanninen 2004","Finland","",4.71435247579318,0.0174366246255867,NA,0.0075
"Vanninen-PISY","Vanninen","PISY",NA,18.2,NA,109,24,9.7,3.15,3.375,NA,9.540698358,133.7770487,78.5141459921085,56.4173673337824,50.395465853479,"Pinus sylvestris","L.","Vanninen 2004","Finland","",7.79311327631118,0.0260155287643771,NA,0.0109
"Vanninen-PISY","Vanninen","PISY",NA,16.2,NA,103,22,9.59,2.9,3.555114915,NA,8.795233605,104.5628333,71.1221205874175,50.7871436827313,42.2292360896764,"Pinus sylvestris","L.","Vanninen 2004","Finland","",6.60519855417254,0.0206119894002026,NA,0.0103
"Vanninen-PISY","Vanninen","PISY",NA,19.3,NA,106,21.6,6.99,3.4,6.725886499,NA,14.98089046,140.7067354,63.5691170625476,47.4989400471485,42.3090849029552,"Pinus sylvestris","L.","Vanninen 2004","Finland","",9.0792027688745,0.0292552961883916,NA,0.0106
"Vanninen-PISY","Vanninen","PISY",NA,15.8,NA,55,21.83,6.49,1.85,3.68953869,NA,5.558355868,102.1434182,30.595567429844,21.7383862819577,11.6301890935588,"Pinus sylvestris","L.","Vanninen 2004","Finland","",2.68802521422777,0.0196066797510539,NA,0.0055
