"spdataset","dataset","species","age","dbh","sapbh","sapcb","h_t","h_c","cw","m_lf","a_lf","wbr","m_st","a_cs","SAcon","Vell","sp","authorname","reference","country","remark","a_cp","a_st","a_ss_dbh","a_ss_crownbase"
"Brown-ABGR","Brown","ABGR",33,0,NA,NA,1.2192,0.79248,1.2192,0.20198808,NA,0.16402176,NA,3.62792947736351,3.08222101120913,0.616789314102044,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",1.16745403184063,0,NA,NA
"Brown-ABGR","Brown","ABGR",28,0.762,NA,NA,1.61544,0.85344,1.3716,0.13598928,NA,0.109998,NA,4.49356687589452,3.83640317115731,0.840671973788123,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",1.4775590090483,4.56036731187748e-05,NA,NA
"Brown-ABGR","Brown","ABGR",16,1.778,NA,NA,1.95072,1.46304,1.3716,0.20901888,NA,0.16198056,NA,6.17460015782068,4.95880565733684,1.44115195506535,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",1.4775590090483,0.000248286664757774,NA,NA
"Brown-ABGR","Brown","ABGR",34,2.54,NA,NA,2.8956,2.80416,1.8288,0.9938376,NA,0.85698648,NA,14.3958108764803,11.0996652215281,4.91059184688935,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",2.62677157164143,0.000506707479097498,NA,NA
"Brown-ABGR","Brown","ABGR",45,3.81,NA,NA,2.52984,1.95072,1.43256,1.0709496,NA,0.906066,NA,8.04855259724799,6.2880089194612,2.09613476130987,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",1.61181622270998,0.00114009182796937,NA,NA
"Brown-ABGR","Brown","ABGR",48,3.81,NA,NA,2.77368,2.49936,1.524,1.821204,NA,1.812132,NA,10.5558957061109,8.07924221874918,3.03946657189709,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",1.82414692475099,0.00114009182796937,NA,NA
"Brown-ABGR","Brown","ABGR",36,5.334,NA,NA,3.77952,2.7432,2.07264,1.229256,NA,1.06582392,NA,16.4861403548023,12.9210183331735,6.17026540761314,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",3.37394215201943,0.00223457998281997,NA,NA
"Brown-ABGR","Brown","ABGR",51,5.842,NA,NA,4.84632,2.92608,2.1336,1.4238504,NA,1.4097888,NA,17.9511596522058,14.0133663733089,6.9744637825385,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",3.57532797251194,0.00268048256442576,NA,NA
"Brown-ABGR","Brown","ABGR",100,19.558,NA,NA,16.4592,11.8872,2.98704,9.398592,NA,11.516904,NA,89.8941551206338,63.2212591854887,55.5341678684628,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",7.00764282612341,0.0300426864356906,NA,NA
"Brown-ABGR","Brown","ABGR",48,10.414,NA,NA,6.00456,4.8768,3.048,5.583816,NA,7.66565856,NA,41.3831913444725,31.7592073182033,23.7226659270017,"Abies grandis","(Dougl. ex D. Don) Lindl.","Brown 1978","USA","",7.29658769900397,0.00851775272362894,NA,NA
