Species,Tree #,Height (m),D1.10,Crown width (m),Ave Leaf Height (m),Lowest leaf height (m),Crown length
Lecythis ampla,60121,38,77.8,20.5,32,23.5,
Lecythis ampla,60122,46,109,31,38,29,
Lecythis ampla,60316,19,13.7,6.4,15.5,10.4,
Lecythis ampla,60282,7,4.42,2.92,5.7,4.5,
Lecythis ampla,6060,1.16,1.08,0.54,0.96,0.74,
Lecythis ampla,6027,43,106,32.5,38.51,33,
Lecythis ampla,6096,1.29,1.24,0.94,1.12,0.48,
Lecythis ampla,60238,2.7,1.75,1.38,2.05,1.16,
Lecythis ampla,60239,5.05,3.4,2.64,4.3,0.75,
Lecythis ampla,60156,3.2,2.28,2.27,2.6,1.1,
Lecythis ampla,60150,1.77,1.39,1.2,1.37,1.09,
Lecythis ampla,60210,19.1,17.4,6.6,17,14.5,
Lecythis ampla,60181,1.94,1.33,1.62,1.54,0.97,
Lecythis ampla,60321,10.5,7.2,4.75,8.75,6.7,
Lecythis ampla,60262,2.59,1.8,1.14,2.12,0.5,
Lecythis ampla,60182,6.45,4.69,4,5.4,3.8,
Lecythis ampla,60188,11.6,8.81,4,10.5,8.6,
Lecythis ampla,60140,29.3,36,14.1,25.6,20.5,
Lecythis ampla,60119,23,28.2,9.5,17.4,10.3,
Lecythis ampla,60344,30,39.6,12.8,26,17,
Lecythis ampla,60168,23.5,22.9,12.1,19.6,14,
Ocotea attirhensis,,1.4,1.1,0.88,1.09,0.55,
Ocotea attirhensis,,2.63,1.92,1.32,2.15,1.47,
Ocotea attirhensis,,2.9,2,1.64,2.5,2,
Ocotea attirhensis,,4.02,2.66,1.58,3.4,2.68,
Ocotea attirhensis,,3.98,2.78,1.61,3.45,2.76,
Ocotea attirhensis,,1.87,1.58,1.16,1.34,0.87,
Ocotea attirhensis,,3.48,2.24,1.54,3,1.76,
Ocotea attirhensis,,3.36,2,1.2,3.12,2.89,
Ocotea attirhensis,,1.45,1.08,0.82,1.1,0.68,
Ocotea attirhensis,,1.59,1.47,0.84,1.43,0.59,
Ocotea attirhensis,,1.15,1.18,1.05,0.87,0.57,
Ocotea attirhensis,,1.17,1.08,0.96,1.05,0.9,
Ocotea attirhensis,,2.9,1.74,1.11,2.16,1.58,
Ocotea attirhensis,,2.3,1.56,0.96,1.75,1.18,
Ocotea attirhensis,,1.51,1.64,1.28,1.24,0.87,
Ocotea attirhensis,,2.24,1.59,1.16,1.84,1.1,
