species,family,Time ,light level,SLA (cm2 g-1),Leaf biomass (g),Stem biomass (g),Root biomass (g),Initial height (cm),Final height (cm),leafbiomass_fixed,leafmassproblem
Persea hintonii,Lauraceae,5,b,220.64,0.29,0.481,0.809,7.5,8,0.29,
Persea hintonii,Lauraceae,5,b,208.35,0.383,0.373,0.984,7,11,0.383,
Persea hintonii,Lauraceae,5,b,322.11,0.631,0.131,0.228,6,10.5,0.631,
Persea hintonii,Lauraceae,5,b,194.97,0.367,0.323,0.744,6.5,9.5,0.367,
Persea hintonii,Lauraceae,5,b,0,0,0,0,5,0,0,
Persea hintonii,Lauraceae,5,b,0,0,0,0,4.5,0,0,
Persea hintonii,Lauraceae,5,b,0,0,0,0,6.5,0,0,
Persea hintonii,Lauraceae,1,c,290.13,0.949,0.05,0.047,11,13.5,0.949,
Persea hintonii,Lauraceae,1,c,313.36,0.949,0.118,0.045,10,15.4,0.949,
Persea hintonii,Lauraceae,1,c,235.4,0.948,0.05,0.043,9.8,13.1,0.948,
Persea hintonii,Lauraceae,1,c,234.21,0.951,0.04,0.054,7,8.8,0.951,
Persea hintonii,Lauraceae,1,c,201.67,0.949,0.032,0.036,4.8,6.8,0.949,
Persea hintonii,Lauraceae,1,c,331.32,0.947,0.014,0.027,7,10.5,0.947,
Persea hintonii,Lauraceae,1,c,242.97,0.945,0.013,0.109,7,7.2,0.115,y
Persea hintonii,Lauraceae,1,c,188.24,0.957,0.076,0.05,10,11.7,0.957,
Persea hintonii,Lauraceae,1,c,244.08,0.952,0.044,0.075,7,9.8,0.952,
Persea hintonii,Lauraceae,1,c,212.14,0.952,0.057,0.046,7,8.4,0.952,
Persea hintonii,Lauraceae,2,c,246.56,0.029,0.027,0.03,8,7,0.029,
Persea hintonii,Lauraceae,2,c,260.59,0.086,0.072,0.011,5.7,6.2,0.086,
Persea hintonii,Lauraceae,2,c,204.59,0.203,0.117,0.336,8,12,0.203,
Persea hintonii,Lauraceae,2,c,194.97,0.061,0.054,0.001,7,7,0.061,
Persea hintonii,Lauraceae,2,c,150.48,0.105,0.07,0.128,7.5,6,0.105,
Persea hintonii,Lauraceae,2,c,287.26,0.34,0.141,0.198,10,12.2,0.34,
Persea hintonii,Lauraceae,2,c,104.42,0.943,0.077,0.113,7,11,0.167,y
Persea hintonii,Lauraceae,2,c,277.53,0.094,0.046,0.095,8,9,0.094,
Persea hintonii,Lauraceae,2,c,175.07,0.055,0.059,0.082,7.5,9.6,0.055,
Persea hintonii,Lauraceae,2,c,0,0,0,0,11,0,0,
Persea hintonii,Lauraceae,3,c,127.56,0.347,0.246,0.014,12,14.5,0.347,
Persea hintonii,Lauraceae,3,c,220.87,0.205,0.115,0.144,9.5,13,0.205,
Persea hintonii,Lauraceae,3,c,377.75,0.949,0.104,0.044,5,8.5,0.949,
Persea hintonii,Lauraceae,3,c,193.36,0.156,0.073,0.171,4,6,0.156,
Persea hintonii,Lauraceae,3,c,174.21,0.781,0.18,0.079,6,9,0.781,
Persea hintonii,Lauraceae,3,c,285.56,0.886,0.058,0.056,5.5,9.5,0.886,
Persea hintonii,Lauraceae,3,c,279.62,0.792,0.082,0.126,4.5,10.5,0.792,
Persea hintonii,Lauraceae,3,c,0,0,0,0,5,0,0,
Persea hintonii,Lauraceae,3,c,0,0,0,0,6,0,0,
Persea hintonii,Lauraceae,3,c,0,0,0,0,4,0,0,
Persea hintonii,Lauraceae,4,c,243.3,0.997,0.228,0.469,10,18.5,0.997,
Persea hintonii,Lauraceae,4,c,218.06,0.965,0.195,0.229,8.5,18,0.965,
Persea hintonii,Lauraceae,4,c,324.77,0.723,0.055,0.171,4.5,8.3,0.723,
Persea hintonii,Lauraceae,4,c,251.69,0.718,0.056,0.108,10,11.2,0.718,
Persea hintonii,Lauraceae,4,c,281.7,0.97,0.118,0.156,10,18,0.97,
Persea hintonii,Lauraceae,4,c,153.12,1.94,0.209,0.569,6.5,13.4,1.94,
Persea hintonii,Lauraceae,4,c,230.68,0.093,0.125,0.282,9.5,16.5,0.093,
Persea hintonii,Lauraceae,4,c,237.53,0.965,0.099,0.245,10,18,0.965,
Persea hintonii,Lauraceae,4,c,0,0,0,0,9.2,0,0,
Persea hintonii,Lauraceae,4,c,0,0,0,0,7.5,0,0,
Persea hintonii,Lauraceae,5,c,219.64,1.05,0.391,0.696,11,26.5,1.05,
Persea hintonii,Lauraceae,5,c,276.73,1.01,0.223,0.334,7,24,1.01,
Persea hintonii,Lauraceae,5,c,339.63,0.994,0.252,0.267,7,30.7,0.994,
Persea hintonii,Lauraceae,5,c,295.76,0.976,0.181,0.239,9.3,22.8,0.976,
Persea hintonii,Lauraceae,5,c,252.52,1.04,0.335,0.591,6,23,1.04,
Persea hintonii,Lauraceae,5,c,230.63,1.09,0.321,0.78,9.5,24.3,1.09,
Persea hintonii,Lauraceae,5,c,308.38,1.01,0.345,0.417,7,25.9,1.01,
Persea hintonii,Lauraceae,5,c,230.61,1.09,0.346,0.372,4,28.5,1.09,
Persea hintonii,Lauraceae,5,c,299.18,0.999,0.312,0.305,6,25.2,0.999,
Persea hintonii,Lauraceae,5,c,160.02,0.993,0.201,0.404,7.5,17.2,0.993,
Persea hintonii,Lauraceae,1,d,249.43,0.901,0.033,0.066,4,6.2,0.901,
Persea hintonii,Lauraceae,1,d,237.94,0.923,0.036,0.043,7,8.1,0.923,
Persea hintonii,Lauraceae,1,d,213.73,0.825,0.057,0.118,8,9.8,0.825,
Persea hintonii,Lauraceae,1,d,201.34,0.802,0.066,0.132,8,9.5,0.802,
Persea hintonii,Lauraceae,1,d,179.93,0.866,0.078,0.115,7,8.4,0.866,
Persea hintonii,Lauraceae,1,d,138.5,0.952,0.057,0.075,5,7.3,0.952,
Persea hintonii,Lauraceae,1,d,144.82,0.957,0.082,0.11,8,9.4,0.957,
Persea hintonii,Lauraceae,1,d,201.45,0.949,0.027,0.043,3.5,6,0.949,
Persea hintonii,Lauraceae,1,d,153.25,0.955,0.049,0.057,7,8.3,0.955,
Persea hintonii,Lauraceae,1,d,105.81,0.9,0.038,0.062,4.5,8.2,0.9,
Persea hintonii,Lauraceae,2,d,179.13,0.144,0.084,0.175,6,7.8,0.144,
Persea hintonii,Lauraceae,2,d,79.67,0.173,0.093,0.188,6.5,8,0.173,
Persea hintonii,Lauraceae,2,d,169.72,0.09,0.06,0.136,4.5,6,0.09,
Persea hintonii,Lauraceae,2,d,473.14,0.095,0.076,0.085,5,6,0.095,
Persea hintonii,Lauraceae,2,d,279.41,0.792,0.077,0.13,7.5,9.3,0.792,
Persea hintonii,Lauraceae,2,d,162.47,0.104,0.091,0.112,5.5,8,0.104,
Persea hintonii,Lauraceae,2,d,133.87,0.773,0.072,0.15,6,6.5,0.773,
Persea hintonii,Lauraceae,2,d,175.65,0.12,0.087,0.147,9,10.5,0.12,
Persea hintonii,Lauraceae,2,d,92.09,0.145,0.075,0.122,6,6,0.145,
Persea hintonii,Lauraceae,2,d,126.47,0.179,0.062,0.118,6,10,0.179,
Persea hintonii,Lauraceae,3,d,173.57,0.339,0.132,0.517,7.5,13,0.339,
Persea hintonii,Lauraceae,3,d,197.23,0.159,0.088,0.261,6,7.5,0.159,
Persea hintonii,Lauraceae,3,d,226.04,0.071,0.056,0.145,5,8.5,0.071,
Persea hintonii,Lauraceae,3,d,272.7,0.78,0.071,0.148,6.5,9.5,0.78,
Persea hintonii,Lauraceae,3,d,203.73,0.303,0.112,0.333,6,13.7,0.303,
Persea hintonii,Lauraceae,3,d,239.77,0.143,0.139,0.294,7,10.4,0.143,
Persea hintonii,Lauraceae,3,d,195.18,0.199,0.11,0.507,7.5,12.5,0.199,
Persea hintonii,Lauraceae,3,d,169.05,0.725,0.113,0.161,8,11,0.725,
Persea hintonii,Lauraceae,3,d,182.45,0.156,0.115,0.257,8,10.5,0.156,
Persea hintonii,Lauraceae,3,d,150.46,0.246,0.115,0.26,6.5,10,0.246,
Persea hintonii,Lauraceae,4,d,240.03,0.975,0.095,0.09,4.5,11,0.975,
Persea hintonii,Lauraceae,4,d,268.78,0.102,0.078,0.231,4,10,0.102,
Persea hintonii,Lauraceae,4,d,187.09,0.105,0.171,0.667,5.5,13.5,0.105,
Persea hintonii,Lauraceae,4,d,224.23,0.103,0.288,0.634,9,18,0.103,
Persea hintonii,Lauraceae,4,d,231.86,0.421,0.138,0.431,6,12,0.421,
Persea hintonii,Lauraceae,4,d,230.69,0.871,0.113,0.29,4,12,0.871,
Persea hintonii,Lauraceae,4,d,172.52,0.234,0.248,0.518,6,14,0.234,
Persea hintonii,Lauraceae,4,d,155.42,0.144,0.296,0.554,7.5,18,0.144,
Persea hintonii,Lauraceae,4,d,175.3,0.101,0.299,0.921,9,20,0.101,
Persea hintonii,Lauraceae,4,d,256.13,0.963,0.131,0.343,5,19,0.963,
Persea hintonii,Lauraceae,5,d,238.32,0.112,0.41,0.675,6.5,23,0.112,
Persea hintonii,Lauraceae,5,d,272.39,0.453,0.216,0.321,8,15.5,0.453,
Persea hintonii,Lauraceae,5,d,319.47,0.099,0.335,0.567,6.5,25.3,0.099,
Persea hintonii,Lauraceae,5,d,265.09,0.02,0.345,0.634,6.5,18,0.02,
Persea hintonii,Lauraceae,5,d,202.5,0.058,0.437,0.705,9,19.3,0.058,
Persea hintonii,Lauraceae,5,d,214.95,0.048,0.313,0.738,5,17.7,0.048,
Persea hintonii,Lauraceae,5,d,344.7,0.256,0.253,0.49,6,17.5,0.256,
Persea hintonii,Lauraceae,5,d,141.86,0.166,0.335,0.929,4.5,14.5,0.166,
Persea hintonii,Lauraceae,5,d,329.06,0.164,0.384,0.45,4.5,19.5,0.164,
Persea hintonii,Lauraceae,5,d,202.39,0.021,0.538,1.12,7,24,0.021,
Quercus salicifolia,Fagaceae,1,a,215.7,0.944,0.016,0.03,3.5,5.1,0.944,
Quercus salicifolia,Fagaceae,1,a,253.3,0.925,0.02,0.034,5,6.3,0.925,
Quercus salicifolia,Fagaceae,1,a,175.11,0.948,0.029,0.046,8,7.4,0.948,
Quercus salicifolia,Fagaceae,1,a,182.77,0.988,0.194,0.336,14,15.8,0.988,
Quercus salicifolia,Fagaceae,1,a,140.64,0.987,0.208,0.485,12.3,15.5,0.987,
Quercus salicifolia,Fagaceae,2,a,153.81,0.561,0.175,0.236,14,7.5,0.561,
Quercus salicifolia,Fagaceae,2,a,143.53,0.103,0.414,0.941,11.5,16,0.103,
Quercus salicifolia,Fagaceae,2,a,154.21,0.964,0.1,0.107,6.8,11.5,0.964,
Quercus salicifolia,Fagaceae,2,a,143.54,0.967,0.092,0.161,10,11,0.967,
Quercus salicifolia,Fagaceae,2,a,161.22,0.982,0.244,0.608,13,18.5,0.982,
Quercus salicifolia,Fagaceae,3,a,147.66,0.37,0.116,0.292,8.5,11.4,0.37,
Quercus salicifolia,Fagaceae,3,a,157.22,0.147,0.04,0.086,5,7,0.147,
Quercus salicifolia,Fagaceae,3,a,152.02,0.35,0.093,0.373,7,10.5,0.35,
Quercus salicifolia,Fagaceae,3,a,186.25,0.159,0.047,0.079,4.5,9,0.159,
Quercus salicifolia,Fagaceae,3,a,0,0,0,0,6.5,0,0,
Quercus salicifolia,Fagaceae,4,a,173.73,0.18,0.041,0.068,6.5,9.8,0.18,
Quercus salicifolia,Fagaceae,4,a,200.12,0.35,0.09,0.182,3.5,14,0.35,
Quercus salicifolia,Fagaceae,4,a,245.91,0.103,0.05,0.061,5,8,0.103,
Quercus salicifolia,Fagaceae,4,a,194.67,0.901,0.408,0.515,11,25,0.901,
Quercus salicifolia,Fagaceae,4,a,218.45,0.379,0.142,0.136,10,18,0.379,
Quercus salicifolia,Fagaceae,5,a,457.69,0.013,0.126,0.167,10.5,14,0.013,
Quercus salicifolia,Fagaceae,5,a,230.48,0.659,0.208,0.336,10,21,0.659,
Quercus salicifolia,Fagaceae,5,a,565.42,2.1,1.21,1.86,9,39,0.4104,
Quercus salicifolia,Fagaceae,5,a,106.49,0.684,0.078,0.138,11.5,36,0.684,
Quercus salicifolia,Fagaceae,5,a,0,0,0,0,9.5,0,0,
Quercus salicifolia,Fagaceae,1,b,187.17,0.981,0.155,0.212,12.5,17,0.981,
Quercus salicifolia,Fagaceae,1,b,152.15,0.972,0.117,0.219,10.5,11.5,0.972,
Quercus salicifolia,Fagaceae,1,b,258.82,0.962,0.068,0.122,8.5,12.2,0.962,
Quercus salicifolia,Fagaceae,1,b,205.49,0.812,0.076,0.119,10.5,15.2,0.812,
Quercus salicifolia,Fagaceae,1,b,0,0,0,0,9.5,0,0,
Quercus salicifolia,Fagaceae,2,b,174.5,0.36,0.209,0.26,11,14,0.36,
Quercus salicifolia,Fagaceae,2,b,157.4,0.594,0.322,0.411,13,16.2,0.594,
Quercus salicifolia,Fagaceae,2,b,149.56,0.042,0.157,0.34,5,6.6,0.042,
Quercus salicifolia,Fagaceae,2,b,226.78,0.027,0.02,0.033,2,5,0.027,
Quercus salicifolia,Fagaceae,2,b,0,0,0,0,5.5,0,0,
Quercus salicifolia,Fagaceae,3,b,212.1,0.025,0.074,0.246,6.5,10,0.025,
Quercus salicifolia,Fagaceae,3,b,132.17,0.328,0.099,0.208,8.6,12.2,0.328,
Quercus salicifolia,Fagaceae,3,b,141.75,1.29,0.806,1.11,22.5,32,1.29,
Quercus salicifolia,Fagaceae,3,b,237.06,0.112,0.053,0.141,7,12,0.112,
Quercus salicifolia,Fagaceae,3,b,152.77,0.032,0.243,0.39,9.5,13,0.032,
Quercus salicifolia,Fagaceae,4,b,154.81,0.507,0.187,0.274,8.5,14,0.507,
Quercus salicifolia,Fagaceae,4,b,157.5,1.06,0.357,0.648,8.5,18,1.06,
Quercus salicifolia,Fagaceae,4,b,151.22,0.107,0.65,1.25,11.5,25,0.107,
Quercus salicifolia,Fagaceae,4,b,208.47,0.105,0.476,0.541,9,32,0.105,
Quercus salicifolia,Fagaceae,4,b,195.24,0.989,0.136,0.205,4,17,0.989,
Quercus salicifolia,Fagaceae,5,b,358.37,0.904,0.399,0.919,11.5,45,0.904,
Quercus salicifolia,Fagaceae,5,b,508.28,2.68,0.808,1.19,11,33,2.68,
Quercus salicifolia,Fagaceae,5,b,254.34,0.876,1.31,2.51,4.5,7.5,0.876,
Quercus salicifolia,Fagaceae,5,b,824.33,0.989,0.042,0.102,13,23,0.1444,
Quercus salicifolia,Fagaceae,5,b,0,0,0,0,4.5,0,0,
Quercus salicifolia,Fagaceae,1,c,131.97,0.975,0.133,0.438,10,13.5,0.975,
Quercus salicifolia,Fagaceae,1,c,134.56,0.96,0.071,0.243,10.5,11.5,0.96,
Quercus salicifolia,Fagaceae,1,c,141.2,0.979,0.145,0.33,14,14.5,0.979,
Quercus salicifolia,Fagaceae,1,c,193.97,0.945,0.019,9.45,4,4.7,0.028,y
Quercus salicifolia,Fagaceae,1,c,211.28,0.946,0.018,0.154,3,8.7,0.042,y
Quercus salicifolia,Fagaceae,2,c,136.23,0.355,0.07,0.241,10,11.9,0.355,
Quercus salicifolia,Fagaceae,2,c,152.65,0.134,0.077,0.381,7,8.5,0.134,
Quercus salicifolia,Fagaceae,2,c,195.28,0.34,0.085,0.363,10,13.8,0.34,
Quercus salicifolia,Fagaceae,2,c,115.29,0.693,0.075,0.232,15,21,0.693,
Quercus salicifolia,Fagaceae,2,c,152.31,0.249,0.064,0.102,6,7.5,0.249,
Quercus salicifolia,Fagaceae,3,c,226.25,0.798,0.064,0.138,7,10.2,0.798,
Quercus salicifolia,Fagaceae,3,c,168.72,0.738,0.277,0.357,10,18.5,0.738,
Quercus salicifolia,Fagaceae,3,c,163.75,0.705,0.23,0.65,11,16,0.705,
Quercus salicifolia,Fagaceae,3,c,136.8,0.197,0.381,0.422,10.5,14,0.197,
Quercus salicifolia,Fagaceae,3,c,288.74,0.176,0.09,0.1,6,13.5,0.176,
Quercus salicifolia,Fagaceae,4,c,201.75,0.992,0.165,0.297,7.8,18.5,0.992,
Quercus salicifolia,Fagaceae,4,c,189.32,0.108,0.575,0.779,11.5,20.5,0.108,
Quercus salicifolia,Fagaceae,4,c,219.14,0.1,0.242,0.477,10,24.5,0.1,
Quercus salicifolia,Fagaceae,4,c,197.13,0.961,0.134,0.227,6,16,0.961,
Quercus salicifolia,Fagaceae,4,c,151.93,0.965,0.408,0.13,7,10,0.965,
Quercus salicifolia,Fagaceae,5,c,197.73,0.111,0.693,1.03,17.5,38,0.111,
Quercus salicifolia,Fagaceae,5,c,195.67,0.301,0.545,0.756,10,31,0.301,
Quercus salicifolia,Fagaceae,5,c,186.76,0.06,0.406,0.533,10,32.3,0.06,
Quercus salicifolia,Fagaceae,5,c,257.12,0.975,0.134,0.152,6,20,0.975,
Quercus salicifolia,Fagaceae,5,c,165.32,0.591,0.238,0.79,11,15.5,0.591,
Quercus salicifolia,Fagaceae,1,d,118.6,0.956,0.253,0.498,7.5,12.3,0.956,
Quercus salicifolia,Fagaceae,1,d,124.1,0.952,0.08,0.138,4,5.5,0.952,
Quercus salicifolia,Fagaceae,1,d,464.61,0.963,0.038,0.107,5.5,18.5,0.963,
Quercus salicifolia,Fagaceae,1,d,0,0,0.649,0.399,4.5,7,0,
Quercus salicifolia,Fagaceae,1,d,0,0,0,0,5.5,0,0,
Quercus salicifolia,Fagaceae,2,d,152.4,0.42,0.302,0.571,10.2,13,0.42,
Quercus salicifolia,Fagaceae,2,d,143.5,0.684,0.116,0.201,11,12.5,0.684,
Quercus salicifolia,Fagaceae,2,d,130.7,0.287,0.183,0.188,6,7,0.287,
Quercus salicifolia,Fagaceae,2,d,174.09,0.151,0.079,0.076,7.6,14,0.151,
Quercus salicifolia,Fagaceae,2,d,0,0,0.049,0.327,10,13.5,0,
Quercus salicifolia,Fagaceae,3,d,149.71,0.205,0.36,0.542,15,15.6,0.205,
Quercus salicifolia,Fagaceae,3,d,176.31,0.721,0.342,0.873,12,13.2,0.721,
Quercus salicifolia,Fagaceae,3,d,190.82,0.125,0.09,0.168,9,10.5,0.125,
Quercus salicifolia,Fagaceae,3,d,148.32,0.586,0.152,0.358,8,12.5,0.586,
Quercus salicifolia,Fagaceae,3,d,161.79,0.931,0.595,1.58,16,23,0.931,
Quercus salicifolia,Fagaceae,4,d,172.22,1.45,0.189,1.71,10,21,1.45,
Quercus salicifolia,Fagaceae,4,d,163.13,0.975,0.48,0.459,11,25.5,0.975,
Quercus salicifolia,Fagaceae,4,d,159.55,1.09,0.463,0.542,11.5,21,1.09,
Quercus salicifolia,Fagaceae,4,d,153.41,0.611,0.56,0.903,7,10.5,0.611,
Quercus salicifolia,Fagaceae,4,d,0,0,0.006,0.373,5,19,0,
Quercus salicifolia,Fagaceae,5,d,166.28,1.21,0.279,0.335,7,21,1.21,
Quercus salicifolia,Fagaceae,5,d,180.46,1.39,0.101,1.21,6,46.2,1.39,
Quercus salicifolia,Fagaceae,5,d,213.28,1.13,1.059,1.73,12.5,46.4,1.13,
Quercus salicifolia,Fagaceae,5,d,159.34,1.21,0.304,0.563,17.5,27.5,1.21,
Quercus salicifolia,Fagaceae,5,d,0,0,0,0,8.5,0,0,
Symplococarpon purpusii,Theaceae,1,a,157.65,0.943,0.009,0.013,3.8,4.8,0.032,y
Symplococarpon purpusii,Theaceae,1,a,208.3,0.934,0.01,0.013,4.5,7.6,0.934,
Symplococarpon purpusii,Theaceae,1,a,157.4,0.943,0.024,0.028,5.5,6,0.0318,y
Symplococarpon purpusii,Theaceae,1,a,139.27,0.943,0.032,0.015,5.5,6,0.0376,y
Symplococarpon purpusii,Theaceae,1,a,160.25,0.004,0.017,0.015,4.5,6.3,0.004,
Symplococarpon purpusii,Theaceae,1,a,152.63,0.946,0.027,0.032,10.5,7.6,0.0245,y
Symplococarpon purpusii,Theaceae,1,a,156.09,0.945,0.022,0.026,6,7.4,0.0324,y
Symplococarpon purpusii,Theaceae,1,a,90.24,0.022,0.013,0.014,7,8.5,0.022,
Symplococarpon purpusii,Theaceae,1,a,140.46,0.943,0.021,0.024,5,6.6,0.041,y
Symplococarpon purpusii,Theaceae,1,a,0,0,0,0,4.3,0,0,
Symplococarpon purpusii,Theaceae,2,a,163.06,0.017,0.018,0.016,5,6.5,0.017,
Symplococarpon purpusii,Theaceae,2,a,0,0,0,0,6,0,0,
Symplococarpon purpusii,Theaceae,2,a,0,0,0,0,6,0,0,
Symplococarpon purpusii,Theaceae,2,a,0,0,0,0,4.5,0,0,
Symplococarpon purpusii,Theaceae,2,a,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,2,a,0,0,0,0,4,0,0,
Symplococarpon purpusii,Theaceae,2,a,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,2,a,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,2,a,0,0,0,0,5.5,0,0,
Symplococarpon purpusii,Theaceae,2,a,0,0,0,0,4,0,0,
Symplococarpon purpusii,Theaceae,3,a,200.07,0.04,0.022,0.03,3.5,7.4,0.04,
Symplococarpon purpusii,Theaceae,3,a,181.42,0.063,0.034,0.067,5,7.7,0.063,
Symplococarpon purpusii,Theaceae,3,a,0,0,0,0,6,0,0,
Symplococarpon purpusii,Theaceae,3,a,0,0,0,0,4.5,0,0,
Symplococarpon purpusii,Theaceae,3,a,0,0,0,0,5.7,0,0,
Symplococarpon purpusii,Theaceae,3,a,0,0,0,0,3.5,0,0,
Symplococarpon purpusii,Theaceae,3,a,0,0,0,0,5.5,0,0,
Symplococarpon purpusii,Theaceae,3,a,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,3,a,0,0,0,0,4.6,0,0,
Symplococarpon purpusii,Theaceae,3,a,0,0,0,0,4,0,0,
Symplococarpon purpusii,Theaceae,4,a,232.46,0.105,0.053,0.086,6,9,0.105,
Symplococarpon purpusii,Theaceae,4,a,442.23,0.018,0.016,0.018,4.7,7,0.018,
Symplococarpon purpusii,Theaceae,4,a,316.57,0.064,0.033,0.038,5.5,8,0.064,
Symplococarpon purpusii,Theaceae,4,a,0,0,0,0,7,0,0,
Symplococarpon purpusii,Theaceae,4,a,0,0,0,0,4,0,0,
Symplococarpon purpusii,Theaceae,4,a,0,0,0,0,6.5,0,0,
Symplococarpon purpusii,Theaceae,4,a,0,0,0,0,4.5,0,0,
Symplococarpon purpusii,Theaceae,4,a,0,0,0,0,4.8,0,0,
Symplococarpon purpusii,Theaceae,4,a,0,0,0,0,7,0,0,
Symplococarpon purpusii,Theaceae,4,a,0,0,0,0,5.6,0,0,
Symplococarpon purpusii,Theaceae,5,a,163.05,0.064,0.032,0.038,5.5,8,0.064,
Symplococarpon purpusii,Theaceae,5,a,200.07,0.087,0.04,0.06,5,9.5,0.087,
Symplococarpon purpusii,Theaceae,5,a,244.15,0.169,0.04,0.059,5,8.5,0.169,
Symplococarpon purpusii,Theaceae,5,a,0,0,0,0,4,0,0,
Symplococarpon purpusii,Theaceae,5,a,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,5,a,0,0,0,0,6.5,0,0,
Symplococarpon purpusii,Theaceae,5,a,0,0,0,0,4.5,0,0,
Symplococarpon purpusii,Theaceae,5,a,0,0,0,0,4,0,0,
Symplococarpon purpusii,Theaceae,5,a,0,0,0,0,4.5,0,0,
Symplococarpon purpusii,Theaceae,5,a,0,0,0,0,6.5,0,0,
Symplococarpon purpusii,Theaceae,1,b,157.65,0.942,0.021,0.013,7,8.5,0.033,y
Symplococarpon purpusii,Theaceae,1,b,208.3,0.944,0.009,0.013,4,6.3,0.042,y
Symplococarpon purpusii,Theaceae,1,b,157.4,0.945,0.01,0.028,5,7.4,0.05,y
Symplococarpon purpusii,Theaceae,1,b,139.27,0.944,0.024,0.015,4.5,7.2,0.062,y
Symplococarpon purpusii,Theaceae,1,b,160.25,0.943,0.032,0.015,5,6.7,0.036,y
Symplococarpon purpusii,Theaceae,1,b,152.63,0.942,0.017,0.032,5,7.2,0.04,y
Symplococarpon purpusii,Theaceae,1,b,156.09,0.943,0.027,0.026,5.8,7.6,0.044,y
Symplococarpon purpusii,Theaceae,1,b,90.24,0.9,0.022,0.014,7,8.7,0.9,
Symplococarpon purpusii,Theaceae,1,b,140.46,0.328,0.013,0.024,6,7.8,0.328,
Symplococarpon purpusii,Theaceae,1,b,163.05,0.294,0.096,0.053,4.5,6.9,0.294,
Symplococarpon purpusii,Theaceae,2,b,0,0,0.012,0.014,7,8.9,0,
Symplococarpon purpusii,Theaceae,2,b,0,0,0.02,0.016,5,7.5,0,
Symplococarpon purpusii,Theaceae,2,b,0,0,0.023,0.024,5.5,7.9,0,
Symplococarpon purpusii,Theaceae,2,b,0,0,0.024,0.037,5.5,7.2,0,
Symplococarpon purpusii,Theaceae,2,b,0,0,0.035,0.035,5,7.6,0,
Symplococarpon purpusii,Theaceae,2,b,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,2,b,0,0,0,0,4.6,0,0,
Symplococarpon purpusii,Theaceae,2,b,0,0,0,0,4,0,0,
Symplococarpon purpusii,Theaceae,2,b,0,0,0,0,6,0,0,
Symplococarpon purpusii,Theaceae,2,b,0,0,0,0,4.7,0,0,
Symplococarpon purpusii,Theaceae,3,b,200.07,0.037,0.022,0.03,5.5,6.8,0.037,
Symplococarpon purpusii,Theaceae,3,b,181.42,0.962,0.034,0.067,7,8.2,0.962,
Symplococarpon purpusii,Theaceae,3,b,0,0,0,0,4,0,0,
Symplococarpon purpusii,Theaceae,3,b,0,0,0,0,6.5,0,0,
Symplococarpon purpusii,Theaceae,3,b,0,0,0,0,4.5,0,0,
Symplococarpon purpusii,Theaceae,3,b,0,0,0,0,4.8,0,0,
Symplococarpon purpusii,Theaceae,3,b,0,0,0,0,7,0,0,
Symplococarpon purpusii,Theaceae,3,b,0,0,0,0,5.6,0,0,
Symplococarpon purpusii,Theaceae,3,b,0,0,0,0,5.5,0,0,
Symplococarpon purpusii,Theaceae,3,b,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,4,b,232.46,0.951,0.033,0.086,5,7.2,0.951,
Symplococarpon purpusii,Theaceae,4,b,442.23,1.26,0.053,0.018,4,6.1,1.26,
Symplococarpon purpusii,Theaceae,4,b,0,0,0.016,0.038,5,6.7,0,
Symplococarpon purpusii,Theaceae,4,b,0,0,0,0,6.5,0,0,
Symplococarpon purpusii,Theaceae,4,b,0,0,0,0,4.5,0,0,
Symplococarpon purpusii,Theaceae,4,b,0,0,0,0,4,0,0,
Symplococarpon purpusii,Theaceae,4,b,0,0,0,0,4.5,0,0,
Symplococarpon purpusii,Theaceae,4,b,0,0,0,0,6.5,0,0,
Symplococarpon purpusii,Theaceae,4,b,0,0,0,0,4,0,0,
Symplococarpon purpusii,Theaceae,4,b,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,5,b,316.57,0.643,0.051,0.06,4.8,6.4,0.643,
Symplococarpon purpusii,Theaceae,5,b,244.15,0.932,0.174,0.181,6.2,7.6,0.932,
Symplococarpon purpusii,Theaceae,5,b,0,0,0,0,7,0,0,
Symplococarpon purpusii,Theaceae,5,b,0,0,0,0,6,0,0,
Symplococarpon purpusii,Theaceae,5,b,0,0,0,0,4.5,0,0,
Symplococarpon purpusii,Theaceae,5,b,0,0,0,0,6.7,0,0,
Symplococarpon purpusii,Theaceae,5,b,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,5,b,0,0,0,0,4.5,0,0,
Symplococarpon purpusii,Theaceae,5,b,0,0,0,0,5,0,0,
Symplococarpon purpusii,Theaceae,5,b,0,0,0,0,5.5,0,0,
Symplococarpon purpusii,Theaceae,1,c,228.37,0.911,0.034,0.056,6,10.5,0.911,
Symplococarpon purpusii,Theaceae,1,c,249.32,0.946,0.011,0.032,4,6,0.041,y
Symplococarpon purpusii,Theaceae,1,c,249.87,0.945,0.017,0.014,5,8,0.028,y
