spdataset,dataset,species,age,dbh,sapbh,sapcb,h_t,h_c,cw,m_lf,a_lf,wbr,m_st,a_cs,sitequal,socialclass,SAcon,Vell,sp,authorname,reference,country,remark,a_cp,a_st,a_ss_dbh,a_ss_crownbase
Reid-PICO,Reid,PICO,NA,5,9.08643344,NA,7.8,3.5,1.03,0.075193,0.512344415,NA,NA,9.203706822,good,S,6.556923243,1.944200794,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.833228912,0.001963495,0.000908643,NA
Reid-PICO,Reid,PICO,NA,3.1,5.2354734,NA,5.1,2.65,0.78,0.033708,0.311060175,NA,NA,5.277190786,good,S,3.759645429,0.844177362,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.477836243,0.000754768,0.000523547,NA
Reid-PICO,Reid,PICO,NA,3.3,5.456046436,NA,5.9,2.2,0.32,0.023,0.173031046,NA,NA,1.753414757,good,S,1.189186066,0.117956332,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.080424772,0.000855299,0.000545605,NA
Reid-PICO,Reid,PICO,NA,5.5,11.08513912,NA,7.2,1.2,0.38,0.0149,0.136523435,NA,NA,1.169684585,good,S,0.838617453,0.090729196,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.113411495,0.002375829,0.001108514,NA
Reid-PICO,Reid,PICO,NA,4.4,10.06,NA,8.4,2.6,0.4,0.065623,0.517076,NA,NA,2.592972727,good,S,1.764117977,0.217817091,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.125663706,0.001520531,0.001006,NA
Reid-PICO,Reid,PICO,NA,4.3,8.511524196,NA,7.9,1.5,0.67,0.162583,0.962887,NA,NA,2.659712974,good,S,1.970106283,0.352565236,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.352565236,0.001452201,0.000851152,NA
Reid-PICO,Reid,PICO,NA,4.3,9.684855182,NA,7.8,1.7,0.6,0.06815,0.380294445,NA,NA,2.637650499,good,S,1.909712269,0.320442451,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.282743339,0.001452201,0.000968486,NA
Reid-PICO,Reid,PICO,NA,3.3,5.777192747,NA,4.3,1.4,0.5,0.135374,1.066678025,NA,NA,1.811910878,good,S,1.313300606,0.183259571,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.196349541,0.000855299,0.000577719,NA
Reid-PICO,Reid,PICO,NA,4.9,11.4741706,NA,6.3,2,1.1,0.164431,1.115329803,NA,NA,5.990606862,good,S,4.534373046,1.267109037,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.950331778,0.001885741,0.001147417,NA
Reid-PICO,Reid,PICO,NA,5.5,11.04,NA,8.1,3.8,0.55,0.105123,0.66866588,NA,NA,5.204997695,good,S,3.529132792,0.601876793,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.237582944,0.002375829,0.001104,NA
