Species,CO2,Temp,Water,Potnum,LeafDW,StemDW,RootDW,RootShoot,LMA,LA,Leafnum,LAR,Basaldia1,Basaldia2,Tipdia1,Tipdia2,Height,Branchnum,Mainstemnum,Primarybranchnum,Secondarybranchnum,Tertiarybranchnum,,,
Saligna,280,Amb,wet,142,18.96,16.79,13.14,0.36,31.92,5956,451,12.1,10.02,9.92,1.46,1.33,112,38,,30,8,0,,,
Saligna,280,Amb,wet,143,23.91,22.36,11.68,0.25,36.34,6606,462,11.3,9.99,9.93,1.94,3.06,110,49,,30,19,0,,,
Saligna,280,Amb,wet,145,20.72,16.65,20.02,0.53,44.43,4676,551,8.1,9.97,10.52,1.34,2.46,90,50,,29,21,0,,,
Saligna,280,Amb,wet,153,23.09,16.60,31.44,0.78,35.84,6465,413,9.0,9.54,10.97,1.61,2.46,95,39,,25,14,0,,,
Saligna,280,Amb,wet,155,19.29,15.72,26.77,0.76,36.65,5282,521,8.5,9.52,10.07,1.87,3,103,61,,31,30,0,,,
Saligna,280,Amb,wet,159,22.14,16.06,12.60,0.33,33.37,6642,652,13.0,9.88,9.92,1.52,1.97,106,84,,28,56,0,,,
Saligna,280,Amb,wet,151,25.54,23.13,19.77,0.40,37.98,6724,635,9.7,9.76,11.28,2.19,2.41,119,52,,33,19,0,,,
Saligna,400,Amb,wet,41,28.12,23.75,22.78,0.43,43.98,6394,574,8.5,10.25,10.3,1.72,2.2,103,61,,27,34,0,,,
Saligna,400,Amb,wet,42,24.48,18.48,24.80,0.57,37.33,6558,391,9.6,10.93,11.03,3.97,1.71,93,48,,24,24,0,,,
Saligna,400,Amb,wet,44,13.27,15.28,11.64,0.40,33.38,3976,314,9.8,10.46,10.57,1.33,2.16,109,37,,32,5,0,,,
Saligna,400,Amb,wet,50,19.54,22.27,25.74,0.60,30.83,6338,380,9.2,12.87,12.99,2.01,3.36,122,59,,29,30,0,,,
Saligna,400,Amb,wet,71,24.32,30.77,34.56,0.62,41.35,5907,481,6.5,14.77,14.06,1.81,3.24,124,64,,28,36,0,,,
Saligna,400,Amb,wet,72,14.49,15.68,33.63,1.10,44.89,3238,253,5.0,10.6,10.16,1.7,2.62,90,35,,22,13,0,,,
Saligna,400,Amb,wet,74,19.79,25.03,19.70,0.43,37.10,5350,438,8.2,13.04,12.41,2.07,2.6,127,47,,26,21,0,,,
Saligna,400,Amb,wet,79,18.34,17.42,20.62,0.57,40.93,4491,347,7.9,11.54,12.28,1.78,3.29,104,32,,24,8,0,,,
Saligna,400,Amb,wet,80,20.29,18.43,22.61,0.57,39.57,5128,515,8.2,10.46,10.53,1.58,2.42,95,69,,29,40,0,,,
Saligna,640,Amb,wet,242,27.14,28.03,25.31,0.45,51.30,5290,520,6.5,12.4,12.26,1.58,2.25,132,62,,35,27,0,,,
Saligna,640,Amb,wet,246,29.98,26.58,45.36,0.79,48.44,6165,514,6.0,13.05,13.15,1.65,2.53,106,62,,29,33,0,,,
Saligna,640,Amb,wet,249,24.09,29.93,26.25,0.48,43.28,5559,535,6.9,12.97,14.07,1.78,2.43,127,74,,35,39,0,,,
Saligna,640,Amb,wet,251,36.33,37.38,25.91,0.35,50.91,7135,701,7.1,14.46,15.53,1.67,2.88,137,111,,33,78,0,,,
Saligna,640,Amb,wet,256,28.60,32.07,30.50,0.50,42.46,6707,384,7.3,13.02,12.41,1.4,2.48,138,35,,29,6,0,,,
Saligna,640,Amb,wet,259,31.27,34.60,28.04,0.42,42.95,7280,613,7.6,13.02,12.46,1.65,2.71,129,77,,32,45,0,,,
Saligna,640,Amb,wet,262,19.03,21.63,17.66,0.43,36.27,5262,458,8.9,12.58,12.36,1.58,1.24,130,39,,30,9,0,,,
Saligna,640,Amb,wet,271,33.40,27.45,17.16,0.28,44.34,7553,665,9.5,13.45,12.18,2.25,2.26,110,83,,30,53,0,,,
Saligna,640,Amb,wet,279,29.58,29.59,46.42,0.77,47.78,6205,505,5.8,15.69,14.95,2.14,2.66,107,60,,32,28,0,,,
