SPEC,species,family,pft,growth period,age,growingCondition,light,plant #,harvest #,m.rt,m.st,m.so,m.to,m.lf,m.br,m.to2,a.lf,ma.ilf,a.ilf,c.d,h.t,d.ba,d.cr,d.cr2,a.cp,r.st
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,6,3,1,0.104,0.276,0.415,0.519,0.139,,0.519,0.0036,0.039,35.8,,6.8,0.26,,,,0.76
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,6,4,1,0.109,0.139,0.287,0.396,0.148,,0.396,0.0027,0.056,13.3,,4.9,,,,,
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,6,5,1,0.115,0.215,0.379,0.494,0.164,,0.494,0.004,0.041,19.9,,5.5,0.23,,,,0.94
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,6,6,1,0.069,0.208,0.345,0.414,0.137,,0.414,0.0036,0.038,18,,5.5,0.22,,,,0.99
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,6,7,1,0.143,0.305,0.475,0.618,0.17,,0.618,0.0042,0.041,41.5,,5.7,0.27,,,,0.93
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,6,8,1,0.05,0.129,0.184,0.234,0.055,,0.234,0.0022,0.025,22.4,,4.9,,,,,
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,6,9,1,0.079,0.208,0.324,0.403,0.116,,0.403,0.0032,0.036,15.9,,5.3,0.29,,,,0.59
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,12,1,1,0.343,0.276,0.76,1.103,0.484,,1.103,0.0134,0.036,44.5,,6.7,0.28,,,,0.67
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,12,2,1,0.255,0.246,0.606,0.861,0.36,,0.861,0.0127,0.028,63.7,,7.4,0.26,,,,0.63
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,12,3,1,0.337,0.304,0.722,1.059,0.418,,1.059,0.012,0.035,39.9,,6.2,0.3,,,,0.69
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,12,4,1,0.218,0.179,0.49,0.708,0.311,,0.708,0.0104,0.03,34.6,,6,0.25,,,,0.61
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,12,5,1,0.324,0.288,0.681,1.005,0.393,,1.005,0.0107,0.037,35.7,,5.1,0.27,,,,0.99
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,12,6,1,0.417,0.388,0.836,1.253,0.448,,1.253,0.0116,0.039,38.6,,6.5,0.32,,,,0.74
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,12,7,1,0.727,0.561,1.357,2.084,0.796,,2.084,0.0155,0.051,38.7,,7.3,0.43,,,,0.53
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,12,8,1,0.423,0.42,0.89,1.313,0.47,,1.313,0.0116,0.04,38.7,,6.8,0.32,,,,0.77
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,12,9,1,0.286,0.286,0.637,0.923,0.351,,0.923,0.0104,0.034,34.7,,6.7,0.32,,,,0.53
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,25,1,1,0.427,0.475,0.914,1.341,0.439,,1.341,0.0093,0.047,30.9,,7.7,0.37,,,,0.57
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,25,2,1,0.43,0.353,0.834,1.264,0.481,,1.264,0.0115,0.042,38.2,,6,0.39,,,,0.49
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,25,3,1,0.382,0.33,0.757,1.139,0.427,,1.139,0.0103,0.042,34.3,,6.7,0.31,,,,0.65
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,25,4,1,0.368,0.368,0.788,1.156,0.42,,1.156,0.0114,0.037,38,,6,0.35,,,,0.64
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,25,5,1,0.268,0.227,0.545,0.813,0.318,,0.813,0.0087,0.036,29.1,,6.3,0.29,,,,0.55
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,25,6,1,0.539,0.307,0.776,1.315,0.469,,1.315,0.0122,0.039,40.5,,5.6,0.34,,,,0.6
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,25,7,1,0.369,0.247,0.519,0.888,0.272,,0.888,0.0066,0.041,33.1,,5.4,0.28,,,,0.74
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,25,8,1,0.218,0.222,0.379,0.597,0.157,,0.597,0.0039,0.041,19.3,,4.4,,,,,
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,25,9,1,0.444,0.35,0.618,1.062,0.268,,1.062,0.0054,0.049,27.2,,5.7,0.31,,,,0.81
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,50,1,1,0.927,0.554,1.397,2.324,0.843,,2.324,0.0147,0.057,36.7,,8.4,0.41,,,,0.5
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,50,2,1,0.147,0.141,0.319,0.466,0.178,,0.466,0.0037,0.048,12.4,,4.9,,,,,
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,50,3,1,0.259,0.237,0.468,0.727,0.231,,0.727,0.0041,0.056,13.8,,5.6,0.26,,,,0.8
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,50,4,1,0.891,0.587,1.566,2.457,0.979,,2.457,0.0194,0.05,48.5,,6.8,0.43,,,,0.59
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,50,5,1,0.169,0.16,0.354,0.523,0.194,,0.523,0.0039,0.05,13,,4.9,,,,,
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,50,6,1,0.332,0.347,0.648,0.98,0.301,,0.98,0.0059,0.051,19.5,,6.7,0.25,,,,1.06
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,50,7,1,0.84,0.529,1.304,2.144,0.775,,2.144,0.0143,0.054,35.7,,6.7,0.41,,,,0.6
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,50,8,1,0.633,0.369,0.988,1.621,0.619,,1.621,0.0106,0.058,26.5,,5.6,0.42,,,,0.48
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,50,9,1,0.508,0.424,0.784,1.292,0.36,,1.292,0.0063,0.057,21,,6.5,0.35,,,,0.68
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,100,1,1,0.128,0.103,0.237,0.365,0.134,,0.365,0.0021,0.062,7.2,,3.2,,,,,
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,100,2,1,0.353,0.27,0.699,1.052,0.429,,1.052,0.0064,0.067,16,,3.8,,,,,
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,100,3,1,0.661,0.463,1.063,1.724,0.6,,1.724,0.0091,0.066,22.8,,5.4,0.35,,,,0.89
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,100,4,1,0.255,0.267,0.479,0.734,0.212,,0.734,0.0029,0.073,14.5,,4,,,,,
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,100,5,1,0.204,0.22,0.412,0.616,0.192,,0.616,0.0026,0.074,13.1,,3.5,,,,,
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,100,6,1,0.526,0.328,0.815,1.341,0.487,,1.341,0.0068,0.071,17.1,,5.2,0.39,,,,0.53
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,100,7,1,0.632,0.458,0.993,1.625,0.535,,1.625,0.008,0.067,20,,5,0.38,,,,0.81
ASA,Euterpe precatoria,Aracaceae,EA,0,,CG,100,8,1,0.348,0.28,0.459,0.807,0.179,,0.807,0.0024,0.073,12.2,,3.9,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,3,1,2,0.25,0.502,1.238,1.483,0.74,,4.71,0.0215,0.034,43,10.5,24,0.32,18,15,0.0855,0.26
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,3,2,2,0.7,0.46,1.573,2.276,1.11,,6.59,0.0313,0.036,52,8,21.5,0.35,22,18,0.1257,0.22
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,3,3,2,1.29,1.326,4.499,5.785,3.17,,17.39,0.0992,0.032,142,19,29.5,0.45,38,28,0.3421,0.28
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,3,4,2,0.43,0.692,1.994,2.428,1.3,,7.54,0.0353,0.037,71,11,29.5,0.37,21,19,0.1257,0.22
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,3,5,2,1.17,1.366,4.358,5.526,2.99,,16.78,0.0877,0.034,146,17.5,32.5,0.46,30,30,0.2827,0.25
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,3,6,2,0.8,0.98,2.571,3.372,1.59,,10.3,0.044,0.036,88,19.5,27.5,0.39,18,20,0.1134,0.3
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,3,7,2,0.97,1.03,2.38,3.35,1.35,,10.11,0.0295,0.046,59,9,22,0.45,19,19,0.1134,0.29
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,3,8,2,0.25,0.67,1.746,1.995,1.08,,6.41,0.0271,0.04,54,9.5,30,0.36,18,20,0.1134,0.22
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,3,9,2,0.53,1.086,2.141,2.675,1.06,,8.58,0.0228,0.046,76,10.5,25,0.43,22,16,0.1134,0.3
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,3,10,2,0.75,0.822,2,2.75,1.18,,8.32,0.0257,0.046,64,12,21,0.43,19,15,0.0908,0.27
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,6,1,2,0.98,1.29,2.144,3.124,0.85,,9.68,0.0176,0.049,88,6.5,27,0.49,18,11,0.0661,0.25
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,6,3,2,1.29,1.784,4.122,5.41,2.34,,16.73,0.059,0.04,98,25.5,38,0.52,25,29,0.229,0.22
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,6,4,2,0.47,0.733,1.382,1.855,0.65,,5.83,0.0162,0.04,54,2,24,0.37,22,12,0.0908,0.28
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,6,5,2,0.34,0.359,0.688,1.023,0.33,,3.09,0.009,0.037,23,5.5,21,0.3,15,8,0.0415,0.24
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,6,6,2,0.31,0.491,1.037,1.35,0.55,,4.23,0.0153,0.036,51,5,20.5,0.31,16,16,0.0804,0.32
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,6,7,2,0.2,0.454,0.998,1.194,0.54,,3.84,0.0133,0.041,27,7.5,22.5,0.29,12,16,0.0616,0.31
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,6,8,2,1.56,1.432,4.594,6.153,3.16,,18.33,0.0826,0.038,138,19,30.5,0.42,36,22,0.2642,0.34
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,6,9,2,0.42,0.967,1.868,2.289,0.9,,7.41,0.0199,0.045,40,11,28,0.41,16,14,0.0707,0.26
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,12,1,2,3.23,2.675,6.723,9.949,4.05,,29.3,0.1,0.04,167,28,37,0.54,35,38,0.4185,0.32
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,12,2,2,3.16,2.944,7.417,10.573,4.47,,31.51,0.0952,0.047,159,16.5,42.5,0.56,31,30,0.2922,0.28
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,12,3,2,1.32,1.631,2.527,3.846,0.9,,11.85,0.0175,0.051,88,-0.5,34.5,0.5,17,16,0.0855,0.24
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,12,4,2,1.2,0.971,1.653,2.855,0.68,,8.33,0.0145,0.047,73,3.5,26,0.43,18,12,0.0707,0.26
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,12,5,2,1.09,1.31,1.701,2.792,0.39,,8.6,0.0069,0.057,69,3,28,0.47,12,16,0.0616,0.27
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,12,6,2,0.94,1.072,1.877,2.816,0.81,,8.58,0.0158,0.051,53,5,28.5,0.41,17,11,0.0616,0.28
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,12,7,2,3.07,1.992,4.65,7.72,2.66,,22.08,0.0598,0.044,100,25.5,34.5,0.52,35,23,0.2642,0.27
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,12,8,2,1.19,1.408,2.507,3.694,1.1,,11.3,0.023,0.048,115,3,36,0.45,24,17,0.132,0.25
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,12,9,2,4.41,4.294,8.26,12.674,3.97,,37.9,0.0818,0.048,136,21.5,49.5,0.68,34,28,0.3019,0.24
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,12,10,2,1.37,1.489,2.278,3.648,0.79,,11.06,0.0147,0.054,49,5,30,0.53,27,13,0.1257,0.22
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,12,11,2,0.74,1.13,2.242,2.98,1.11,,9.33,0.0218,0.051,55,8,24,0.45,16,12,0.0616,0.3
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,25,1,2,0.92,0.935,1.768,2.692,0.83,,8.09,0.0192,0.043,96,2.5,25.5,0.32,20,13,0.0855,0.46
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,25,2,2,8,5.005,9.9,17.9,4.89,,50.7,0.1058,0.046,118,32,46,0.72,32,26,0.2642,0.27
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,25,3,2,8.1,4.734,9.662,17.757,4.93,,49.91,0.0895,0.055,149,25,32.5,0.81,35,36,0.3959,0.28
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,25,4,2,2.15,2.094,3.222,5.372,1.13,,16.06,0.0212,0.053,71,8.5,32,0.54,25,23,0.181,0.29
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,25,5,2,5.87,3.998,7.806,13.676,3.81,,39.16,0.0906,0.042,129,23,36,0.72,36,22,0.2642,0.27
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,25,6,2,7.19,5.625,9.531,16.721,3.91,,48.6,0.0686,0.057,114,15,33,0.85,25,20,0.159,0.3
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,25,7,2,5.44,3.574,7.046,12.486,3.47,,35.59,0.0692,0.05,115,21.5,36,0.66,29,23,0.2124,0.29
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,25,9,2,5.36,4.268,8.284,13.644,4.02,,39.84,0.0714,0.056,119,13,28,0.77,25,23,0.181,0.33
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,50,1,2,2.06,1.151,1.998,4.06,0.85,,11.27,0.0158,0.054,79,3,25.5,0.45,20,16,0.1018,0.28
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,50,2,2,1.98,1.297,2.021,4.003,0.72,,11.32,0.0149,0.049,75,3,25,0.52,16,15,0.0755,0.24
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,50,3,2,1.02,0.627,1.069,2.091,0.44,,5.88,0.0091,0.049,46,0.5,21,0.42,13,12,0.0491,0.22
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,50,4,2,1.3,1.068,2.004,3.3,0.94,,9.67,0.0162,0.058,81,5,22,0.44,14,20,0.0908,0.32
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,50,5,2,5.05,2.716,6.218,11.268,3.5,,31.47,0.0566,0.062,142,6.5,24,0.61,30,27,0.2552,0.39
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,50,6,2,2.18,1.459,2.132,4.31,0.67,,12.21,0.0103,0.065,52,3.5,28,0.5,21,8,0.0661,0.27
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,50,7,2,1.63,1.176,1.91,3.535,0.73,,10.16,0.0125,0.059,63,2,26,0.47,16,15,0.0755,0.26
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,50,8,2,2.74,1.93,3.12,5.86,1.19,,16.77,0.0256,0.046,128,4,28,0.58,26,17,0.1452,0.26
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,50,9,2,1.15,0.813,1.475,2.625,0.66,,7.54,0.0101,0.066,51,5,21.5,0.39,16,15,0.0755,0.32
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,50,10,2,5.82,3.646,7.22,13.035,3.57,,36.94,0.0623,0.057,104,18.5,34,0.73,29,26,0.2376,0.26
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,100,1,2,1.72,1.095,1.678,3.398,0.58,,9.57,0.0097,0.06,49,5.5,22,0.45,,,,0.31
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,100,2,2,5.22,4.076,7.565,12.785,3.49,,37.21,0.05,0.07,71,17,36.5,0.73,,,,0.27
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,100,3,2,2.72,1.815,3.708,6.428,1.89,,18.38,0.0267,0.071,53,5,24,0.53,,,,0.34
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,100,4,2,1.11,0.659,0.845,1.95,0.19,,5.4,0.0033,0.056,33,2,24,0.4,,,,0.22
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,100,5,2,1.15,0.824,1.306,2.459,0.48,,7.05,0.0072,0.067,36,1,19.5,0.39,13,9,0.038,0.35
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,100,6,2,1.95,1.447,2.569,4.523,1.12,,13.06,0.0188,0.06,94,10.5,23,0.51,15,15,0.0707,0.31
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,100,7,2,1.9,1.756,2.402,4.303,0.65,,12.76,0.0088,0.074,88,-2,27.5,0.65,17,11,0.0616,0.19
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,100,8,2,1.32,0.814,1.233,2.556,0.42,,7.16,0.0058,0.073,58,9,21.5,0.38,15,8,0.0415,0.33
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,100,9,2,0.84,0.71,1.198,2.04,0.49,,5.99,0.0064,0.076,32,1.5,16,0.39,12,7,0.0284,0.37
MM,Cedrelinga catanaeformis,Fabaceae,EA,175,,CG,6,2,2,0.3,0.42,0.442,0.737,0.02,,2.34,0.0008,0.027,8,0,28,0.34,3,5,0.005,0.17
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,3,1,1,0.058,0.09,0.201,0.259,0.111,,0.26,0.0033,0.034,16.5,,13.6,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,3,2,1,0.167,0.219,0.66,0.827,0.441,,0.83,0.0125,0.035,31.2,,21.6,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,3,3,1,0.098,0.107,0.31,0.408,0.203,,0.41,0.0076,0.027,25.2,,13.8,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,3,4,1,0.199,0.159,0.474,0.673,0.315,,0.67,0.0097,0.032,32.3,,18,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,3,5,1,0.091,0.143,0.452,0.543,0.309,,0.54,0.0104,0.03,34.5,,16.9,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,3,6,1,0.093,0.122,0.263,0.356,0.141,,0.36,0.0057,0.025,19,,16.1,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,3,7,1,0.152,0.165,0.491,0.643,0.326,,0.64,0.0112,0.029,37.4,,16.4,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,3,8,1,0.107,0.14,0.469,0.576,0.329,,0.58,0.0118,0.028,29.6,,15.1,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,6,1,1,0.29,0.273,0.706,0.996,0.433,,1,0.0127,0.034,31.7,,22.1,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,6,2,1,0.131,0.185,0.529,0.66,0.344,,0.66,0.0099,0.035,24.8,,18.1,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,6,3,1,0.148,0.151,0.516,0.664,0.365,,0.66,0.0122,0.03,40.5,,16.7,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,6,4,1,0.193,0.305,0.724,0.917,0.419,,0.92,0.0118,0.036,29.4,,23.1,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,6,5,1,0.164,0.196,0.566,0.73,0.37,,0.73,0.012,0.031,29.9,,19.6,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,6,6,1,0.158,0.121,0.355,0.513,0.234,,0.51,0.0081,0.029,27,,14,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,6,7,1,0.153,0.209,0.648,0.801,0.439,,0.8,0.0131,0.033,43.7,,16.9,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,6,8,1,0.15,0.196,0.507,0.657,0.311,,0.66,0.0099,0.031,24.8,,20,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,12,1,1,0.165,0.298,0.787,0.952,0.489,,0.95,0.0127,0.039,31.7,,23.5,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,12,2,1,0.089,0.165,0.403,0.492,0.238,,0.49,0.0067,0.035,33.7,,16.3,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,12,3,1,0.268,0.383,1.008,1.276,0.625,,1.28,0.0166,0.038,55.3,,22.3,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,12,4,1,0.218,0.199,0.421,0.639,0.222,,0.64,0.0061,0.036,20.5,,16.5,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,12,5,1,0.247,0.214,0.713,0.96,0.499,,0.96,0.0154,0.032,51.4,,18,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,12,6,1,0.134,0.197,0.473,0.607,0.276,,0.61,0.0076,0.036,25.5,,18.1,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,12,7,1,0.168,0.216,0.693,0.861,0.477,,0.86,0.0155,0.031,51.8,,18,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,25,1,1,0.171,0.26,0.701,0.872,0.441,,0.87,0.0104,0.042,26.1,,21.6,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,25,2,1,0.343,0.413,1.085,1.428,0.672,,1.43,0.0141,0.048,35.2,,24.6,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,25,3,1,0.126,0.201,0.503,0.629,0.302,,0.63,0.0095,0.032,23.8,,20.5,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,25,4,1,0.278,0.285,0.897,1.175,0.612,,1.18,0.0149,0.041,49.8,,18.8,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,25,5,1,0.158,0.296,0.676,0.834,0.38,,0.83,0.0099,0.038,32.9,,23.4,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,25,6,1,0.44,0.386,0.982,1.422,0.596,,1.42,0.0138,0.043,46.1,,21,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,25,7,1,0.329,0.239,0.776,1.105,0.537,,1.11,0.014,0.038,46.6,,17.8,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,25,8,1,0.277,0.271,0.83,1.107,0.559,,1.11,0.0146,0.038,36.6,,18.1,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,50,1,1,0.471,0.484,1.378,1.849,0.894,,1.85,0.0171,0.052,42.9,,23.5,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,50,2,1,0.109,0.188,0.575,0.684,0.387,,0.68,0.0102,0.038,34,,18.7,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,50,3,1,0.356,0.382,0.946,1.302,0.564,,1.3,0.0133,0.042,44.3,,21.4,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,50,4,1,0.328,0.36,0.923,1.251,0.563,,1.25,0.0129,0.044,43,,21.3,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,50,5,1,0.588,0.445,1.127,1.715,0.682,,1.72,0.0157,0.043,39.2,,20,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,50,6,1,0.166,0.175,0.499,0.665,0.324,,0.67,0.0085,0.038,28.5,,16,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,50,7,1,0.34,0.354,0.947,1.287,0.593,,1.29,0.0147,0.04,48.9,,19.4,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,50,8,1,0.264,0.305,0.924,1.188,0.619,,1.19,0.0146,0.042,36.4,,19.4,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,100,1,1,0.13,0.163,0.404,0.534,0.241,,0.53,0.0077,0.031,19.2,,17.6,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,100,2,1,0.174,0.177,0.496,0.67,0.319,,0.67,0.0095,0.033,31.8,,15.1,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,100,3,1,0.143,0.161,0.399,0.542,0.238,,0.54,0.0067,0.035,33.7,,15.8,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,100,4,1,0.157,0.168,0.503,0.66,0.335,,0.66,0.0099,0.034,32.9,,16.6,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,100,5,1,0.168,0.262,0.641,0.809,0.379,,0.81,0.0085,0.045,28.2,,18.5,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,100,6,1,0.344,0.377,1.14,1.484,0.763,,1.48,0.0163,0.047,54.2,,19.9,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,100,7,1,0.463,0.397,1.059,1.522,0.662,,1.52,0.0154,0.043,51.2,,21.1,,,,,
MM,Cedrelinga catanaeformis,Fabaceae,EA,0,,CG,100,8,1,0.402,0.452,1.257,1.659,0.805,,1.66,0.0187,0.043,46.7,,22.5,,,,,
PSC,Tachigali vasquezii,Fabaceae,EA,189,,CG,3,1,2,0.21,0.314,1.466,1.675,1.15,,1.68,0.0265,0.044,53,11,18,0.23,34,23,0.0638,0.42
PSC,Tachigali vasquezii,Fabaceae,EA,189,,CG,3,2,2,0.12,0.18,0.783,0.899,0.6,,0.9,0.0136,0.044,34,7,15,0.17,28,20,0.0452,0.53
PSC,Tachigali vasquezii,Fabaceae,EA,189,,CG,3,3,2,0.18,0.346,1.65,1.829,1.3,,1.83,0.0309,0.042,77,7.5,18.5,0.21,43,29,0.1018,0.54
PSC,Tachigali vasquezii,Fabaceae,EA,189,,CG,3,4,2,0.1,0.137,0.625,0.721,0.49,,0.72,0.0095,0.052,19,6,12.5,0.18,23,15,0.0284,0.43
PSC,Tachigali vasquezii,Fabaceae,EA,189,,CG,3,5,2,0.31,0.472,1.859,2.164,1.39,,2.16,0.0316,0.044,63,14,24,0.23,37,36,0.1046,0.47
PSC,Tachigali vasquezii,Fabaceae,EA,189,,CG,3,6,2,0.13,0.173,0.837,0.964,0.66,,0.96,0.0177,0.037,35,8.5,16,0.16,31,23,0.0573,0.54
