ID,Species,Botanical.family,Wood.density..g.cm-3.,dbh..cm.,Total.height..m.,Basal.area..m2.,Basal.area..m2.ha-1.,Wood.mass..kg........bole.+.branches.,Wood.mass..kg.ha-1........bole.+.branches.,Leaf.mass..kg.,Leaf.mass..kg.ha-1.,Vegetation.type,Growing.environment,Location,Mean.annual.rainfall,Mean.annual.temperature
94,Pouteria torta (Mart.) Radlk.er ,Sapotaceae,0.59,8.1,3.5,0.0052,0.0103,5.52,165.58,0.51016,15.3,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
34,Pterodon emarginatus Vogeler ,Papilionoideae,0.68,11.6,4,0.0106,0.0212,32.99,567.5,3.1045,53.4,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
68,Pterodon emarginatus Vogeler ,Papilionoideae,0.68,8.9,4,0.0062,0.0125,14.68,302.46,2.08822,43.02,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
98,Pterodon emarginatus Vogeler ,Papilionoideae,0.68,10,5,0.0079,0.0158,16.76,486.07,0.49789,14.44,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
106,Pterodon emarginatus Vogeler ,Papilionoideae,0.68,20.2,7.5,0.0321,0.0642,126.4,2469.72,6.60413,129.03,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
9,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,7.2,2.5,0.004,0.0081,5.61,41.45,0.11094,0.82,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
21,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,5,2.5,0.002,0.0039,2.39,17.62,0,0,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
25,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,7.2,2,0.004,0.0081,3.48,25.72,0,0,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
26,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,7.2,3,0.004,0.0081,3.44,25.41,0.0204,0.15,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
35,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,17.3,3.2,0.0236,0.0473,90.58,1557.92,1.9894,34.22,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
46,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,7.5,3,0.0044,0.0088,9.66,135.18,0.58326,8.17,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
52,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,7.3,3.5,0.0042,0.0084,6.53,101.85,0.03823,0.6,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
66,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,11.5,4,0.0103,0.0206,20.68,322.61,0.6417,10.01,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
91,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,12,3.3,0.0113,0.0226,25.79,773.63,0.21282,6.38,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
108,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,10.2,4,0.0081,0.0163,12.54,245.01,0.83287,16.27,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
109,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,11.1,3,0.0097,0.0195,19.96,389.94,0.37837,7.39,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
110,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,15,3.8,0.0176,0.0352,59.31,1158.8,0.63232,12.35,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
111,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,12.6,4.5,0.0124,0.0248,25.86,505.3,0.36185,7.07,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
112,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,11.8,4,0.0109,0.0218,22.28,435.33,3.03796,59.36,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
113,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,12.7,3.8,0.0126,0.0252,25.72,502.44,1.09963,21.49,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
115,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,11.8,4,0.0109,0.0218,15.68,306.3,1.31564,25.71,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
116,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,6.7,3.5,0.0035,0.007,3.29,64.32,0.03631,0.71,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
117,Qualea grandiflora Mart.er ,Vochysiaceae,0.56,14.3,5,0.0161,0.0322,24.01,469.15,1.14251,22.32,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
1,Qualea parviflora Mart.er ,Vochysiaceae,0.51,11.1,4.5,0.0097,0.0195,35.07,258.95,0,0,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
2,Qualea parviflora Mart.er ,Vochysiaceae,0.51,7,3,0.0039,0.0077,3.81,28.1,0.0162,0.12,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
3,Qualea parviflora Mart.er ,Vochysiaceae,0.51,7.8,3,0.0048,0.0096,4.18,30.86,0.0565,0.42,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
5,Qualea parviflora Mart.er ,Vochysiaceae,0.51,9.9,3,0.0077,0.0154,24.96,184.31,0.12057,0.89,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
6,Qualea parviflora Mart.er ,Vochysiaceae,0.51,7.6,4,0.0046,0.0092,8.03,59.27,0.30502,2.25,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
7,Qualea parviflora Mart.er ,Vochysiaceae,0.51,6.7,2.5,0.0035,0.007,3.5,25.82,0.28247,2.09,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
8,Qualea parviflora Mart.er ,Vochysiaceae,0.51,16.3,4.5,0.0209,0.0419,94.31,696.46,0.2264,1.67,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
10,Qualea parviflora Mart.er ,Vochysiaceae,0.51,10.8,4,0.0092,0.0184,28.85,213.02,0.1888,1.39,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
11,Qualea parviflora Mart.er ,Vochysiaceae,0.51,10.8,3.3,0.0091,0.0182,23.17,171.07,0.52197,3.85,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
12,Qualea parviflora Mart.er ,Vochysiaceae,0.51,7.8,3.5,0.0048,0.0096,7,51.66,0.14085,1.04,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
13,Qualea parviflora Mart.er ,Vochysiaceae,0.51,5.1,3,0.002,0.0041,2.54,18.74,0.23666,1.75,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
14,Qualea parviflora Mart.er ,Vochysiaceae,0.51,6.8,3.5,0.0037,0.0074,9.73,71.85,0.02573,0.19,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
15,Qualea parviflora Mart.er ,Vochysiaceae,0.51,15.8,3.5,0.0197,0.0393,70.09,517.59,0.34823,2.57,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
18,Qualea parviflora Mart.er ,Vochysiaceae,0.51,13.2,4,0.0137,0.0274,39.68,293.03,0,0,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
19,Qualea parviflora Mart.er ,Vochysiaceae,0.51,10.3,4,0.0084,0.0168,15.05,111.15,0.14392,1.06,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
20,Qualea parviflora Mart.er ,Vochysiaceae,0.51,13.4,4,0.014,0.0281,38.71,285.88,0.49551,3.66,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
22,Qualea parviflora Mart.er ,Vochysiaceae,0.51,14.3,4.3,0.016,0.0321,65.63,484.64,0.18337,1.35,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
23,Qualea parviflora Mart.er ,Vochysiaceae,0.51,11.9,4.5,0.0112,0.0224,19.6,144.71,0.02694,0.2,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
24,Qualea parviflora Mart.er ,Vochysiaceae,0.51,10.7,5,0.0089,0.0179,21.55,159.15,0.13775,1.02,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
27,Qualea parviflora Mart.er ,Vochysiaceae,0.51,10.7,4,0.0089,0.0179,25.4,436.81,0.05496,0.95,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
28,Qualea parviflora Mart.er ,Vochysiaceae,0.51,10.3,4,0.0084,0.0168,16.35,281.22,0.56479,9.71,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
32,Qualea parviflora Mart.er ,Vochysiaceae,0.51,22.2,4.2,0.0387,0.0773,275.34,4735.84,0,0,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
38,Qualea parviflora Mart.er ,Vochysiaceae,0.51,11.9,4,0.0112,0.0224,26.38,369.32,0.0331,0.46,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
39,Qualea parviflora Mart.er ,Vochysiaceae,0.51,10.8,4,0.0092,0.0184,13.88,194.35,0.63353,8.87,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
40,Qualea parviflora Mart.er ,Vochysiaceae,0.51,14.6,3.5,0.0168,0.0337,1.76,24.62,0.48203,6.75,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
44,Qualea parviflora Mart.er ,Vochysiaceae,0.51,11.6,4.5,0.0106,0.0212,28.5,399.06,0.79575,11.14,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
49,Qualea parviflora Mart.er ,Vochysiaceae,0.51,17.8,4.3,0.0249,0.0498,102.38,1433.37,0,0,Cerrado sensu stricto ,Field wild,"Curvelo, Minas Gerais state, Brazil",1200,23
