"Species_name","Family","site","age","height","leaf_weight","stem_weight","total_weight","dia","stem.area","lma","leaf_area"
"Petrophile pulchella","Proteaceae","Basin2005",7,610,3652.3,5945.6,9597.9,6.00666666666667,28.337200641965,0.34,10742.0588235294
"Petrophile pulchella","Proteaceae","Basin2005",7,520,6824.6,6505.5,13330.1,6.53666666666667,33.5585014522924,0.34,20072.3529411765
"Petrophile pulchella","Proteaceae","Basin2005",7,585,7468.3,11420,18888.3,7.65333333333333,46.0035280504067,0.34,21965.5882352941
"Petrophile pulchella","Proteaceae","Basin2005",7,355,3269.8,2853,6122.8,5,19.6349540849362,0.34,9617.05882352941
"Petrophile pulchella","Proteaceae","Basin2005",7,840,10681.8,12753.1,23434.9,8.21,52.939056345458,0.34,31417.0588235294
"Petrophile pulchella","Proteaceae","Basin2005",7,510,3452.6,4728.3,8180.9,5.03666666666667,19.9239893357127,0.34,10154.7058823529
"Petrophile pulchella","Proteaceae","Basin2005",7,775,6995.7,8216.3,15212,6.25,30.6796157577128,0.34,20575.5882352941
"Petrophile pulchella","Proteaceae","Basin2007",5,228,1787.1,759.9,2547,3.18,7.94226038754036,0.29,6162.41379310345
"Petrophile pulchella","Proteaceae","Basin2007",5,465,3404.9,3649.2,7054.1,5.64666666666667,25.04229826688,0.29,11741.0344827586
"Petrophile pulchella","Proteaceae","Basin2007",5,325,3205.7,1735.8,4941.5,4.14333333333333,13.4830960773229,0.29,11054.1379310345
"Petrophile pulchella","Proteaceae","Basin2007",5,383,4658.3,2411.7,7070,4.58333333333333,16.4988155852589,0.29,16063.1034482759
"Petrophile pulchella","Proteaceae","Basin2007",5,264,2622.9,1196.9,3819.8,3.83666666666667,11.5610696918567,0.29,9044.48275862069
"Petrophile pulchella","Proteaceae","Basin2007",5,196,988.3,545.1,1533.4,2.74333333333333,5.91081058462033,0.29,3407.93103448276
"Petrophile pulchella","Proteaceae","Waratah2003",9,735,9812.7,8479.6,18292.3,6.11333333333333,29.3525633876052,0.343333333333333,28580.6796116505
"Petrophile pulchella","Proteaceae","Waratah2003",9,765,5967.7,9121.3,15089,6.84,36.7453243134477,0.343333333333333,17381.6504854369
