dataset,location,latitude,longitude,map,mat,species,growingcondition,status,light,harvest_year,age,tree_id,rep,number,genlev,genotype,dbh,grdiam,ht,SLA,stemdw,branchdw,leafdw,stembranchdw,agdw,taprootdw,coarserootdw,finerootdw,bgdw,totaldw,totalLA
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,4_8,4,8,hs,HS3,,5.06,2.39,34.21,0.527,0.4,1.445538462,0.927,2.372538462,0.393,0.2167,0.01079,0.62082,2.993358462,4.945187077
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,4_9,4,9,cl,C1B,,4.17,2.15,37.92,0.359333333,0.23,0.618978462,0.589333333,1.208311795,0.181,0.15358,0.01493,0.34989,1.558201795,2.347166326
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,4_10,4,10,cl,C1C,,5.20,2.09,34.84,0.4864,0.379051308,1.065464615,0.865451308,1.930915923,0.392,0.3061,0.02276,0.72036,2.651275923,3.71207872
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,4_11,4,11,fs,FS2,,6.93,2.38,37.13,0.706285714,0.710769231,1.970412727,1.417054945,3.387467672,0.426,0.3098,0.03913,0.77443,4.161897672,7.316142456
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,6_1,6,1,cl,C2,,5.54,2.09,37.72,0.396,0.231651333,0.548634737,0.627651333,1.17628607,0.191,0.08193,0.00938,0.28205,1.45833607,2.069450227
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,6_2,6,2,hs,HS1,,5.96,2.50,36.32,0.741818182,0.3158415,0.864746667,1.057659682,1.922406348,0.278,0.19611,0.02217,0.49669,2.419096348,3.140759893
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,6_3,6,3,fs,FS1,,4.60,2.18,37.36,0.295428571,0.202577684,0.647408571,0.498006256,1.145414827,0.136,0.07962,0.01382,0.22899,1.374404827,2.418718423
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,6_4,6,4,hs,HS2,,,,,,,,,,,,,,,
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,6_5,6,5,fs,FS3,,5.73,2.89,38.2,0.807142857,0.484161789,1.492753333,1.291304647,2.78405798,0.39078,0.23352,0.00941,0.63371,3.41776798,5.702317733
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,6_6,6,6,hs,HS3,,4.47,1.69,38.12,0.35,0.169100625,0.59267,0.519100625,1.111770625,0.22101,0.09231,0.01217,0.32549,1.437260625,2.25925804
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,6_7,6,7,cl,C1B,,3.58,2.08,35.58,0.296,0.200748,0.53792,0.496748,1.034668,0.18907,0.0758,0.01494,0.27981,1.314478,1.91391936
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,6_8,6,8,cl,C1C,,5.32,1.99,37.89,0.622416667,0.264551,0.809913636,0.886967667,1.696881303,0.2551,0.1803,0.0072,0.4426,2.139481303,3.068762768
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,6_9,6,9,fs,FS2,,3.21,1.48,37.11,0.12,0.150561,0.214335,0.270561,0.484896,0.08689,0.03247,0.01142,0.13078,0.615676,0.795397185
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,6_10,6,10,cl,C3B,,6.40,2.76,37.1,1.217777778,0.37286955,1.36270625,1.590647328,2.953353578,0.394,0.3201,0.01365,0.72775,3.681103578,5.055640188
Aspinwall2013,"Onslow County, North Carolina, USA",34D49.4MN,77D18.2MW,1435,17.2,Pinus taeda,PM,3,full-sun,2008,2,6_11,6,11,cl,C3C,,3.07,1.52,36.62,0.166666667,0.060374,0.195432727,0.227040667,0.422473394,0.0829,0.04717,0.00968,0.13975,0.562223394,0.715674647
