nr,forest,latitude,longitude,map,mat,species,family,individual,pft,age (yr),a.lf,a.stba,a.stbc,h.c,m.lf,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,growingCondition,status,light
205,Inpa (DRY),-16,-61,1160,24.3,Capparis prisca,Capparaceae,6,EA,0.667,50.813,10.179,2.717,145,0.338,0.389,0.727,,0.036,1.038,1.074,1.801,12.703,66.518,0.443,FW,3,full overhead light along logging road or in tree fall gap
206,Inpa (DRY),-16,-61,1160,24.3,Capparis prisca,Capparaceae,7,EA,0.667,21.536,6.975,0.968,146,0.131,0.220,0.351,,0.031,0.341,0.372,0.723,5.384,60.829,0.429,FW,3,full overhead light along logging road or in tree fall gap
207,Inpa (DRY),-16,-61,1160,24.3,Capparis prisca,Capparaceae,8,EA,0.667,20.073,2.835,0.916,83,0.086,0.091,0.177,,0.004,0.214,0.218,0.395,6.691,42.844,0.613,FW,3,full overhead light along logging road or in tree fall gap
208,Inpa (DRY),-16,-61,1160,24.3,Capparis prisca,Capparaceae,9,EA,0.667,23.316,4.948,0.916,131,0.139,0.195,0.334,,0.027,0.323,0.35,0.684,7.772,59.617,0.559,FW,3,full overhead light along logging road or in tree fall gap
209,Inpa (DRY),-16,-61,1160,24.3,Capparis prisca,Capparaceae,10,EA,0.667,18.455,4.87,1.674,95,0.111,0.130,0.241,,0.028,0.32,0.348,0.589,9.228,60.145,0.437,FW,3,full overhead light along logging road or in tree fall gap
210,Inpa (DRY),-16,-61,1160,24.3,Hymenaea courbaril,Fabaceae - Caesalpinioideae,1,EA,0.667,238.791,13.657,0.882,262,1.288,0.860,2.148,,0.027,0.791,0.818,2.966,31.839,53.938,0.547,FW,3,full overhead light along logging road or in tree fall gap
211,Inpa (DRY),-16,-61,1160,24.3,Hymenaea courbaril,Fabaceae - Caesalpinioideae,2,EA,0.667,70.713,5.557,2.63,139,0.297,0.239,0.536,,0.008,0.087,0.095,0.631,35.357,42.001,0.43,FW,3,full overhead light along logging road or in tree fall gap
212,Inpa (DRY),-16,-61,1160,24.3,Hymenaea courbaril,Fabaceae - Caesalpinioideae,3,EA,0.667,286.577,14.387,1.094,380,1.436,1.293,2.729,,0.053,0.364,0.417,3.146,47.763,50.109,0.525,FW,3,full overhead light along logging road or in tree fall gap
213,Inpa (DRY),-16,-61,1160,24.3,Hymenaea courbaril,Fabaceae - Caesalpinioideae,4,EA,0.667,143.923,9.787,0.985,205,0.821,,0.821,,,0.503,0.503,1.324,28.785,57.044,,FW,3,full overhead light along logging road or in tree fall gap
214,Inpa (DRY),-16,-61,1160,24.3,Hymenaea courbaril,Fabaceae - Caesalpinioideae,5,EA,0.667,121.293,10.179,0.801,198,0.565,0.402,0.967,,0.027,0.197,0.224,1.191,40.431,46.581,0.44,FW,3,full overhead light along logging road or in tree fall gap
215,Inpa (DRY),-16,-61,1160,24.3,Hymenaea courbaril,Fabaceae - Caesalpinioideae,6,EA,0.667,184.349,15.623,1.368,214,0.966,0.878,1.844,0.087,0.114,0.77,0.884,2.728,46.087,52.401,0.569,FW,3,full overhead light along logging road or in tree fall gap
216,Inpa (DRY),-16,-61,1160,24.3,Hymenaea courbaril,Fabaceae - Caesalpinioideae,7,EA,0.667,117.83,9.186,1.227,161,0.588,0.700,1.288,,0.029,0.515,0.544,1.832,29.457,49.902,0.947,FW,3,full overhead light along logging road or in tree fall gap
217,Inpa (DRY),-16,-61,1160,24.3,Hymenaea courbaril,Fabaceae - Caesalpinioideae,8,EA,0.667,129.034,10.463,1.389,121,0.658,0.572,1.23,,0.049,0.303,0.352,1.582,43.011,50.994,0.905,FW,3,full overhead light along logging road or in tree fall gap
218,Inpa (DRY),-16,-61,1160,24.3,Hymenaea courbaril,Fabaceae - Caesalpinioideae,9,EA,0.667,89.168,10.463,0.968,362,0.436,0.108,0.544,,0.022,0.426,0.448,0.992,35.667,48.896,0.061,FW,3,full overhead light along logging road or in tree fall gap
219,Inpa (DRY),-16,-61,1160,24.3,Hymenaea courbaril,Fabaceae - Caesalpinioideae,10,EA,0.667,104.714,12.692,0.739,314,1.14,0.709,1.849,,0.09,0.182,0.272,2.121,34.905,108.868,0.411,FW,3,full overhead light along logging road or in tree fall gap
220,Inpa (DRY),-16,-61,1160,24.3,Urera baccifera ,Urticaceae,1,DA,0.667,95.965,6.514,5.269,51,0.247,0.067,0.314,,0.031,0.189,0.22,0.534,19.193,25.739,0.223,FW,3,full overhead light along logging road or in tree fall gap
221,Inpa (DRY),-16,-61,1160,24.3,Urera baccifera ,Urticaceae,2,DA,0.667,92.044,6.881,2.926,60,0.221,0.040,0.261,,0.075,0.283,0.358,0.619,13.149,24.01,0.14,FW,3,full overhead light along logging road or in tree fall gap
222,Inpa (DRY),-16,-61,1160,24.3,Urera baccifera ,Urticaceae,3,DA,0.667,56.501,11.341,4.301,40,0.097,0.030,0.127,,0.034,0.165,0.199,0.326,8.072,17.168,0.099,FW,3,full overhead light along logging road or in tree fall gap
223,Inpa (DRY),-16,-61,1160,24.3,Urera baccifera ,Urticaceae,4,DA,0.667,47.89,3.801,1.986,43,0.08,0.012,0.092,,0.057,0.075,0.132,0.224,5.986,16.705,0.098,FW,3,full overhead light along logging road or in tree fall gap
224,Inpa (DRY),-16,-61,1160,24.3,Urera baccifera ,Urticaceae,5,DA,0.667,68.669,7.258,0.985,49,0.11,0.020,0.13,,0.038,0.055,0.093,0.223,9.81,16.019,0.112,FW,3,full overhead light along logging road or in tree fall gap
225,Inpa (DRY),-16,-61,1160,24.3,Urera baccifera ,Urticaceae,6,DA,0.667,51.072,7.992,2.433,80,0.095,0.041,0.136,,0.034,0.094,0.128,0.264,10.214,18.601,0.104,FW,3,full overhead light along logging road or in tree fall gap
226,Inpa (DRY),-16,-61,1160,24.3,Urera baccifera ,Urticaceae,7,DA,0.667,87.889,14.793,10.927,37,0.252,0.062,0.314,,0.062,0.564,0.626,0.94,21.972,28.673,0.131,FW,3,full overhead light along logging road or in tree fall gap
227,Inpa (DRY),-16,-61,1160,24.3,Urera baccifera ,Urticaceae,8,DA,0.667,79.675,9.186,4.909,71,0.139,0.043,0.182,,0.051,0.244,0.295,0.477,15.935,17.446,0.087,FW,3,full overhead light along logging road or in tree fall gap
228,Inpa (DRY),-16,-61,1160,24.3,Urera baccifera ,Urticaceae,9,DA,0.667,55.748,6.114,2.19,35,0.091,0.021,0.112,,0.047,0.081,0.128,0.24,9.291,16.323,0.15,FW,3,full overhead light along logging road or in tree fall gap
229,Inpa (DRY),-16,-61,1160,24.3,Urera baccifera ,Urticaceae,10,DA,0.667,52.227,4.524,2.19,57,0.083,0.025,0.108,,0.02,0.02,0.04,0.148,5.223,15.892,0.133,FW,3,full overhead light along logging road or in tree fall gap
230,Inpa (DRY),-16,-61,1160,24.3,Pogonopus tubulosus,Rubiaceae,1,DA,0.667,31.4,4.333,0.933,198,0.084,0.518,0.602,0.121,0.027,0.322,0.349,0.951,5.233,26.751,1.079,FW,3,full overhead light along logging road or in tree fall gap
231,Inpa (DRY),-16,-61,1160,24.3,Pogonopus tubulosus,Rubiaceae,2,DA,0.667,69.694,2.516,0.478,156,0.124,0.181,0.305,,0.016,0.181,0.197,0.502,9.956,17.792,0.851,FW,3,full overhead light along logging road or in tree fall gap
232,Inpa (DRY),-16,-61,1160,24.3,Pogonopus tubulosus,Rubiaceae,3,DA,0.667,15.277,1.839,0.43,153,0.022,0.113,0.135,,0.005,0.095,0.1,0.235,1.91,14.401,0.702,FW,3,full overhead light along logging road or in tree fall gap
233,Inpa (DRY),-16,-61,1160,24.3,Pogonopus tubulosus,Rubiaceae,4,DA,0.667,70.48,4.895,0.724,140,0.119,0.356,0.475,0.126,0.032,0.178,0.21,0.685,10.069,16.884,1.017,FW,3,full overhead light along logging road or in tree fall gap
234,Inpa (DRY),-16,-61,1160,24.3,Pogonopus tubulosus,Rubiaceae,5,DA,0.667,5.916,3.801,0.49,125,0.009,0.122,0.131,,0.007,0.115,0.122,0.253,2.958,15.213,0.518,FW,3,full overhead light along logging road or in tree fall gap
235,Inpa (DRY),-16,-61,1160,24.3,Psidium sartorianum ,Myrtaceae,1,EA,0.667,25.825,0.679,0.152,87,0.057,0.022,0.079,,0.003,0.019,0.022,0.101,2.348,22.072,0.658,FW,3,full overhead light along logging road or in tree fall gap
236,Inpa (DRY),-16,-61,1160,24.3,Psidium sartorianum ,Myrtaceae,2,EA,0.667,24.947,0.65,0.091,92,0.052,0.024,0.076,,0.012,0.016,0.028,0.104,1.782,20.844,0.795,FW,3,full overhead light along logging road or in tree fall gap
237,Inpa (DRY),-16,-61,1160,24.3,Psidium sartorianum ,Myrtaceae,3,EA,0.667,16.337,0.273,0.091,77,0.035,0.012,0.047,,0.001,0.013,0.014,0.061,1.257,21.423,0.896,FW,3,full overhead light along logging road or in tree fall gap
238,Inpa (DRY),-16,-61,1160,24.3,Psidium sartorianum ,Myrtaceae,4,EA,0.667,34.097,0.739,0.238,95,0.071,0.025,0.096,,0.002,0.03,0.032,0.128,2.841,20.823,0.565,FW,3,full overhead light along logging road or in tree fall gap
239,Inpa (DRY),-16,-61,1160,24.3,Psidium sartorianum ,Myrtaceae,5,EA,0.667,28.175,0.754,0.119,103,0.056,0.031,0.087,,0.009,0.035,0.044,0.131,2.013,19.876,0.77,FW,3,full overhead light along logging road or in tree fall gap
240,Inpa (DRY),-16,-61,1160,24.3,Psidium sartorianum ,Myrtaceae,6,EA,0.667,19.006,0.554,0.126,77,0.041,0.015,0.056,,0.003,0.017,0.02,0.076,1.358,21.572,0.619,FW,3,full overhead light along logging road or in tree fall gap
241,Inpa (DRY),-16,-61,1160,24.3,Psidium sartorianum ,Myrtaceae,7,EA,0.667,18.415,0.567,0.119,83,0.044,0.020,0.064,,0.006,0.022,0.028,0.092,1.228,23.894,0.764,FW,3,full overhead light along logging road or in tree fall gap
242,Inpa (DRY),-16,-61,1160,24.3,Psidium sartorianum ,Myrtaceae,8,EA,0.667,12.455,0.173,0.173,68,0.029,0.015,0.044,,0.005,0.013,0.018,0.062,1.132,23.283,1.275,FW,3,full overhead light along logging road or in tree fall gap
243,Inpa (DRY),-16,-61,1160,24.3,Psidium sartorianum ,Myrtaceae,9,EA,0.667,14.553,0.363,0.086,66,0.033,0.012,0.045,,0.008,0.013,0.021,0.066,1.323,22.676,0.872,FW,3,full overhead light along logging road or in tree fall gap
244,Inpa (DRY),-16,-61,1160,24.3,Psidium sartorianum ,Myrtaceae,10,EA,0.667,14.932,0.454,0.119,84,0.031,0.018,0.049,,0.009,0.013,0.022,0.071,1.149,20.761,0.798,FW,3,full overhead light along logging road or in tree fall gap
245,Inpa (DRY),-16,-61,1160,24.3,Trichilia elegans ,Meliaceae,1,EA,0.667,60.906,2.19,0.503,107,0.194,0.102,0.296,,0.009,0.073,0.082,0.378,6.767,31.852,0.764,FW,3,full overhead light along logging road or in tree fall gap
246,Inpa (DRY),-16,-61,1160,24.3,Trichilia elegans ,Meliaceae,2,EA,0.667,34.294,1.517,0.581,96,0.119,0.075,0.194,,0.007,0.067,0.074,0.268,4.899,34.7,0.772,FW,3,full overhead light along logging road or in tree fall gap
247,Inpa (DRY),-16,-61,1160,24.3,Trichilia elegans ,Meliaceae,3,EA,0.667,18.586,1.057,0.419,88,0.056,0.042,0.098,,,0.033,0.033,0.131,2.323,30.13,0.669,FW,3,full overhead light along logging road or in tree fall gap
248,Inpa (DRY),-16,-61,1160,24.3,Trichilia elegans ,Meliaceae,4,EA,0.667,10.673,0.849,0.622,72,0.035,0.028,0.063,,,0.027,0.027,0.09,2.135,32.792,0.531,FW,3,full overhead light along logging road or in tree fall gap
249,Inpa (DRY),-16,-61,1160,24.3,Trichilia elegans ,Meliaceae,5,EA,0.667,19.4,1.431,0.255,85,0.059,0.044,0.103,,0.001,0.029,0.03,0.133,3.88,30.412,0.678,FW,3,full overhead light along logging road or in tree fall gap
250,Inpa (DRY),-16,-61,1160,24.3,Trichilia elegans ,Meliaceae,6,EA,0.667,27.625,1.039,0.65,83,0.085,0.051,0.136,,0.008,0.039,0.047,0.183,4.604,30.769,0.734,FW,3,full overhead light along logging road or in tree fall gap
251,Inpa (DRY),-16,-61,1160,24.3,Trichilia elegans ,Meliaceae,7,EA,0.667,18.59,0.95,0.665,102,0.055,0.044,0.099,,0.008,0.019,0.027,0.126,3.098,29.586,0.537,FW,3,full overhead light along logging road or in tree fall gap
252,Inpa (DRY),-16,-61,1160,24.3,Trichilia elegans ,Meliaceae,8,EA,0.667,9.378,0.567,0.581,64,0.027,0.024,0.051,,0.004,0.013,0.017,0.068,2.345,28.791,0.653,FW,3,full overhead light along logging road or in tree fall gap
253,Inpa (DRY),-16,-61,1160,24.3,Trichilia elegans ,Meliaceae,9,EA,0.667,11.306,0.785,0.322,78,0.033,0.033,0.066,,0.001,0.025,0.026,0.092,2.826,29.189,0.788,FW,3,full overhead light along logging road or in tree fall gap
254,Inpa (DRY),-16,-61,1160,24.3,Trichilia elegans ,Meliaceae,10,EA,0.667,10.219,0.866,0.594,96,0.031,0.036,0.067,,0.001,0.013,0.014,0.081,2.044,30.335,0.517,FW,3,full overhead light along logging road or in tree fall gap
255,Inpa (DRY),-16,-61,1160,24.3,Copaifera chodatiana ,Fabaceae - Caesalpinioideae,1,EA,0.667,28.747,2.011,0.374,88,0.155,0.080,0.235,,0.003,0.066,0.069,0.304,5.749,53.918,0.839,FW,3,full overhead light along logging road or in tree fall gap
256,Inpa (DRY),-16,-61,1160,24.3,Copaifera chodatiana ,Fabaceae - Caesalpinioideae,2,EA,0.667,10.732,1.767,0.385,90,0.057,0.079,0.136,,0.005,0.057,0.062,0.198,10.732,53.112,0.885,FW,3,full overhead light along logging road or in tree fall gap
257,Inpa (DRY),-16,-61,1160,24.3,Copaifera chodatiana ,Fabaceae - Caesalpinioideae,3,EA,0.667,27.08,1.815,0.312,104,0.136,0.088,0.224,,0.004,0.074,0.078,0.302,6.77,50.221,0.882,FW,3,full overhead light along logging road or in tree fall gap
258,Inpa (DRY),-16,-61,1160,24.3,Copaifera chodatiana ,Fabaceae - Caesalpinioideae,4,EA,0.667,28.79,2.776,0.374,110,0.163,0.143,0.306,,0.015,0.107,0.122,0.428,5.758,56.617,0.935,FW,3,full overhead light along logging road or in tree fall gap
259,Inpa (DRY),-16,-61,1160,24.3,Copaifera chodatiana ,Fabaceae - Caesalpinioideae,5,EA,0.667,14.217,1.911,0.503,84,0.087,0.081,0.168,,0.004,0.055,0.059,0.227,3.554,61.194,0.852,FW,3,full overhead light along logging road or in tree fall gap
260,Inpa (DRY),-16,-61,1160,24.3,Copaifera chodatiana ,Fabaceae - Caesalpinioideae,6,EA,0.667,26.826,3.464,0.665,111,0.191,0.182,0.373,,0.014,0.182,0.196,0.569,8.942,71.199,0.871,FW,3,full overhead light along logging road or in tree fall gap
261,Inpa (DRY),-16,-61,1160,24.3,Copaifera chodatiana ,Fabaceae - Caesalpinioideae,7,EA,0.667,21.36,2.036,0.49,115,0.134,0.105,0.239,,0.005,0.056,0.061,0.3,4.272,62.735,0.777,FW,3,full overhead light along logging road or in tree fall gap
262,Inpa (DRY),-16,-61,1160,24.3,Copaifera chodatiana ,Fabaceae - Caesalpinioideae,8,EA,0.667,15.735,2.776,0.322,95,0.084,0.112,0.196,,0.003,0.079,0.082,0.278,7.868,53.384,0.875,FW,3,full overhead light along logging road or in tree fall gap
263,Inpa (DRY),-16,-61,1160,24.3,Copaifera chodatiana ,Fabaceae - Caesalpinioideae,9,EA,0.667,35.667,2.461,0.273,99,0.182,0.093,0.275,,0.013,0.084,0.097,0.372,8.917,51.027,0.793,FW,3,full overhead light along logging road or in tree fall gap
264,Inpa (DRY),-16,-61,1160,24.3,Copaifera chodatiana ,Fabaceae - Caesalpinioideae,10,EA,0.667,45.472,3.631,0.374,120,0.266,0.170,0.436,,0.01,0.162,0.172,0.608,7.579,58.497,0.822,FW,3,full overhead light along logging road or in tree fall gap
265,Inpa (DRY),-16,-61,1160,24.3,Solanum riparium,Solanaceae,1,EA,0.667,363.109,15.136,3.801,180,0.97,0.297,1.267,,0.119,0.135,0.254,1.521,45.389,26.714,0.187,FW,3,full overhead light along logging road or in tree fall gap
266,Inpa (DRY),-16,-61,1160,24.3,Solanum riparium,Solanaceae,2,EA,0.667,236.579,7.163,4.191,139,0.413,0.110,0.523,,0.042,0.068,0.11,0.633,12.452,17.457,0.141,FW,3,full overhead light along logging road or in tree fall gap
267,Inpa (DRY),-16,-61,1160,24.3,Solanum riparium,Solanaceae,3,EA,0.667,243.15,6.246,5.983,100,0.469,0.102,0.571,,0.05,0.052,0.102,0.673,30.394,19.288,0.167,FW,3,full overhead light along logging road or in tree fall gap
268,Inpa (DRY),-16,-61,1160,24.3,Solanum riparium,Solanaceae,4,EA,0.667,381.667,11.401,5.811,186,1.088,0.341,1.429,,0.091,0.143,0.234,1.663,54.524,28.507,0.217,FW,3,full overhead light along logging road or in tree fall gap
269,Inpa (DRY),-16,-61,1160,24.3,Solanum riparium,Solanaceae,5,EA,0.667,603.174,12.566,5.391,266,1.019,0.431,1.45,,0.158,0.162,0.32,1.77,60.317,16.894,0.186,FW,3,full overhead light along logging road or in tree fall gap
270,Inpa (DRY),-16,-61,1160,24.3,Solanum riparium,Solanaceae,6,EA,0.667,465.664,14.186,5.228,200,1.207,0.489,1.696,,0.249,0.219,0.468,2.164,46.566,25.92,0.262,FW,3,full overhead light along logging road or in tree fall gap
271,Inpa (DRY),-16,-61,1160,24.3,Solanum riparium,Solanaceae,7,EA,0.667,168.506,8.296,2.545,115,0.398,0.128,0.526,,0.058,0.035,0.093,0.619,21.063,23.619,0.216,FW,3,full overhead light along logging road or in tree fall gap
272,Inpa (DRY),-16,-61,1160,24.3,Solanum riparium,Solanaceae,8,EA,0.667,572.275,15.834,6.026,227,1.189,0.382,1.571,,0.058,0.127,0.185,1.756,63.586,20.777,0.16,FW,3,full overhead light along logging road or in tree fall gap
273,Inpa (DRY),-16,-61,1160,24.3,Solanum riparium,Solanaceae,9,EA,0.667,883.014,26.603,3.941,253,2.293,0.800,3.093,,0.132,0.349,0.481,3.574,88.301,25.968,0.233,FW,3,full overhead light along logging road or in tree fall gap
274,Inpa (DRY),-16,-61,1160,24.3,Solanum riparium,Solanaceae,10,EA,0.667,193.834,5.557,0.636,94,0.326,0.078,0.404,,0.017,0.081,0.098,0.502,27.691,16.819,0.308,FW,3,full overhead light along logging road or in tree fall gap
275,Inpa (DRY),-16,-61,1160,24.3,Tabebuia impetiginosa,Bignoniaceae,1,EA,0.667,57.163,8.245,1.496,135,0.2,0.355,0.555,,0.035,0.76,0.795,1.35,14.291,34.988,0.595,FW,3,full overhead light along logging road or in tree fall gap
276,Inpa (DRY),-16,-61,1160,24.3,Tabebuia impetiginosa,Bignoniaceae,2,EA,0.667,66.496,7.022,2.19,120,0.251,0.311,0.562,,0.023,0.744,0.767,1.329,22.165,37.747,0.592,FW,3,full overhead light along logging road or in tree fall gap
277,Inpa (DRY),-16,-61,1160,24.3,Tabebuia impetiginosa,Bignoniaceae,3,EA,0.667,50.809,5.433,0.442,190,0.139,0.401,0.54,0.04,0.026,0.359,0.385,0.925,10.162,27.357,0.853,FW,3,full overhead light along logging road or in tree fall gap
278,Inpa (DRY),-16,-61,1160,24.3,Tabebuia impetiginosa,Bignoniaceae,4,EA,0.667,130.665,11.401,1.961,127,0.513,0.504,1.017,,0.044,1.812,1.856,2.873,32.666,39.261,0.658,FW,3,full overhead light along logging road or in tree fall gap
279,Inpa (DRY),-16,-61,1160,24.3,Tabebuia impetiginosa,Bignoniaceae,5,EA,0.667,66.034,7.843,1.986,112,0.246,0.318,0.564,0.053,0.114,0.5,0.614,1.178,22.011,37.253,0.618,FW,3,full overhead light along logging road or in tree fall gap
280,Inpa (DRY),-16,-61,1160,24.3,Tabebuia impetiginosa,Bignoniaceae,6,EA,0.667,14.267,2.351,0.442,92,0.033,0.074,0.107,,0.025,0.237,0.262,0.369,7.134,23.13,0.633,FW,3,full overhead light along logging road or in tree fall gap
281,Inpa (DRY),-16,-61,1160,24.3,Tabebuia impetiginosa,Bignoniaceae,7,EA,0.667,30.47,3.664,0.554,113,0.085,0.108,0.193,,0.008,0.521,0.529,0.722,7.617,27.896,0.508,FW,3,full overhead light along logging road or in tree fall gap
282,Inpa (DRY),-16,-61,1160,24.3,Tabebuia impetiginosa,Bignoniaceae,8,EA,0.667,26.193,4.87,0.665,105,0.087,0.146,0.233,,0.023,0.194,0.217,0.45,8.731,33.215,0.569,FW,3,full overhead light along logging road or in tree fall gap
283,Inpa (DRY),-16,-61,1160,24.3,Tabebuia impetiginosa,Bignoniaceae,9,EA,0.667,73.246,4.792,0.985,96,0.184,0.165,0.349,,0.055,0.363,0.418,0.767,18.311,25.121,0.649,FW,3,full overhead light along logging road or in tree fall gap
284,Inpa (DRY),-16,-61,1160,24.3,Tabebuia impetiginosa,Bignoniaceae,10,EA,0.667,33.794,2.688,0.665,99,0.103,0.105,0.208,,0.07,0.334,0.404,0.612,8.448,30.479,0.678,FW,3,full overhead light along logging road or in tree fall gap
285,Inpa (DRY),-16,-61,1160,24.3,Centrolobium microchaete,Fabaceae - Papilionoideae,1,EA,0.667,8.765,2.602,0.454,100,0.022,0.073,0.095,,,0.047,0.047,0.142,4.383,25.099,0.529,FW,3,full overhead light along logging road or in tree fall gap
286,Inpa (DRY),-16,-61,1160,24.3,Centrolobium microchaete,Fabaceae - Papilionoideae,2,EA,0.667,25.528,1.208,0.679,81,0.06,0.066,0.126,,,0.092,0.092,0.218,6.382,23.504,0.875,FW,3,full overhead light along logging road or in tree fall gap
287,Inpa (DRY),-16,-61,1160,24.3,Centrolobium microchaete,Fabaceae - Papilionoideae,3,EA,0.667,72.618,5.067,2.011,132,0.231,0.311,0.542,,0.024,0.369,0.393,0.935,18.155,31.81,0.688,FW,3,full overhead light along logging road or in tree fall gap
288,Inpa (DRY),-16,-61,1160,24.3,Centrolobium microchaete,Fabaceae - Papilionoideae,4,EA,0.667,17.185,1.767,0.985,87,0.049,0.068,0.117,,,0.046,0.046,0.163,5.728,28.514,0.576,FW,3,full overhead light along logging road or in tree fall gap
289,Inpa (DRY),-16,-61,1160,24.3,Centrolobium microchaete,Fabaceae - Papilionoideae,5,EA,0.667,62.448,3.597,1.094,106,0.175,0.171,0.346,,0.003,0.187,0.19,0.536,15.612,28.023,0.725,FW,3,full overhead light along logging road or in tree fall gap
290,Inpa (DRY),-16,-61,1160,24.3,Centrolobium microchaete,Fabaceae - Papilionoideae,6,EA,0.667,8.584,1.41,0.916,96,0.019,0.071,0.09,,0.005,0.051,0.056,0.146,4.292,22.134,0.641,FW,3,full overhead light along logging road or in tree fall gap
291,Inpa (DRY),-16,-61,1160,24.3,Centrolobium microchaete,Fabaceae - Papilionoideae,7,EA,0.667,6.921,2.746,1.003,90,0.017,0.080,0.097,,0.008,0.059,0.067,0.164,6.921,24.563,0.493,FW,3,full overhead light along logging road or in tree fall gap
292,Inpa (DRY),-16,-61,1160,24.3,Centrolobium microchaete,Fabaceae - Papilionoideae,8,EA,0.667,31.673,3.269,1.131,99,0.109,0.130,0.239,,0.004,0.12,0.124,0.363,7.918,34.414,0.623,FW,3,full overhead light along logging road or in tree fall gap
293,Inpa (DRY),-16,-61,1160,24.3,Centrolobium microchaete,Fabaceae - Papilionoideae,9,EA,0.667,9.079,2.717,0.49,101,0.025,0.128,0.153,0.009,0.004,0.123,0.127,0.28,9.079,27.537,0.872,FW,3,full overhead light along logging road or in tree fall gap
294,Inpa (DRY),-16,-61,1160,24.3,Centrolobium microchaete,Fabaceae - Papilionoideae,10,EA,0.667,17.703,2.061,0.332,85,0.046,0.069,0.115,,,0.052,0.052,0.167,5.901,25.985,0.756,FW,3,full overhead light along logging road or in tree fall gap
295,Inpa (DRY),-16,-61,1160,24.3,Acosmium cardenasii,Fabaceae - Papilionoideae,1,EA,0.667,28.64,2.433,0.833,100,0.153,0.149,0.302,,0.014,0.213,0.227,0.529,3.58,53.422,0.953,FW,3,full overhead light along logging road or in tree fall gap
296,Inpa (DRY),-16,-61,1160,24.3,Acosmium cardenasii,Fabaceae - Papilionoideae,2,EA,0.667,20.695,3.801,0.665,138,0.118,0.288,0.406,0.035,0.022,0.542,0.564,0.97,2.299,57.019,1.034,FW,3,full overhead light along logging road or in tree fall gap
297,Inpa (DRY),-16,-61,1160,24.3,Acosmium cardenasii,Fabaceae - Papilionoideae,3,EA,0.667,14.409,2.545,1.267,60,0.098,0.068,0.166,,0.016,0.308,0.324,0.49,3.602,68.011,0.606,FW,3,full overhead light along logging road or in tree fall gap
298,Inpa (DRY),-16,-61,1160,24.3,Acosmium cardenasii,Fabaceae - Papilionoideae,4,EA,0.667,24.39,2.659,0.866,60,0.119,0.073,0.192,,0.028,0.365,0.393,0.585,3.049,48.79,0.724,FW,3,full overhead light along logging road or in tree fall gap
299,Inpa (DRY),-16,-61,1160,24.3,Acosmium cardenasii,Fabaceae - Papilionoideae,5,EA,0.667,30.456,3.017,0.985,83,0.153,0.141,0.294,0.029,0.025,0.326,0.351,0.645,4.351,50.236,0.89,FW,3,full overhead light along logging road or in tree fall gap
300,Inpa (DRY),-16,-61,1160,24.3,Acosmium cardenasii,Fabaceae - Papilionoideae,6,EA,0.667,22.44,3.398,0.665,89,0.107,0.109,0.216,,0.029,0.261,0.29,0.506,4.488,47.684,0.66,FW,3,full overhead light along logging road or in tree fall gap
301,Inpa (DRY),-16,-61,1160,24.3,Acosmium cardenasii,Fabaceae - Papilionoideae,7,EA,0.667,41.946,4.909,1.389,73,0.494,0.145,0.639,0.013,0.051,0.552,0.603,1.242,8.389,117.769,0.669,FW,3,full overhead light along logging road or in tree fall gap
302,Inpa (DRY),-16,-61,1160,24.3,Acosmium cardenasii,Fabaceae - Papilionoideae,8,EA,0.667,71.096,5.641,0.503,176,0.353,0.418,0.771,0.027,0.159,1.001,1.16,1.931,5.078,49.651,0.91,FW,3,full overhead light along logging road or in tree fall gap
303,Inpa (DRY),-16,-61,1160,24.3,Acosmium cardenasii,Fabaceae - Papilionoideae,9,EA,0.667,19.341,2.516,0.985,92,0.111,0.108,0.219,0.008,0.005,0.281,0.286,0.505,3.868,57.391,0.694,FW,3,full overhead light along logging road or in tree fall gap
304,Inpa (DRY),-16,-61,1160,24.3,Acosmium cardenasii,Fabaceae - Papilionoideae,10,EA,0.667,39.128,8.347,1.021,184,0.221,0.653,0.874,0.109,0.131,0.859,0.99,1.864,2.609,56.481,0.866,FW,3,full overhead light along logging road or in tree fall gap
305,Inpa (DRY),-16,-61,1160,24.3,Ceiba speciosa,Malvaceae - Bombacoideae,1,DA,0.667,9.648,14.253,2.27,123,0.021,0.122,0.143,,0.024,0.115,0.139,0.282,9.648,21.766,0.134,FW,3,full overhead light along logging road or in tree fall gap
306,Inpa (DRY),-16,-61,1160,24.3,Ceiba speciosa,Malvaceae - Bombacoideae,2,DA,0.667,137.432,17.497,2.986,178,0.307,0.334,0.641,,0.051,0.459,0.51,1.151,27.486,22.338,0.203,FW,3,full overhead light along logging road or in tree fall gap
307,Inpa (DRY),-16,-61,1160,24.3,Ceiba speciosa,Malvaceae - Bombacoideae,3,DA,0.667,139.679,36.103,5.683,120,0.37,0.546,0.916,,0.066,0.817,0.883,1.799,34.92,26.489,0.243,FW,3,full overhead light along logging road or in tree fall gap
308,Inpa (DRY),-16,-61,1160,24.3,Ceiba speciosa,Malvaceae - Bombacoideae,4,DA,0.667,44.543,16.331,2.717,160,0.094,0.244,0.338,,0.026,0.175,0.201,0.539,11.136,21.103,0.178,FW,3,full overhead light along logging road or in tree fall gap
