nr,forest,latitude,longitude,map,mat,species,family,individual,pft,age (yr),a.lf,a.stba,a.stbc,h.c,m.lf,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,growingCondition,status,light
27,Inpa (DRY),-16,-61,1160,24.3,Ampelocera ruizii,Ulmaceae,7,EA,0.667,57.916,3.237,0.322,145,0.206,0.110,0.316,,0.021,0.103,0.124,0.44,7.239,35.569,0.497,FW,3,full overhead light along logging road or in tree fall gap
28,Inpa (DRY),-16,-61,1160,24.3,Ampelocera ruizii,Ulmaceae,8,EA,0.667,60.601,4.119,0.442,158,0.219,0.129,0.348,,0.04,0.102,0.142,0.49,10.1,36.138,0.414,FW,3,full overhead light along logging road or in tree fall gap
29,Inpa (DRY),-16,-61,1160,24.3,Ampelocera ruizii,Ulmaceae,9,EA,0.667,69.956,3.497,0.622,144,0.271,0.148,0.419,,0.018,0.14,0.158,0.577,11.659,38.739,0.551,FW,3,full overhead light along logging road or in tree fall gap
30,Inpa (DRY),-16,-61,1160,24.3,Ampelocera ruizii,Ulmaceae,10,EA,0.667,71.767,3.871,0.374,162,0.273,0.119,0.392,,,0.12,0.12,0.512,7.974,38.04,0.404,FW,3,full overhead light along logging road or in tree fall gap
31,Inpa (DRY),-16,-61,1160,24.3,Combretum leprosum ,Combretaceae,1,EA,0.667,52.235,2.956,0.817,124,0.18,0.150,0.33,,0.014,0.275,0.289,0.619,10.447,34.46,0.681,FW,3,full overhead light along logging road or in tree fall gap
32,Inpa (DRY),-16,-61,1160,24.3,Combretum leprosum ,Combretaceae,2,EA,0.667,78.477,4.449,1.131,94,0.2,0.153,0.353,,0.058,0.267,0.325,0.678,13.079,25.485,0.624,FW,3,full overhead light along logging road or in tree fall gap
33,Inpa (DRY),-16,-61,1160,24.3,Combretum leprosum ,Combretaceae,3,EA,0.667,28.48,3.079,1.094,84,0.094,0.133,0.227,,0.026,0.222,0.248,0.475,9.493,33.005,0.791,FW,3,full overhead light along logging road or in tree fall gap
34,Inpa (DRY),-16,-61,1160,24.3,Combretum leprosum ,Combretaceae,4,EA,0.667,17.275,1.744,0.785,46,0.048,0.058,0.106,,0.009,0.06,0.069,0.175,4.319,27.785,1.023,FW,3,full overhead light along logging road or in tree fall gap
35,Inpa (DRY),-16,-61,1160,24.3,Combretum leprosum ,Combretaceae,5,EA,0.667,51.87,5.147,1.839,101,0.172,0.178,0.35,,0.048,0.285,0.333,0.683,12.967,33.16,0.525,FW,3,full overhead light along logging road or in tree fall gap
36,Inpa (DRY),-16,-61,1160,24.3,Combretum leprosum ,Combretaceae,6,EA,0.667,9.28,3.985,1.196,84,0.024,0.126,0.15,0.023,,0.1,0.1,0.25,4.64,25.862,0.611,FW,3,full overhead light along logging road or in tree fall gap
