treenr,habitat,soiltype,height,dbh,hcb,strata,socialclass,dbhinc5,heightgrowth3,ltyrgr,sapbh,la,sapcb,sapcb2,site
128,Pp/Bb/F,Ash over Basalt,8.02,4.6,3.29,C,I,4.5,51,6,79.482227,23.3202,,,Oregon
126,Pp/Bb/F,Ash over Basalt,9.64,5.6,4.03,C,I,4,56,16,91.8600916,24.6626,,,Oregon
118,Pp/Bb-menz/Ng,pumice,9.5,6.3,2.57,C,CD,8,80,22,95.818495,40.3689,,,Oregon
146,Psme/pg,clay,6.56,5.3,1.6,C,I,4.5,45,11,106.81406,20.2939,,,Oregon
149,psme/cage,ash over basalt,8.11,5.6,2.86,C,I,,18,6,108.07855,24.5773,,,Oregon
143,Pp/pg,clay,6.82,4.7,2.41,B,CD,7.5,62,16,117.2205769,21.2122,,,Oregon
101,Pp/Bb/Ng,clay,7.05,5.7,1.83,C,CD,8.5,52,17,125.2159234,37.2952,,,Oregon
112,psme/pg,,11.73,6.2,3.47,C,C,3,33,11,134.2558487,33.4943,,,Oregon
115,Pp/pg,,10.8,7.3,5.34,C,C,3,16.5,2,154.7311615,42.1508,,,Oregon
132,Pp/Bb/Ng,pumice,13.48,7.6,3.38,B,CD,9.5,123,35,162.734362,56.4633,,,Oregon
117,Pp/Bb/Ng,pumice,10.49,7.2,2.34,C,I,0,72,18,182.526379,68.8407,,,Oregon
155,Pp/Bb-menz/Ng,pumice,12.9,7.5,4.36,B,I,,76,22,193.9931825,54.3702,,,Oregon
159,Pp/Bb-menz/Ng,pumice,14.46,8.51,3.18,B,I,,87,28,201.6036843,84.3967,,,Oregon
127,Pp/Bb/F,Ash over Basalt,12.91,8.7,3.58,B,CD,4,90,26,205.2714906,55.2121,,,Oregon
162,Psme/pg,clay,11.66,9.3,3.48,B,CD,,85,24,277.4416669,62.4159,,,Oregon
108,Pp/Bb/F,,11.57,8.9,3.13,C,CD,7.5,77,27,277.9678832,104.4655,,,Oregon
134,Pp/Bb/Ng,pumice,12.89,8.8,5.15,B,CD,7,68,14,295.9123311,48.3518,,,Oregon
138,Pb/Bb/F,pumice,18.5,11.5,5.65,B,CD,7.75,75,29,298.2625546,177.2331,,,Oregon
123,Pp/Bp/Ng,clay,10.2,9.4,2.1,C,CD,8.5,73,15,313.7663013,104.7661,,,Oregon
103,Pp/Bb/Ng,pumice,14.03,10.4,4.2,B,C,6,67,17,358.785286,72.2125,,,Oregon
110,psme/cage,,12.9,9.1,2.95,C,CD,8.5,82,24,366.6942388,122.5351,,,Oregon
158,Pp/Bb-menz/Ng,pumice,17.95,12.3,4.61,B,CD,,139,32,547.1942922,132.5742,,,Oregon
107,Pp/Bb/Ng,,14.53,13.7,4.98,B,D,7,39,11,614.4007563,134.6993,,,Oregon
153,psme/cage,ash over basalt,20.1,13.5,2.7,B,CD,,107,38,631.7187712,287.5394,,,Oregon
121,Pp/Bp/Ng,clay,20.15,15.5,3.7,B,CD,7.75,93,22,809.9411719,271.1232,,,Oregon
