"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light","Note","studyName"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",16,7.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002533883,NA,NA,6.85,2.25,NA,0.0643,NA,NA,1.88,NA,NA,NA,5.26,7.776,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",16,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004488833,NA,NA,6.64,1.95,NA,0.0789,NA,NA,3.18,NA,NA,NA,7.73,12.34,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",16,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004208352,NA,NA,6.63,2.3,NA,0.0815,NA,NA,2.74,NA,NA,NA,8.2,12.99,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",16,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005634517,NA,NA,7.46,2,NA,0.0914,NA,NA,4.02,NA,NA,NA,11.1,16.79,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",17,4.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001618831,NA,NA,6.93,3.2,NA,0.0573,NA,NA,0.93,NA,NA,NA,4.54,5.814,0.344,NA,NA,2.06,7.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",17,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003349008,NA,NA,6.9,2.1,NA,0.0735,NA,NA,2.38,NA,NA,NA,6.51,10.03,1.14,NA,NA,2.3,12.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",17,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.38,NA,NA,0.0875,NA,NA,2.85,NA,NA,NA,9.86,14.7,1.99,NA,NA,4.33,19.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",18,3.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001110365,NA,NA,5.8,2.4,NA,0.043,NA,NA,0.765,NA,NA,NA,2.3,3.338,0.273,NA,NA,0.688,4.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",18,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005754895,NA,NA,8.1,2.6,NA,0.098,NA,NA,3.85,NA,NA,NA,12.9,19.41,2.66,NA,NA,6.09,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",19,9.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003696052,NA,NA,7.4,1.85,NA,0.0726,NA,NA,2.01,NA,NA,NA,7.53,10.182,0.642,NA,NA,2.78,12.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",20,7.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003287747,NA,NA,6.7,1.4,NA,0.0653,NA,NA,1.55,NA,NA,NA,5.4,7.903,0.953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",20,6.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00209117,NA,NA,7.65,3.35,NA,0.0656,NA,NA,1.28,NA,NA,NA,6.12,7.844,0.444,NA,NA,1.93,9.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",20,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002669482,NA,NA,7.6,3,NA,0.078,NA,NA,1.19,NA,NA,NA,7.1,8.846,0.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.77,2.7,NA,0.0487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
"Ishihara0000","Japan-Inabu Nagoya University Forest-",35.2,137.57,"TempF",NA,NA,NA,NA,"Chamaecyparis obtusa","Cupressaceae","EG",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,NA,0.0557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Hagihara, Akio; Yokota, Taketo; Ogawa, Kazuharu. (1993) Allometric relations in Hinoki (Chamaecyparis obtusa (Sieb. et Zucc.) Endl.) trees. Bulletin of the Nagoya University Forest 12: 11-29.","Hagihara1993b"
