,,,cm,m,m,m2,g,g,g,m2,cm2,cm,cm2/g,g/m2,m2/m2,,,,mm,,,,,,,,
Source,species,Tree.No.,DBH,Height,Crown.depth,Crown.Projection.Area,Stem.mass,Total.leaf.mass,Individual.leaf.mass,Total.leaf.area,Individual.leaf.area,Stem.diameter.at.10.percent.Height,SLA,LMA,LAI,light.ISF,light.DSF,light.GSF,D0,pft,growingCondition,location,latitude,longitude,vegetation,map,mat
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,24,,59,7,0.109955743,3.788460015,1.383904705,0.197700672,380.2096085,54.31565836,0.434971263,274.7368422,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,25,,75,10,0.116396008,4.871279929,1.507877352,0.188484669,540.6817361,67.58521701,0.44,358.5714285,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,26,,66,6,0.158964588,4.378951695,3.096776247,0.387097031,828.3876462,103.5484558,0.44362146,267.5,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,27,,61,3,0.08552986,4.084907709,0.867900367,0.144650061,386.8839468,64.4806578,0.444971909,445.7700002,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,28,,68,12,0.070607295,4.728766002,0.677726069,0.09681801,223.9884659,31.99835227,0.454972527,330.5000001,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,29,,75,5,0.119380521,5.303449098,1.685165891,0.187240655,676.9479901,75.21644334,0.46,401.71,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,30,,69,2,0.063774331,4.998802124,1.42339647,0.203342353,310.5251772,44.3607396,0.464973118,218.1578947,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,31,,53,6,0.090792028,3.963368689,,,,,0.469893605,,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,32,,108,5,0.093462381,7.831208408,1.719399701,0.245628529,427.1350836,61.01929766,0.47,248.4210526,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,33,,69,8,0.096603974,5.206404779,0.839020268,0.139836711,349.8714515,58.31190859,0.474973683,416.9999997,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,34,,85,10,0.176714587,6.355236973,2.171985111,0.271498139,809.4821434,101.1852679,0.474973683,372.6923077,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,35,,82,5,0.110269902,6.262870959,1.096122688,0.156588955,486.2798836,69.4685548,0.479895822,443.6363638,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,36,,70,3,0.067858401,5.385853492,0.625804037,0.089400577,326.014103,46.57344329,0.48,520.9523808,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,37,,97,8,0.077754418,8.106480211,2.175076753,0.241675195,442.6281193,49.18090214,0.504975247,203.5,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
