dataset,Country,Forest.type,Species,Family,a.lf,h.t,m.lf,m.st,m.rt,lf.sz,a.cs,h.c,a.cp,d.ba
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00461,0.106,0.000325,0.000175,0.000357,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00549,0.132,0.000353,0.000202,0.000279,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00582,0.125,0.000789,0.00033,0.000557,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00095,0.05,4.80E-05,2.90E-05,5.00E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00486,0.115,0.000348,0.000168,0.000168,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0,0.053,3.50E-05,2.30E-05,5.70E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00059,0.038,3.60E-05,2.10E-05,4.40E-05,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.01204,0.198,0.001134,0.00063,0.00096,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.01046,0.192,0.000818,0.0006448,0.000723,NA,NA,NA,NA,NA
Lusk2004,Chile,WTRF,Myrceugenia planipes,Myrtaceae,0.00913,0.182,0.000944,0.000531,0.000756,NA,NA,NA,NA,NA
