age,h.t,h.c,a.st,a.sh,a.ss,m.rt,m.st,a.cp,m.br,m.f,a.cs,pft,species,growingCondition,fertilized
13,7.8,5.4,0.006647604,0,0.005674497,1.06,11.314,5.147181056,3.203,1.843,36.85269476,EG,Pinus sylvestris,PM,no

13,7.8,5.7,0.007238223,0,0.00615143,1.017,12.836,2.323519964,1.453,1.509,25.06876459,EG,Pinus sylvestris,PM,no

12,6.3,4.2,0.005026544,0,0.004015148,0.449,5.936,3.017183036,1.611,1.078,21.90160585,EG,Pinus sylvestris,PM,no

13,7,4.9,0.007853975,0,0.00615143,1.367,10.952,2.895289344,2.958,1.801,24.55429305,EG,Pinus sylvestris,PM,no

13,6.6,4.4,0.008091361,0,0.006939772,0.999,12.003,2.5446879,2.187,1.684,20.75917343,EG,Pinus sylvestris,PM,no

49,12.8,7,0.010386882,0.001385441,0.007356229,3.707,32.254,1.168985639,2.504,2.2,21.35059015,EG,Pinus sylvestris,PM,no

47,12.4,6.5,0.011785871,0.001661901,0.007414349,3.191,31.685,2.488453439,2.65,2.459,29.41771441,EG,Pinus sylvestris,PM,no

49,11.7,7.2,0.021382447,0.001963494,0.013211171,5.306,44.618,3.079072359,6.976,2.428,36.25530397,EG,Pinus sylvestris,PM,no

43,10.8,5.6,0.006221134,0.000314159,0.00464975,1.203,17.244,0.985202624,1.074,1.168,15.74037119,EG,Pinus sylvestris,PM,no

50,14.8,7.8,0.021642414,0.001385441,0.014900561,8.709,62.964,2.061197199,6.755,3.383,31.75030078,EG,Pinus sylvestris,PM,no

46,13.9,6.1,0.013478206,0.002042819,0.008708487,3.172,39.033,1.628600256,2.856,2.808,22.17735187,EG,Pinus sylvestris,PM,no

49,13.6,6.7,0.016173102,0.001734943,0.011846347,8.112,53.321,3.596806391,4.592,2.546,36.8001205,EG,Pinus sylvestris,PM,no

42,6.9,2.6,0.003685281,0.000572555,0.002544688,0.527,6.796,1.207627196,0.753,0.637,8.601316913,EG,Pinus sylvestris,PM,no

46,10.5,5.5,0.005152993,0.00022698,0.003512298,1.07,12.794,0.950330975,1.14,0.65,15.18323433,EG,Pinus sylvestris,PM,no

47,10.5,5.4,0.00907625,0.00090792,0.006789761,2.324,24.61,2.061197199,3.019,2.271,22.3603984,EG,Pinus sylvestris,PM,no

92,15.8,6.2,0.023370484,0.004778358,0.013848129,11.256,82.779,2.377869471,5.456,3.585,27.4662724,EG,Pinus sylvestris,PM,no

85,13.1,4.2,0.009764258,0.002827431,0.004638754,2.853,31.237,1.583675519,1.447,1.119,15.37052619,EG,Pinus sylvestris,PM,no

94,18.8,8.2,0.033491117,0.007389805,0.019490424,17.667,119.838,2.269798775,11.506,4.16,35.02473286,EG,Pinus sylvestris,PM,no

90,18.9,7.2,0.037840648,0.007697681,0.022782811,19.171,146.164,3.268510236,14.129,6.941,37.41576988,EG,Pinus sylvestris,PM,no

93,20.7,11.1,0.039760748,0.007853975,0.025475153,27.751,184.596,3.596806391,16.717,8.17,59.54750566,EG,Pinus sylvestris,PM,no

96,20.1,10.4,0.046567985,0.00636172,0.030963511,25.918,205.108,5.227919919,31.187,11.227,67.89036025,EG,Pinus sylvestris,PM,no

96,19.5,9.3,0.045616672,0.008659007,0.028666223,30.593,211.594,5.067070511,23.924,9.548,60.05240028,EG,Pinus sylvestris,PM,no

96,20.1,11.3,0.064017947,0.017671444,0.034810584,51.941,230.97,4.675942556,26.556,8.051,69.37289613,EG,Pinus sylvestris,PM,no

101,22.2,10.9,0.075720369,0.027464565,0.037679445,57,333.906,7.450594844,40.858,11.583,85.50721305,EG,Pinus sylvestris,PM,no

106,22,12.6,0.068349217,0.018869175,0.039024242,41.238,292.03,4.227323504,40.274,12.395,73.18528673,EG,Pinus sylvestris,PM,no

12,6,4.8,0.006082118,0,0.005152993,0,7.731,4.227323504,4.96,3.667,29.76151036,EG,Pinus sylvestris,PM,no

11,6.02,5.12,0.007088212,0,0.005216807,0,8.152,3.732523079,2.799,2.631,29.37961167,EG,Pinus sylvestris,PM,no

13,6.19,5.07,0.011689856,0,0.009331308,0,14.889,4.599601919,7.291,5.093,32.73705566,EG,Pinus sylvestris,PM,no

9,5.32,4.36,0.004071501,0,0.003117243,0,5.362,2.216705904,1.374,1.543,19.08697202,EG,Pinus sylvestris,PM,no

11,5.69,5.01,0.006082118,0,0.004656622,0,7.13,3.14159,3.509,2.659,26.19896798,EG,Pinus sylvestris,PM,no

12,6.66,6.28,0.010935875,0,0.007853975,0,3.359,5.473906416,8.355,5.415,43.57981847,EG,Pinus sylvestris,PM,no

11,4.86,4.5,0.003848448,0,0.002733969,0,4.202,2.488453439,1.956,1.746,20.92467328,EG,Pinus sylvestris,PM,no

11,5.77,5.48,0.006082118,0,0.004901666,0,7.572,3.017183036,3.206,3.405,27.80532384,EG,Pinus sylvestris,PM,no

14,6.98,5.53,0.010386882,0,0.008171276,0,15.828,4.374349916,5.138,3.55,34.36100553,EG,Pinus sylvestris,PM,no

10,5.32,4.58,0.004778358,0,0.003903622,0,5.811,2.164241351,2.139,2.136,19.70374414,EG,Pinus sylvestris,PM,no

11,6.43,5.81,0.007542958,0,0.006082118,0,9.682,4.908734375,5.115,3.832,38.27703169,EG,Pinus sylvestris,PM,no

11,6.51,5.72,0.011309724,0,0.009852026,0,13.883,6.245795079,9.351,6.08,43.22354274,EG,Pinus sylvestris,PM,no

12,6.22,5.29,0.009852026,0,0.007313818,0,13.442,5.982843996,9.211,6.362,39.4379288,EG,Pinus sylvestris,PM,yes

12,6.66,5.44,0.012468971,0,0.010386882,0,16.824,6.334702076,13.741,8.62,41.73550997,EG,Pinus sylvestris,PM,yes

12,7.58,6.01,0.016741533,0,0.014526712,0,26.155,7.258329536,15.022,8.786,49.1317415,EG,Pinus sylvestris,PM,yes

11,6.54,5.01,0.008171276,0,0.006720057,0,10.994,3.664350576,3.89,3.856,28.52384256,EG,Pinus sylvestris,PM,yes

11,6.66,5.93,0.010028741,0,0.008741671,0,14.73,7.842665276,9.06,6.387,50.7763627,EG,Pinus sylvestris,PM,yes

12,7.22,5.52,0.016741533,0,0.014526712,0,22.013,6.788661831,12.372,8.53,43.97159922,EG,Pinus sylvestris,PM,yes

12,5.28,4.83,0.006792903,0,0.006082118,0,8.813,2.601550679,4.246,4.288,22.85967001,EG,Pinus sylvestris,PM,yes

13,5.77,5.46,0.010568309,0,0.006792903,0,12.764,2.601550679,9.007,6.964,25.58309282,EG,Pinus sylvestris,PM,yes

13,6.18,5.86,0.015174665,0,0.011979079,0,18.995,5.067070511,12.086,9.536,39.25603631,EG,Pinus sylvestris,PM,yes

11,4.83,4.35,0.006939772,0,0.005541765,0,7.207,2.955922031,4.589,3.368,22.32961405,EG,Pinus sylvestris,PM,yes

12,6.46,5.88,0.009852026,0,0.007466185,0,12.822,3.14159,5.579,4.493,30.32198877,EG,Pinus sylvestris,PM,yes

13,6.55,5.65,0.014102598,0,0.011215673,0,21.311,5.147181056,13.258,9.974,38.34350626,EG,Pinus sylvestris,PM,yes

10,5.62,4.77,0.007542958,0,0.00615143,0,9.615,3.664350576,3.999,3.703,27.31145984,EG,Pinus sylvestris,PM,yes

11,5.92,4.42,0.00950331,0,0.007932711,0,12.679,4.752911511,6.396,6.567,29.66392505,EG,Pinus sylvestris,PM,yes

12,5.47,4.37,0.016971655,0,0.014420094,0,19.509,5.147181056,12.286,9.729,30.78282633,EG,Pinus sylvestris,PM,yes

11,6.01,4.63,0.008824726,0,0.007313818,0,11.494,5.725547775,6.469,5.023,34.37091218,EG,Pinus sylvestris,PM,yes

12,6.31,4.34,0.010568309,0,0.009160876,0,13.689,8.0424704,9.156,6.782,40.03654203,EG,Pinus sylvestris,PM,yes

14,7.04,5.92,0.016741533,0,0.014102598,0,23.694,7.450594844,11.041,8.106,49.23138653,EG,Pinus sylvestris,PM,yes

11,4.73,4.54,0.006221134,0,0.004417861,0,6.051,2.895289344,3.968,3.734,22.92756938,EG,Pinus sylvestris,PM,yes

11,5.2,4.77,0.012867953,0,0.00587654,0,9.192,2.323519964,4.566,4.912,21.25364859,EG,Pinus sylvestris,PM,yes

13,6.15,5.55,0.012867953,0,0.009940187,0,16.46,3.8013239,8.382,7.569,31.9030105,EG,Pinus sylvestris,PM,yes

10,5.22,4.34,0.006082118,0,0.004963909,0,8.068,3.397943744,4.206,5.042,24.09895943,EG,Pinus sylvestris,PM,yes

10,5.42,4.99,0.008992016,0,0.007697681,0,10.426,4.374349916,6.628,5.735,31.38455106,EG,Pinus sylvestris,PM,yes

13,6.73,5.93,0.014526712,0,0.012076272,0,19.575,6.334702076,9.828,6.849,44.95499808,EG,Pinus sylvestris,PM,yes

12,5.85,5.1,0.006792903,0,0.005674497,0,9.404,2.835284975,3.813,2.946,25.17292893,EG,Pinus sylvestris,PM,yes

11,5.35,4.85,0.010207026,0,0.008251582,0,12.288,2.601550679,8.454,6.81,22.94580517,EG,Pinus sylvestris,PM,yes

13,6.26,5.66,0.01495711,0,0.012173858,0,19.244,5.473906416,15.678,9.786,39.75241854,EG,Pinus sylvestris,PM,yes

10,4.39,3.19,0.004071501,0,0.003525649,0,4.923,2.164241351,2.134,2.277,14.29819989,EG,Pinus sylvestris,PM,yes

11,4.95,4,0.006647604,0,0.004901666,0,7.125,2.112405116,2.877,2.615,17.19838392,EG,Pinus sylvestris,PM,yes

14,6.18,4.88,0.011499005,0,0.008659007,0,14.24,5.641039004,9.892,4.402,35.60411568,EG,Pinus sylvestris,PM,yes

9,4.65,4.47,0.004656622,0,0.003848448,0,5.554,2.775908924,4.223,5.015,22.09068757,EG,Pinus sylvestris,PM,yes

11,4.77,4.33,0.007697681,0,0.00629123,0,8.874,3.017183036,6.811,5.971,22.49555826,EG,Pinus sylvestris,PM,yes

13,6.15,5.34,0.013273218,0,0.011028748,0,15.728,3.204735959,7.524,6.604,28.06057149,EG,Pinus sylvestris,PM,yes

9,5.09,4.31,0.005281013,0,0.004128246,0,6.407,3.332912831,4.099,3.863,23.69387756,EG,Pinus sylvestris,PM,yes

10,5.18,4.04,0.008171276,0,0.006647604,0,8.502,4.5238896,5.409,4.851,26.74486014,EG,Pinus sylvestris,PM,yes

12,5.6,4.85,0.013478206,0,0.008824726,0,12.997,3.596806391,7.718,5.415,27.42887619,EG,Pinus sylvestris,PM,yes

11,5.32,4.81,0.006939772,0,0.005674497,0,7.597,2.895289344,4.653,3.819,24.14677888,EG,Pinus sylvestris,PM,yes

9,5.65,4.6,0.00950331,0,0.008091361,0,11.424,5.810684864,8.844,7.716,34.48415012,EG,Pinus sylvestris,PM,yes

11,6.63,6.45,0.015393791,0,0.012076272,0,20.557,5.147181056,11.449,10.357,43.14887272,EG,Pinus sylvestris,PM,yes

11,4.76,3.93,0.005674497,0,0.004778358,0,6.774,3.204735959,4.34,3.114,21.39677507,EG,Pinus sylvestris,PM,yes

11,6.07,5.78,0.00950331,0,0.00801184,0,13.165,4.987588284,8.381,6.188,38.44046114,EG,Pinus sylvestris,PM,yes

13,6.74,5.99,0.01495711,0,0.012076272,0,20.83,6.1575164,12.182,8.452,44.63197569,EG,Pinus sylvestris,PM,yes

9,4.92,4.62,0.00636172,0,0.005026544,0,7.021,3.596806391,4.481,3.192,26.27993101,EG,Pinus sylvestris,PM,yes

11,5.43,5.24,0.010207026,0,0.007542958,0,11.308,3.940810496,7.947,5.66,30.90920979,EG,Pinus sylvestris,PM,yes

12,6.5,5.12,0.015836755,0,0.012076272,0,17.275,4.830508784,10.514,8.972,33.94459686,EG,Pinus sylvestris,PM,yes

9,4.32,3.82,0.004536456,0,0.003793666,0,5.116,2.835284975,3.589,3.735,19.47222151,EG,Pinus sylvestris,PM,yes

10,5.07,4.84,0.008494859,0,0.007013796,0,9.712,4.011496271,7.419,6.014,29.10425236,EG,Pinus sylvestris,PM,yes

13,5.88,4.93,0.012076272,0,0.009764258,0,15.088,4.011496271,8.035,4.74,29.5781195,EG,Pinus sylvestris,PM,yes

9,4.99,4.3,0.006939772,0,0.00615143,0,7.802,3.397943744,4.347,4.419,23.90580587,EG,Pinus sylvestris,PM,yes

