contributor,family,species,age (months),total height (cm),stem diameter at base (mm),leaf area (cm2),total leaf mass (g),total root mass (g),stem mass (g),Single leaf area (cm2),lma (g cm-2),Plant functional type,Growing condition,Status,Light,Other notes about growing conditions,Location,Lat,Long,Vegetation,map,mat,reference
Baltzer 2007,Betulaceae,BA,6,6.5,2.61,44.75,0.1308,0.1002,0.0564,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 569
Baltzer 2007,Betulaceae,BA,6,8.3,3.8,118.5,0.4106,0.399,0.1467,32.76,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 570
Baltzer 2007,Betulaceae,BA,6,14.9,3.76,109.8,0.53,0.386,0.2401,18.78,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 571
Baltzer 2007,Betulaceae,BA,6,2.1,1.28,6.01,0.0206,0.0313,0.0113,4.31,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 572
Baltzer 2007,Betulaceae,BA,6,31.9,5.02,403.37,1.8319,1.8614,1.0631,44.37,0.0028,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 573
Baltzer 2007,Betulaceae,BA,6,2.2,0.96,1.35,0.0055,0.0121,0.0074,1.35,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 574
Baltzer 2007,Betulaceae,BA,6,2.6,1.28,2.67,0.0177,0.0348,0.0115,1.47,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 575
Baltzer 2007,Betulaceae,BA,6,7.7,1.95,83.68,0.3727,0.3391,0.1579,15.86,0.0046,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 576
Baltzer 2007,Betulaceae,BA,6,1.5,1.19,10.53,0.0395,0.0141,0.0149,4.32,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 577
Baltzer 2007,Betulaceae,BA,6,1.9,0.75,1.41,0.003,0.0021,0.0045,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 578
Baltzer 2007,Betulaceae,BA,6,2.2,0.95,3.69,0.008,0.0086,0.0082,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 579
Baltzer 2007,Betulaceae,BA,6,2,0.28,0.35,0.0004,0.0018,0.0022,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 580
Baltzer 2007,Betulaceae,BA,6,2.2,0.42,1.24,0.002,0.0036,0.0034,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 581
Baltzer 2007,Betulaceae,BA,6,1.7,0.53,1.16,0.0014,0.0004,0.0016,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 582
Baltzer 2007,Betulaceae,BA,6,2.5,1.54,6.85,0.0161,0.0172,0.0097,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 583
Baltzer 2007,Betulaceae,BA,6,1.7,1.12,2.67,0.0062,0.0042,0.0084,1.34,0.0027,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 584
Baltzer 2007,Betulaceae,BA,6,1.2,1.05,0.61,0.0009,0.0004,0.002,0.76,0.002,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 585
Baltzer 2007,Betulaceae,BA,6,1.3,0.85,1.09,0.0016,0.0019,0.0022,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 586
Baltzer 2007,Betulaceae,BA,6,1.6,0.62,1.89,0.0043,0.0036,0.005,0.98,0.0024,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 587
Baltzer 2007,Betulaceae,BA,6,1.6,0.76,1.31,0.0027,0.0068,0.0042,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 588
Baltzer 2007,Betulaceae,BA,6,2.1,0.61,2.4,0.0047,0.0055,0.0044,1.42,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 589
Baltzer 2007,Betulaceae,BA,6,1.7,0.71,2.55,0.006,0.0046,0.0056,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 590
Baltzer 2007,Betulaceae,BA,6,2.5,1.15,2.24,0.0084,0.0081,0.0096,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 591
Baltzer 2007,Betulaceae,BA,6,1.6,0.43,1.66,0.0041,0.0016,0.0056,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 592
Baltzer 2007,Betulaceae,BA,6,4.7,1.15,14.17,0.0333,0.0272,0.0284,6.31,0.0023,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 593
Baltzer 2007,Betulaceae,BA,6,3.2,0.6,2.7,0.0054,0.0046,0.0087,1.27,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 594
Baltzer 2007,Betulaceae,BA,6,1.4,0.81,7.29,0.0036,0.0066,0.0068,1.25,0.0026,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 595
Baltzer 2007,Betulaceae,BP,6,2.7,1,7.29,0.0339,0.0442,0.0169,2.19,0.0028,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 596
Baltzer 2007,Betulaceae,BP,6,2.6,0.95,6.84,0.019,0.0189,0.0181,3.23,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 597
Baltzer 2007,Betulaceae,BP,6,2.8,1.24,9.82,0.0394,0.0611,0.0073,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 598
Baltzer 2007,Betulaceae,BP,6,1.3,0.67,0.93,0.0029,0.0073,0.0028,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 599
Baltzer 2007,Betulaceae,BP,6,0.8,0.67,0.85,0.0006,0.007,0.0022,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 600
Baltzer 2007,Betulaceae,BP,6,2.1,0.51,1.23,0.0041,0.0026,0.0018,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 601
Baltzer 2007,Betulaceae,BP,6,1.2,0.8,2,0.0073,0.0129,0.0033,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 602
Baltzer 2007,Betulaceae,BP,6,1.3,0.82,93.77,0.2436,0.1,0.0441,32.59,0.0025,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 603
Baltzer 2007,Betulaceae,BP,6,1.5,0.98,53.25,0.1392,0.1207,0.0317,13.74,0.0025,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 604
Baltzer 2007,Betulaceae,BP,6,3.4,0.79,14.6,0.0321,0.0114,0.005,5.6,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 605
Baltzer 2007,Betulaceae,BP,6,0.7,-,0.56,0.0008,0.0006,0.0005,0.39,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 606
Baltzer 2007,Betulaceae,BP,6,1.4,0.81,6.52,0.016,0.0221,0.003,3.32,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 607
Baltzer 2007,Betulaceae,BP,6,1,0.5,,0.0006,0.0051,0.0581,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 608
Baltzer 2007,Betulaceae,BP,6,7.4,1.88,73.76,0.2288,0.1412,0.002,20.48,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 609
Baltzer 2007,Betulaceae,BP,6,0.8,0.62,0.3,0.0008,0.0008,0.0008,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 610
Baltzer 2007,Betulaceae,BP,6,3.6,1.15,0.18,0.7385,1.1058,0.1813,,0.0008,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 611
Baltzer 2007,Betulaceae,BP,6,3.2,1.04,24.89,0.0726,0.025,0.0145,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 612
Baltzer 2007,Betulaceae,BP,6,,,0.22,0.0015,0.0035,0.0023,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 613
Baltzer 2007,Betulaceae,BP,6,2.4,1.88,143.1,0.4543,0.1786,0.084,30.1,0.0031,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 614
Baltzer 2007,Betulaceae,BP,6,2.2,1.23,121.04,0.3992,0.2423,0.0853,30.99,0.0031,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 615
Baltzer 2007,Betulaceae,BP,6,11.3,2.8,194.12,0.58,0.1477,0.1212,46.91,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 616
Baltzer 2007,Betulaceae,BP,6,3.8,1.52,49,0.1418,0.0014,0.0244,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 617
Baltzer 2007,Betulaceae,BP,6,14.7,3.31,220.19,0.6837,0.0452,0.1674,32.1,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 618
Baltzer 2007,Betulaceae,BP,6,,,77.48,0.4044,0.3055,0.0391,22.61,0.0044,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 619
Baltzer 2007,Betulaceae,BP,6,1.4,0.83,,0.1894,0.0904,0.0391,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 620
Baltzer 2007,Betulaceae,BP,6,2.7,1.53,22.11,0.076,0.0176,0.0161,6.73,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 621
Baltzer 2007,Betulaceae,BP,6,3.8,1.49,28.93,0.061,0.0337,0.0102,12.52,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 622
Baltzer 2007,Betulaceae,BP,6,9,2.38,143.78,0.376,0.2175,0.0891,41.68,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 623
Baltzer 2007,Betulaceae,BP,6,1.4,0.94,1.86,0.0045,0.0055,0.0039,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 624
Baltzer 2007,Betulaceae,BP,6,0.4,0.83,4.51,0.0109,0.0095,0.007,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 625
Baltzer 2007,Betulaceae,BP,6,1.8,0.85,2.71,0.0093,0.0174,0.006,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 626
Baltzer 2007,Betulaceae,BP,6,4.4,2.13,22.27,0.062,0.05,0.025,8.59,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 627
Baltzer 2007,Betulaceae,BP,6,1.1,0.39,0.44,0.0007,0.0002,0.0001,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 628
Baltzer 2007,Betulaceae,BP,6,1.2,0.44,0.45,0.0004,0.0001,0.0007,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 629
Baltzer 2007,Betulaceae,BP,6,1.6,0.32,0.5,0.0003,0.0012,0.0018,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 630
Baltzer 2007,Betulaceae,BP,6,1,0.37,0.36,0.0017,0.0058,0.0006,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 631
Baltzer 2007,Betulaceae,BP,6,1.5,0.43,0.54,0.001,0.0016,0.0009,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 632
Baltzer 2007,Betulaceae,BP,6,1.3,0.34,0.56,0.0011,0.0011,0.0009,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 633
Baltzer 2007,Oleaceae,FA,6,4,1.77,25.96,0.1106,0.2468,0.0592,3.56,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 634
Baltzer 2007,Oleaceae,FA,6,4.7,2.03,8.3,0.0245,0.2311,0.0602,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 635
Baltzer 2007,Oleaceae,FA,6,4.7,2.38,35.92,0.1422,0.4886,0.1199,11.98,0.0037,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 636
Baltzer 2007,Oleaceae,FA,6,4.4,2.18,46.4,0.1543,0.512,0.0936,4.51,0.0049,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 637
Baltzer 2007,Oleaceae,FA,6,4.3,1.73,11.11,0.038,0.1961,0.0682,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 638
Baltzer 2007,Oleaceae,FA,6,3.7,2.11,16.36,0.0547,0.2945,0.064,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 639
Baltzer 2007,Oleaceae,FA,6,4.5,2.15,31.1,0.1025,0.3031,0.0485,,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 640
Baltzer 2007,Oleaceae,FA,6,4.1,1.81,14.96,0.0511,0.2449,0.0702,7.48,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 641
Baltzer 2007,Oleaceae,FA,6,3.2,2.09,22.87,0.0991,0.2484,0.0459,4.54,0.0047,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 642
Baltzer 2007,Oleaceae,FA,6,3.4,2.49,24.52,0.1038,0.2594,0.0639,3.11,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 643
Baltzer 2007,Oleaceae,FA,6,4.5,2.38,22.8,0.0109,0.3998,0.0659,4.61,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 644
Baltzer 2007,Oleaceae,FA,6,3.6,1.85,15.99,0.0651,0.3221,0.0472,5.57,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 645
Baltzer 2007,Oleaceae,FA,6,5.2,2.34,33.41,0.1438,0.5773,0.114,13.54,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 646
Baltzer 2007,Oleaceae,FA,6,4.4,2.18,28.04,0.111,0.3445,0.0751,4.4,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 647
Baltzer 2007,Oleaceae,FA,6,3.1,2.02,32.24,0.105,0.2198,0.0623,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 648
Baltzer 2007,Oleaceae,FA,6,4.6,2.43,30.6,0.1274,0.2395,0.0833,11.8,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 649
Baltzer 2007,Oleaceae,FA,6,3.5,2.23,26.82,0.1171,0.3559,0.0472,11.26,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 650
Baltzer 2007,Oleaceae,FA,6,4.9,2.67,39.58,0.1676,0.6359,0.1299,13.33,0.0039,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 652
Baltzer 2007,Oleaceae,FA,6,5.7,2.02,18.94,0.0622,0.2052,0.0612,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 653
Baltzer 2007,Oleaceae,FA,6,5.5,1.7,10.67,0.0357,0.1582,0.0579,,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 654
Baltzer 2007,Oleaceae,FA,6,4.6,2.16,34.66,0.1259,0.4006,0.1132,6.81,0.0038,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 655
Baltzer 2007,Oleaceae,FA,6,5,1.77,19.83,0.0778,0.2392,0.0693,2.58,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 656
Baltzer 2007,Oleaceae,FA,6,5.4,2.94,68.7,0.3059,0.9211,0.2843,12.45,0.0041,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 657
Baltzer 2007,Oleaceae,FA,6,3.4,1.82,19.14,0.1091,0.3162,0.0586,12.47,,DA,GH,3,L,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 658
Baltzer 2007,Oleaceae,FA,6,5.4,1.46,37.56,0.0858,0.2223,0.0478,9.83,0.0021,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 659
Baltzer 2007,Oleaceae,FA,6,4.1,1.44,27.33,0.052,0.1288,0.0381,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 660
Baltzer 2007,Oleaceae,FA,6,3.2,1.22,31.24,0.056,0.0668,0.0309,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 661
Baltzer 2007,Oleaceae,FA,6,4.6,1.31,18.14,0.0307,0.0454,0.0219,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 662
Baltzer 2007,Oleaceae,FA,6,6.5,1.07,15.23,0.0261,0.0302,0.0296,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 663
Baltzer 2007,Oleaceae,FA,6,4.3,1.72,29.45,0.0486,0.0653,0.0266,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 664
Baltzer 2007,Oleaceae,FA,6,3.5,1.4,27.13,0.0125,0.0807,0.0327,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 665
Baltzer 2007,Oleaceae,FA,6,3.5,1.65,13.63,0.0282,0.0105,0.0099,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 666
Baltzer 2007,Oleaceae,FA,6,2.5,1.22,1.38,0.0081,0.1076,0.0319,,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 667
Baltzer 2007,Oleaceae,FA,6,2.2,1.21,15.45,0.0265,0.045,0.0192,4.52,,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 668
Baltzer 2007,Oleaceae,FA,6,3.8,1.38,29.31,0.0605,0.1229,0.0326,6.59,0.002,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 669
Baltzer 2007,Oleaceae,FA,6,5.7,1.82,37.91,0.0674,0.1674,0.0564,11.88,0.0015,DA,GH,3,S,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 670
Baltzer 2007,Oleaceae,FA,6,3.8,1.54,39.02,0.073,0.0882,0.0372,6.61,0.0019,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 671
Baltzer 2007,Oleaceae,FA,6,6.2,2.03,51.95,0.1158,0.1877,0.0859,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 672
Baltzer 2007,Oleaceae,FA,6,4.2,1.28,27.01,0.044,0.0301,0.0214,13.39,0.0017,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 673
Baltzer 2007,Oleaceae,FA,6,4.2,1.27,24.59,0.0423,0.0353,0.0209,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 674
Baltzer 2007,Oleaceae,FA,6,4.4,1.59,45.64,0.0739,0.1061,0.0384,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 675
Baltzer 2007,Oleaceae,FA,6,4.2,2.04,13.98,0.0409,0.034,0.0203,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 676
Baltzer 2007,Oleaceae,FA,6,5,1.41,35.47,0.0705,0.085,0.0376,,,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 677
Baltzer 2007,Oleaceae,FA,6,2.6,1.16,40.97,0.08,0.1602,0.0546,11.2,0.0018,DA,GH,3,S,N,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 678
Baltzer 2007,Fagaceae,QR,6,5.8,6.15,63.75,0.3222,0.8698,0.1421,15.37,0.0049,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 679
Baltzer 2007,Fagaceae,QR,6,7.1,2.99,98.55,0.64,3.67,0.4316,13.5,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 680
Baltzer 2007,Fagaceae,QR,6,11.2,3.62,141.09,0.9609,6.279,0.3769,28.65,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 681
Baltzer 2007,Fagaceae,QR,6,5.7,4.78,95.51,0.5373,3.1572,0.2264,15.2,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 682
Baltzer 2007,Fagaceae,QR,6,9.8,3.36,90.81,0.5692,2.9119,0.2616,30.55,0.0063,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 683
Baltzer 2007,Fagaceae,QR,6,9.8,3.17,82.7,0.56,3.0754,0.2921,31.02,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 684
Baltzer 2007,Fagaceae,QR,6,8.3,3.21,74.7,0.4849,3.797,0.1034,22.62,,DA,GH,3,L,C,"Toronto, ON",43.6481 N,79.4042 W,TempF,,,Baltzer and Thomas. 2007. Oecologia 153: 685
