Spp Abbrev,species,site,latitude,longitude,map,class,DBH,AGB,Ht,source,CD,BD,crown height,height below branch,volume,biomass wood,biomass bark,biomass branch,biomass leaf,leaf area,Sample,Soil
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,6.716338598,10.33467703,8.47,H,,,,,,,,,,,,
Eumel,Eucalyptus melanophloia,Summerdell,-23,146,,3,4.933803236,3.922130502,4.6,H,,,,,,,,,,,,
Eupop,Eucalyptus populnea,mitchel,-23,147,,4,3.501408748,3.129055027,4.5,H,,,,,,,,,,,,
Eupop,Eucalyptus populnea,mitchel,-23,147,,4,5.411268065,5.996024669,5.9,H,,,,,,,,,,,,
Eupop,Eucalyptus populnea,mitchel,-23,147,,4,22.60000192,201.994856,12.3,H,,,,,,,,,,,,
Eupop,Eucalyptus populnea,mitchel,-23,147,,4,30.23943919,662.1944708,17.4,H,,,,,,,,,,,,
Eupop,Eucalyptus populnea,mitchel,-23,147,,4,35.17324242,931.0121728,17.8,H,,,,,,,,,,,,
Eupop,Eucalyptus populnea,mitchel,-23,147,,4,37.87887646,1318.450136,17.7,H,,,,,,,,,,,,
Eupop,Eucalyptus populnea,mitchel,-23,147,,4,54.74930042,2531.587116,17.6,H,,,,,,,,,,,,
Eble,Eucalyptus bleeseri,humptydoo,-12,131,1600,5,22.7,337.41,15.9,L,22.2,32,11,4.9,0.32533,193.51,30.2,109.91,3.79,14.6,,
Eble,Eucalyptus bleeseri,humptydoo,-12,131,1600,5,9.3,42.7,11,L,7.5,13.8,5.9,5.1,0.0412,28.03,4.38,9.76,0.53,2,,
Eble,Eucalyptus bleeseri,humptydoo,-12,131,1600,5,11.9,83.64,13.5,L,9.2,18.3,5.7,7.8,0.08957,55.53,8.67,17.44,2,7.7,,
Eble,Eucalyptus bleeseri,humptydoo,-12,131,1600,5,13.6,73.05,12.5,L,10.3,16.1,4.9,7.6,0.10338,51.69,8.07,11.31,1.98,7.6,,
Eble,Eucalyptus bleeseri,humptydoo,-12,131,1600,5,8.5,27.88,9.1,L,7.3,12,4.8,4.3,0.03045,15.28,2.39,8.76,1.45,5.6,,
Eble,Eucalyptus bleeseri,humptydoo,-12,131,1600,5,11,55.28,11.8,L,9.4,18.8,7.1,4.7,0.06277,30.49,4.76,19.39,0.64,2.5,,
Eble,Eucalyptus bleeseri,humptydoo,-12,131,1600,5,4.6,6.79,7.7,L,3.6,6.5,2.7,5,0.00874,4.33,0.68,1.57,0.21,0.8,,
Eble,Eucalyptus bleeseri,humptydoo,-12,131,1600,5,7,13.3,8.7,L,6.4,10.5,6.3,2.4,0.01676,7.52,1.17,4.3,0.31,1.2,,
Emin,Eucalyptus miniata,humptydoo,-12,131,1600,6,7.6,21.09,10.7,L,4.9,12.7,2.6,8.1,0.029681,15.81,2.63,2.04,0.61,3.6,,
Emin,Eucalyptus miniata,humptydoo,-12,131,1600,6,15.3,98.1,13.3,L,11.1,19.9,6.9,6.4,0.094802,70.72,9.36,15.76,2.26,14.6,,
Emin,Eucalyptus miniata,humptydoo,-12,131,1600,6,21.6,197.17,14.7,L,14,27.1,6.8,7.9,0.192446,151.05,15.58,26.45,4.09,25.7,,
Emin,Eucalyptus miniata,humptydoo,-12,131,1600,6,14.5,72.62,12,L,8.7,18.7,4.1,7.9,0.085395,56.86,6.46,7.47,1.83,11.5,,
Emin,Eucalyptus miniata,humptydoo,-12,131,1600,6,16.6,112.16,13,L,14.5,26.4,7.7,5.3,0.1021791,75.94,8.37,25.8,2.05,11.5,,
Emin,Eucalyptus miniata,humptydoo,-12,131,1600,6,6.8,8.54,6.8,L,3.8,9.5,1.6,5.2,0.009742,6.84,0.94,0.6,0.16,0.9,,
Emin,Eucalyptus miniata,humptydoo,-12,131,1600,6,13.8,57.29,11,L,8.1,16.1,4.7,6.3,0.06077,39.72,8.85,7.4,1.32,8.3,,
Emin,Eucalyptus miniata,humptydoo,-12,131,1600,6,13.1,60.11,13,L,9.1,18.6,6.7,6.3,0.079821,42.46,7,9.29,1.36,7.3,,
Emin,Eucalyptus miniata,Katherine,-14,132,950,7,24.4,337.84,12.2,L,,,,,,,,,,,,
Emin,Eucalyptus miniata,Katherine,-14,132,950,7,29.8,427.8,13,L,,,,,,,,,,,,
Emin,Eucalyptus miniata,Katherine,-14,132,950,7,5.8,8.37,6.2,L,,,,,,,,,,,,
Emin,Eucalyptus miniata,Katherine,-14,132,950,7,15.1,105.42,10.8,L,,,,,,,,,,,,
Emin,Eucalyptus miniata,Katherine,-14,132,950,7,7.7,16.54,6.3,L,,,,,,,,,,,,
Emin,Eucalyptus miniata,Katherine,-14,132,950,7,11.5,41.76,7.7,L,,,,,,,,,,,,
Epor,Eucalyptus porrecta,humptydoo,-12,131,1600,8,24.9,225.61,13.4,L,20.8,50.8,8.9,4.5,0.35148,126.26,31.96,60.98,6.41,38.8,,
Epor,Eucalyptus porrecta,humptydoo,-12,131,1600,8,7.5,14.13,7.7,L,8,30.9,6.1,1.6,0.04672,9.23,2.34,1.92,0.64,3.9,,
Epor,Eucalyptus porrecta,humptydoo,-12,131,1600,8,15,81.42,8.9,L,16,21,5.5,3.4,0.10035,42.79,10.83,25.05,2.75,16.6,,
Epor,Eucalyptus porrecta,humptydoo,-12,131,1600,8,15.5,99.8,10.8,L,14,18.4,7.2,3.6,0.0919,57.2,14.48,25.84,2.28,13.8,,
Epor,Eucalyptus porrecta,humptydoo,-12,131,1600,8,20,158.66,11.6,L,18,25.1,7.5,4.1,0.17902,87.02,22.03,42.49,7.12,43.1,,
Epor,Eucalyptus porrecta,humptydoo,-12,131,1600,8,8.5,17.26,7.5,L,6.5,13.2,3.3,4.2,0.02739,11.37,2.88,2.09,0.92,5.6,,
Epor,Eucalyptus porrecta,humptydoo,-12,131,1600,8,12.5,46.75,7.9,L,10.4,14.5,3.7,4.2,0.05633,27.79,7.03,10.06,1.87,11.3,,
Epor,Eucalyptus porrecta,humptydoo,-12,131,1600,8,9,16.63,6.7,L,8.3,12.7,4.4,2.3,0.02385,10.84,2.74,2.52,0.53,3.2,,
Erchlor,Erythrophleum chlorstachys,humptydoo,-12,131,1600,9,14.2,110.14,9.5,L,14.9,19.3,7.3,2.2,0.0678,41.29,14.86,46.39,7.6,109.6,,
Erchlor,Erythrophleum chlorstachys,humptydoo,-12,131,1600,9,14.7,74.51,8.6,L,12.2,20.7,6.1,2.5,0.0675,32.44,12.97,24.72,4.38,69.9,,
Erchlor,Erythrophleum chlorstachys,humptydoo,-12,131,1600,9,11.8,46.44,8.7,L,10.3,15.7,5.4,3.3,0.04654,22.3,9.65,10.46,4.03,51.2,,
Erchlor,Erythrophleum chlorstachys,humptydoo,-12,131,1600,9,9.9,30.97,8.2,L,8,13.8,4.9,3.3,0.0363,17.01,5.72,6.38,1.86,25.4,,
Erchlor,Erythrophleum chlorstachys,humptydoo,-12,131,1600,9,7.3,10.3,5,L,6.5,11.5,2.8,2.2,0.014927,5.46,2.66,1.73,0.45,4.9,,
Erchlor,Erythrophleum chlorstachys,humptydoo,-12,131,1600,9,6.4,7.07,5,L,6.1,10,3.3,1.7,0.010206,4.23,1.73,0.83,0.28,2.6,,
Erchlor,Erythrophleum chlorstachys,humptydoo,-12,131,1600,9,9.2,18.61,7.6,L,7.3,12.3,4.3,3.3,0.026576,11.11,4.5,2.09,0.91,9.6,,
Erchlor,Erythrophleum chlorstachys,humptydoo,-12,131,1600,9,7.8,13.6,5.5,L,7.4,10.5,3.7,1.8,0.0143507,8.64,2.66,1.74,0.86,8.8,,
Erchlor,Erythrophleum chlorstachys,humptydoo,-12,131,1600,9,4.6,3.14,3.1,L,,,,,,,,,,,,
Erchlor,Erythrophleum chlorstachys,humptydoo,-12,131,1600,9,5.9,8.21,5.2,L,,,,,,,,,,,,
Erchlor,Erythrophleum chlorstachys,humptydoo,-12,131,1600,9,5.2,4.68,3,L,,,,,,,,,,,,
Erchlor,Erythrophleum chlorstachys,humptydoo,-12,131,1600,9,5.9,5.45,3.7,L,,,,,,,,,,,,
Erchlor,Erythrophleum chlorstachys,humptydoo,-12,131,1600,9,5.7,7.39,3.7,L,,,,,,,,,,,,
Etet,Eucalyptus tetrodonta,humptydoo,-12,131,1600,10,18.8,205.92,15.9,L,15.1,23.8,8.1,7.8,0.22253,148.75,19.7,31.09,6.38,33.2,,
Etet,Eucalyptus tetrodonta,humptydoo,-12,131,1600,10,20.8,232.32,14.3,L,20.8,26.7,9.7,4.6,0.23775,131.93,23.37,68.4,8.62,44.7,,
Etet,Eucalyptus tetrodonta,humptydoo,-12,131,1600,10,14,122.39,16.1,L,13.7,19.7,8.7,7.4,0.13745,73.77,11.73,29.67,7.22,38.3,,
Etet,Eucalyptus tetrodonta,humptydoo,-12,131,1600,10,13.5,89.83,14.6,L,9,18.4,4.9,9.7,0.11755,60.89,9.21,16.65,3.08,17.2,,
Etet,Eucalyptus tetrodonta,humptydoo,-12,131,1600,10,9.7,27.18,11.3,L,7.6,13.7,4.9,6.4,0.0488365,19.37,4.4,2.25,1.16,5.2,,
Etet,Eucalyptus tetrodonta,humptydoo,-12,131,1600,10,6.7,18.72,9.3,L,6.4,10.8,4.7,4.6,0.022421,14.14,3.09,1.22,0.27,1.5,,
Etet,Eucalyptus tetrodonta,humptydoo,-12,131,1600,10,7.4,15.67,5.3,L,6.4,11.6,1.7,3.6,0.0188105,9.68,2.78,2.69,0.52,2.5,,
Etet,Eucalyptus tetrodonta,humptydoo,-12,131,1600,10,6.8,10.09,7.8,L,5.3,10.3,4.3,3.5,0.015964,6.49,1.47,1.76,0.37,2.2,,
Etet,Eucalyptus tetrodonta,humptydoo,-12,131,1600,10,4.1,3.44,6.3,L,,,,,,,,,,,,
Etet,Eucalyptus tetrodonta,humptydoo,-12,131,1600,10,6.7,13.75,9.3,L,,,,,,,,,,,,
Etet,Eucalyptus tetrodonta,humptydoo,-12,131,1600,10,8.6,32.95,10.9,L,,,,,,,,,,,,
Etet,Eucalyptus tetrodonta,humptydoo,-12,131,1600,10,5.7,5.51,6.2,L,,,,,,,,,,,,
