"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light","Note","studyName"
"Ishihara0000","Japan-Chichibu-3",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9,12.5,NA,0.303,NA,NA,26.44,NA,NA,NA,217.4,258.72,14.88,NA,NA,86.57,345.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-3",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,14.3,NA,0.315,NA,NA,29.1,NA,NA,NA,277.3,326.58,20.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-3",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,12,NA,0.236,NA,NA,12.77,NA,NA,NA,158.9,180.67,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Chichibu-3",36,139.3,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1,13.4,NA,0.21,NA,NA,6.97,NA,NA,NA,109.7,126.79,10.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Keta-10",35,138,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,14.7,NA,0.231,NA,NA,7.41,NA,NA,NA,116.48,132.48,8.5,NA,NA,55.79,188.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Keta-10",35,138,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,10.1,NA,0.195,NA,NA,6.05,NA,NA,NA,77.14,94.97,11.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Keta-10",35,138,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6,11.5,NA,0.275,NA,NA,15.61,NA,NA,NA,161.36,198.21,21.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Keta-10",35,138,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8,12,NA,0.169,NA,NA,1.66,NA,NA,NA,60.04,65.21,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Keta-10",35,138,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9,10.7,NA,0.299,NA,NA,30.72,NA,NA,NA,288.91,355.67,35.26,NA,NA,65.67,421.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
"Ishihara0000","Japan-Keta-10",35,138,"TempF",NA,NA,NA,NA,"Cryptomeria japonica","Taxodiaceae","EG",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,9,NA,0.417,NA,NA,33.14,NA,NA,NA,438.29,524.65,51.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Harada, H; Satoo, H; Hotta, I; Hatiya, K; Tadaki, Y. (1972) Study on the nutrient contents of mature Cryptomeria forests [in Japanese with English abstract]. Bulletin of the Forestry and Forest Products Research Institute 249: 17-74.","Harada1972"
