No.,ht1 (cm),ht2 (cm),Delta t (days),Wood1 (g),Delta wood (g),Leaf1 (g),Delta leaf (g),Leaf area1 (cm2),Leaf area2 (cm2),Area/leaf (cm2),ISF,Wood2 (g),Leaf2 (g),species
12,91.4,94,337,24.39,4.21,16.92,10.46,4220,5490,871,0.0268,28.6,22.01203791,Herrania
1,143.5,160.6,340,45.16,6.54,17.1,13.1,4290,4170,570,0.0489,51.7,16.62167832,Herrania
4,117,118.8,341,39.08,0.62,11.08,6.77,3200,1960,978,0.0275,39.7,6.7865,Herrania
5a,136,137.9,341,40.76,1.05,10.96,5.22,2660,1270,422,0.0332,41.81,5.232781955,Herrania
5b,154,178.8,342,70.17,17.48,41.61,17.04,9000,6980,410,0.0523,87.65,32.27086667,Herrania
6,174,178.1,342,117.76,2.59,14.53,15.72,3540,4020,960,0.0336,120.35,16.50016949,Herrania
8,183.5,191.8,342,114.22,16.25,31.93,23.42,7740,6700,947,0.0581,130.47,27.63966408,Herrania
c,121.3,131.6,337,34.51,5.06,17.97,4.81,4310,5460,385,0.0913,39.57,22.76477958,Herrania
9,103,104.8,346,38.49,1.17,6.34,4.32,1770,1460,604,0.0144,39.66,5.22960452,Herrania
b,119,215,340,52.47,109.13,80.48,91.74,17660,27000,1119,0.0961,161.6,123.0441676,Herrania
15,191.2,251.8,338,126.62,76.36,56.04,62.35,9370,14000,496,0.1242,202.98,83.73105656,Herrania
15,104.5,107,331,18.81,0.57,7.86,2.36,1040,690,156,0.0324,19.38,5.214807692,Calophyllum
14,128.6,141.2,331,30.14,4.85,17.35,7.65,2010,2900,222,0.0594,34.99,25.03233831,Calophyllum
4,198,290,335,85.58,161.54,65.5,61.29,5750,9500,316,0.0925,247.12,108.2173913,Calophyllum
5,184,199.3,335,80.7,17.22,29.5,18.9,2970,4000,317,0.0192,97.92,39.73063973,Calophyllum
6,91,123.3,335,10.95,14.65,11.32,9.11,1230,2160,198,0.0801,25.6,19.87902439,Calophyllum
8,122.6,146.8,335,28.55,10.65,21.15,7.02,2340,2560,194,0.0974,39.2,23.13846154,Calophyllum
A,120.2,170.7,335,22.92,37.57,26.02,22.07,2270,3310,228,0.048,60.49,37.94105727,Calophyllum
B,107,148.5,335,18.47,22.59,21.98,17,2080,3330,189,0.0615,41.06,35.18913462,Calophyllum
C,109.3,171.7,335,18.92,32.06,22.99,20.37,2180,3750,241,0.0707,50.98,39.54701835,Calophyllum
3,134.6,143.9,335,40.07,6.59,23.57,6.64,2840,2810,199,0.028,46.66,23.32102113,Calophyllum
20,179,194.8,335,85.62,18.37,57.84,8.87,5940,5450,241,0.0542,103.99,53.06868687,Calophyllum
17,134,151,329,33.37,6.93,25.91,6.69,3350,3800,216,0.0121,40.3,29.39044776,Calophyllum
