genus,species,total root mass (g),total stem mass (g),branch mass (g),branch mass + stem mass (g),total leaf mass (g),total leaf area (cm^2),individual leaf area (cm^2),height (cm),crown area (cm^2),crown height (cm),base diameter (mm)
Shorea,acuta,0.909,1.45,0,,1.32,189,41,43,471,22,3.733630941
Shorea,acuta,1.34,0.677,0,,2.06,150,24,15,449.02,6,3.649657518
Shorea,acuta,1.93,2.54,0,,1.87,261,75,39,569.91,5,4.249705872
Shorea,acuta,2,3.49,0,,1.83,212,74,49,529.875,4,5.049752469
Shorea,acuta,3.28,5.87,0,,2.08,264,72,45,657.045,9,6.649812027
Shorea,acuta,2.8,6.33,0,,4.94,580,81,56,828.96,13,5.948108943
Shorea,acuta,6.37,19.4,0,,9.71,1011,173,122,1807.855,33,8.1
Shorea,acuta,7.4,18.7,0,,9.41,1015,241,101,1673.62,20,7.9
Shorea,acuta,16,22.7,1.22,,20.14,1218,108,95,1769.39,33,8.999444427
Shorea,acuta,8.19,20,1.81,,11.17,1105,143,112,2357.355,30,9.49947367
Shorea,acuta,9.81,19.6,1.84,,14.81,881,105,110,1687.75,48,8.497646733
Shorea,acuta,7.7,15.4,1.96,,11.88,793,71,79,2059.055,40,8.485281374
Shorea,acuta,14,37.3,2.15,,12.012,1483,150,129,1215.18,42,12.74519517
Shorea,acuta,18.2,48.1,6.49,,25.48,2343,235,116,4331.63,22,12.44909635
Shorea,acuta,0.71,,,1.7,1.04,133,50,40,471,2,4.214261501
Shorea,acuta,1.28,,,1.8,1.26,158,48,41,395.64,7,4.4
Shorea,acuta,1.42,,,1.6,1.96,226,55,31,518.1,5,4.9
Shorea,acuta,1.66,,,3.06,0.834,124,34,67,314,2,4.949747468
Shorea,acuta,1.28,,,2.15,2.42,275,56,28,451.375,2,5.043808085
Shorea,acuta,2.13,,,1.86,1.98,258,57,32,489.84,2,4.874423043
Shorea,acuta,1.25,,,2.35,3.14,350,64,33,478.065,7,5.547972603
Shorea,acuta,2.1,,,4.36,4.91,540,77,54,847.8,12,5.2
Shorea,acuta,2.85,,,4.71,4.14,453,83,52,763.02,10,5.896609195
Shorea,acuta,2.14,,,5.6,4.67,517,95,60,961.625,17,5.799137867
Shorea,acuta,2.53,,,5.92,4.45,533,118,61,857.22,15,6.548282217
Shorea,acuta,3.01,,,7.55,5.06,516,130,70,1029.92,9,6.548282217
Shorea,acuta,2.64,,,10.5,4.54,499,148,95,960.84,9,6.799264666
Shorea,acuta,4.36,,,9.11,6.88,783,137,76,1067.6,28,7.683749085
Shorea,acuta,3.83,,,13.2,8.9,989,137,100,1681.47,38,8.099382693
Shorea,acuta,6.26,,,16,8.87,802,160,109,1277.98,17,8.590692638
Shorea,acuta,8.16,,,17,14.3,1442,142,87,1318.8,30,8.299397568
Shorea,acuta,9.12,,,24.6,13.5,1201,210,105,1923.25,27,8.897752525
Dipterocarpus,acutangulus,6.48,11.1,0.353,,5.547,703.9714286,94.9,93,1269.345,21,7.397296804
Dipterocarpus,acutangulus,7.53,15.6,0.801,,6.624,983.1410526,68.3,98,1168.08,24,8.149846624
Dipterocarpus,acutangulus,8.96,7.56,1.2,,3.522,544.4637681,79.8,64,791.28,13,6.499230724
Dipterocarpus,acutangulus,11.3,19.5,1.93,,5.72,766.4347826,82,108,659.4,15,10.74988372
Dipterocarpus,acutangulus,18.9,30,6.86,,11.8,1811.365314,100,105,3411.61,49,11.89831921
Dipterocarpus,acutangulus,15.4,37.7,8.63,,15.75,3010.546875,75.78582865,128,2207.42,71,11.99833322
Dipterocarpus,acutangulus,2.26,1.22,0,,1.32,225,47.1,33,353.25,19,4.947726751
Dipterocarpus,acutangulus,1.45,1.88,0,,1.67,267,36.23229706,40,571.48,6,4.249705872
Dipterocarpus,acutangulus,2.46,2.03,0,,1.57,237,48.77293367,38,678.24,2,4.949747468
Dipterocarpus,acutangulus,2.14,2.49,0,,1.44,214,47.7,43,449.02,7,4.6
Dipterocarpus,acutangulus,2.6,3.23,0,,2.08,343.409396,59.5,52,593.46,13,5
Dipterocarpus,acutangulus,3.2,3.24,0,,2.17,328,56.46923616,43,388.575,14,5.385164807
Dipterocarpus,acutangulus,2.52,3.45,0,,3.1,518.1751825,55.80648911,45,769.3,17,5.54436651
Dipterocarpus,acutangulus,3.55,3.34,0,,2.222,834.7677596,69.1,46,747.32,16,5.3
Dipterocarpus,acutangulus,4.56,3.31,0,,2.858,422.8673469,75.1,52,720.63,9,4.990991885
Dipterocarpus,acutangulus,4.7,5.67,0,,1.92,280,75.9,69,803.84,3,5.6
Dipterocarpus,acutangulus,5.32,6.62,0,,3.23,369.835,54,66,351.68,12,7.299315036
Dipterocarpus,acutangulus,4.23,8.8,0,,3,527,68.4,80,751.245,13,6.549809158
Dipterocarpus,acutangulus,6.42,8.14,0,,3.6,541.4876033,86.35865958,97,906.675,16,5.892367945
Dipterocarpus,acutangulus,7.72,11.7,0,,3.09,457,84.3,106,1014.22,12,7.848566748
Shorea,agami,1.03,0.604,0,,0.485,48,19,22,180.55,4,3.098386677
Shorea,agami,1.18,1.27,0,,0.993,74,29,26,274.75,5,3.9
Shorea,agami,2.53,2.66,0,,1.13,145,107,42,265.33,2,5.29905652
Shorea,agami,3.55,2.53,0,,2.57,200,55,36,795.99,8,5.696490147
Shorea,agami,4.08,4.34,0,,2.77,375,86,46,587.18,10,7.245688373
Shorea,agami,5.85,4.77,0,,2.19,300,330,44,449.02,6,8.149846624
Shorea,agami,7.08,7.59,0,,7.44,800,132,58,1044.05,21,7.09929574
Shorea,agami,18.9,22.1,0,,7.73,1080,267,105,981.25,15,9.29946235
Shorea,agami,26.6,25.4,0,,12.9,1497,244,123,1539.385,36,9.186402996
Shorea,agami,22.8,31.2,0,,24.1,2387,141,111,3552.91,42,11.5
Shorea,agami,10.4,11.2,1.93,,8.86,667,100,68,2220.765,5,8.249848483
Shorea,agami,16.1,18.1,2.53,,7.55,210,81,99,2398.175,41,9.697937925
Shorea,agami,14.9,26.5,3.21,,8.97,169,58,103,2639.955,31,11.19955356
Shorea,agami,22.2,33.4,3.56,,7.98,959,124,125,1692.46,22,11.04988688
Shorea,agami,0.263,,,0.348,0.336,44,17,15,94.2,1,2.749545417
Shorea,agami,0.655,,,1.2,0.819,107,35,27,230.79,3,4.9989999
Shorea,agami,0.803,,,0.8,1.27,162,28,19,412.125,6,3.649657518
Shorea,agami,2.5,,,1.41,1.19,169,56,24,408.2,2,4.898979486
Shorea,agami,2.08,,,1.63,1.76,261,56,29,451.375,5,4.195235393
Shorea,agami,2.02,,,2.2,3.04,443,94,34,693.94,17,5.649778757
Shorea,agami,6.77,,,4.74,4.28,491,121,45,715.92,16,6.4
Shorea,agami,4.92,,,5.21,5.9,825,139,61,1055.04,11,6.549809158
Shorea,agami,5.93,,,5.63,4.82,584,102,56,659.4,12,6.448255578
Shorea,agami,7.84,,,6.18,7.78,1004,115,50,328.13,2,7.94606821
Shorea,agami,11.5,,,10.2,8.12,958,198,65,1219.89,20,8.546344248
Shorea,agami,10.4,,,10.3,11.9,1491,204,60,1044.05,26,8.4
Shorea,agami,8.49,,,14.8,9.54,1243,178,83,1307.025,12,9.699484522
Shorea,agami,12.5,,,14.4,10.3,1162,204,96,1384.74,18,9.449867724
Shorea,agami,10.8,,,17.1,11.2,1243,253,89,1623.38,36,8.694826048
Shorea,agami,17.9,,,16.6,12.4,1349,286,78,1566.075,28,9.049861877
Shorea,agami,17.3,,,22.4,17.7,1985,233,101,2361.28,54,9.899494937
Shorea,agami,18,,,26.9,19.9,2264,259,114,1448.325,51,10.64988263
Shorea,agami,24.3,,,31.8,25.5,3027,309,110,2734.94,47,10.83605094
Shorea,amplexicaulis,0.819,0.73,0,0.73,1.27,113,44,24,400.35,4,3.349626845
Shorea,amplexicaulis,1.13,1.27,0,1.27,1.31,117,30,36,439.6,12,3.898717738
Shorea,amplexicaulis,1.59,1.91,0,1.91,1.73,269,51,50,466.29,14,3.847076812
Shorea,amplexicaulis,1.36,1.75,0,1.75,2.58,216,28,38,402.705,15,4.747630988
Shorea,amplexicaulis,1.65,2.91,0,2.91,2.46,311,70,46,904.32,5,4.349712634
Shorea,amplexicaulis,3.03,5.28,0,5.28,2.63,379,147,52,967.12,8,5.948108943
Shorea,amplexicaulis,4.07,6.43,0,6.43,4.37,549,104,53,1383.955,6,6.149796745
Shorea,amplexicaulis,5.55,7.29,0,7.29,8.63,1120,154,53,1519.76,17,6.893475176
Shorea,amplexicaulis,9.18,21.7,0,21.7,1.9,266,168,120,339.12,1,7.694153625
Shorea,amplexicaulis,7.12,19.5,0,19.5,16.7,2266,262,130,2734.94,59,8.749857142
Shorea,amplexicaulis,10.7,22.3,0,22.3,14.7,1751,223,126,1918.54,67,9.349866309
Shorea,amplexicaulis,15,24.6,0,24.6,10.4,1204,263,113,1780.38,27,8.7994318
Shorea,amplexicaulis,11.5,31,0,31,16.5,1955,259,127,3212.22,26,10.14889157
Shorea,amplexicaulis,0.381,,,0.66,0.169,26,14,28,38.465,3,3.6
Shorea,amplexicaulis,0.556,,,0.55,0.678,116,68,21,188.4,1,3.14960315
Shorea,amplexicaulis,0.797,,,1.04,0.343,56,22,34,106.76,2,3.7
Shorea,amplexicaulis,0.61,,,0.504,1.14,176,67,13,461.58,2,3.398529094
Shorea,amplexicaulis,1.23,,,0.846,0.375,59,21,23,188.4,2,4.898979486
Shorea,amplexicaulis,0.883,,,1.04,1.51,200,64,23,387.005,8,4.235563717
Shorea,amplexicaulis,1.53,,,2.58,1.49,178,44,45,314,8,4.898979486
Shorea,amplexicaulis,2.63,,,3.67,1.31,198,56,46,439.6,1,6.340346994
Shorea,amplexicaulis,2.21,,,3.84,1.86,251,102,61,413.695,10,4.790615827
Shorea,amplexicaulis,3.92,,,3.18,2.76,377,92,43,871.35,12,5.338539126
Shorea,amplexicaulis,2.22,,,5.89,2.85,408,83,65,1074.665,10,6.449806199
Shorea,amplexicaulis,2.96,,,5.64,3.19,396,81,55,604.45,17,5.591958512
Shorea,amplexicaulis,2.81,,,7.34,4.13,486,96,74,929.44,10,6.649812027
Shorea,amplexicaulis,3.06,,,8.09,6.58,755,170,67,1083.3,25,6.948381106
Shorea,amplexicaulis,4.88,,,7.58,6.01,777,132,66,1530.75,13,5.9
Shorea,amplexicaulis,6.58,,,15.5,5.13,563,159,98,1139.82,20,7.493997598
Shorea,amplexicaulis,4.96,,,12.4,11,1405,152,91,1461.67,50,7.599342077
Shorea,amplexicaulis,5.38,,,13.9,9.23,1039,225,92,1119.41,35,8.846468222
Shorea,amplexicaulis,5.22,,,14.5,11.5,1341,186,93,1580.99,40,7.846018098
Shorea,amplexicaulis,10.1,,,28.4,17.5,1828,290,130,2995.56,70,8.6
Shorea,andulensis,0.346,0.253,0,0.253,0.592,61,8,16,142.87,9,2.2
Shorea,andulensis,0.465,1.53,0,1.53,1.209,130,19,36,523.595,7,4.147288271
Shorea,andulensis,1.09,1.69,0,1.69,0.725,69,18,37,255.125,6,4.098780306
Shorea,andulensis,0.619,0.577,0.119,0.696,1.21,111,20,22,282.6,10,3.6
Shorea,andulensis,1.6,2.98,0.374,3.354,1.9,391,39,46,502.4,9,4.643274706
Shorea,andulensis,2.64,3.49,0.686,4.176,4.621,743,42,53,906.675,24,5.799137867
Shorea,andulensis,2.11,2.64,0.718,3.358,2.994,460,30,47,805.41,14,4.549725266
Shorea,andulensis,2.75,3.48,0.98,4.46,4.449,607,40,51,1047.19,27,7.124605252
Shorea,andulensis,7.24,16.9,1.06,17.96,5.298,783,52,108,1331.36,19,9.080198236
Shorea,andulensis,2.96,3.75,1.46,5.21,6.853,1049,50,52,1406.72,29,5.249761899
Shorea,andulensis,7.83,17.1,2.56,19.66,4.043,587,60,106,2832.28,23,7.797435476
Shorea,andulensis,9.05,15.3,2.65,17.95,8.52,1259,64,117,3004.98,32,8.749857142
Shorea,andulensis,19.7,25.8,4.4,30.2,10.725,1494,92,123,3306.42,29,8.048602363
Shorea,andulensis,11.5,22.5,6.01,28.51,15.644,2194,67,107,4176.2,40,10.2
Shorea,andulensis,0.426,,,0.678,0.39,53,9,26,131.88,3,3.649657518
Shorea,andulensis,0.473,,,0.535,0.501,86,19,21,178.98,2,3.594440151
Shorea,andulensis,0.521,,,0.811,1.5,217,31,27,301.44,10,3.346640106
Shorea,andulensis,0.877,,,0.978,1.05,155,23,28,283.385,6,3.14960315
Shorea,andulensis,1.147,,,1.68,2.02,291,38,36,824.25,14,4.042276586
Shorea,andulensis,1.85,,,1.88,1.92,279,42,42,395.64,17,5.331041174
Shorea,andulensis,1.78,,,3.01,2.11,292,32,41,1071.525,10,4.849742261
Shorea,andulensis,2.31,,,4.28,3.23,464,31,57,1681.47,27,5.748043145
Shorea,andulensis,2.9,,,5.99,4.17,659,54,52,1978.2,13,6.14817046
Shorea,andulensis,4.87,,,5.82,5.93,779,65,52,1653.21,17,5.5
Shorea,andulensis,3.3,,,7.67,7.15,1069,50,72,1727,45,5.878775383
Shorea,andulensis,3.31,,,9.74,9.14,1267,75,89,1607.68,52,6.7
Shorea,andulensis,5.25,,,17,7.26,900,46,93,2857.4,23,6.997142274
Shorea,andulensis,4.69,,,21.5,17.7,2266,54,114,2362.065,71,8.548684109
Shorea,andulensis,7.07,,,22.9,15.4,2091,61,120,3020.68,53,8.2
Shorea,andulensis,9.43,,,31,13.7,1712,68,128,6000.54,87,9.743715924
Shorea,andulensis,12.6,,,33.7,17.3,2227,64,121,3221.64,41,9.746794345
Dryobalanops,aromatica,0.574,0.714,0.0414,,0.506,101.5075863,10.89079953,41,238.64,7,3.54964787
Dryobalanops,aromatica,0.647,1.42,0.129,,0.825,153.7781017,12.21291897,47,565.2,2,3.749666652
Dryobalanops,aromatica,0.36,0.57,0.177,,0.825,131.335055,12.19229601,43,301.44,4,2.99833287
Dryobalanops,aromatica,0.812,1.49,0.246,,1.423,255.5370221,18.2389489,52,573.835,8,4.247352116
Dryobalanops,aromatica,3.49,6.23,0.275,,1.934,312.9979574,23.97457001,87,734.76,10,5.499090834
Dryobalanops,aromatica,1.44,1.64,0.288,,1.496,249.2196753,17.71025111,54,795.99,17,4.149698784
Dryobalanops,aromatica,3.79,3.47,0.323,,1.813,283.1130373,19.32990367,67,1071.525,10,4.198809355
Dryobalanops,aromatica,2.97,7.46,0.412,,2.805,480.6244405,33.04754905,84,725.34,18,5.596427432
Dryobalanops,aromatica,1.5,2.31,0.434,,2.06,364.1788857,22.2268676,55,863.5,16,3.947150871
Dryobalanops,aromatica,3.43,3.79,0.469,,2.3,422.8710179,25.45267405,64,906.675,16,5.34976635
Dryobalanops,aromatica,2.18,4.4,0.607,,2.709,428.7283554,25.47929642,75,904.32,21,5.449770637
Dryobalanops,aromatica,4.97,5.56,0.615,,2.459,425.083502,26.71179971,73,978.895,15,5.444263036
Dryobalanops,aromatica,13,15.8,1.5,,5.893,953.0297346,27.59240025,111,1822.77,17,8.797726979
Dryobalanops,aromatica,5.65,10.6,1.52,,4.893,817.0904416,23.07109673,101,2296.125,24,6.348228099
Dryobalanops,aromatica,6,13.8,1.89,,6.505,1085.628589,29.78049668,137,2505.72,33,7.549834435
Dryobalanops,aromatica,11.2,16.6,1.98,,5.249,740.1462074,31.41945983,111,1921.68,19,5.395368384
Dryobalanops,aromatica,0.401,0.393,0,,0.418,67.71587556,17.7914306,33,150.72,7,3.3
Dryobalanops,aromatica,0.513,0.586,0,,0.599,116.6762907,25.44667464,36,247.275,11,3.398529094
Dryobalanops,aromatica,0.737,0.902,0,,1,191.1639351,27.83181411,41,306.935,16,3.398529094
Shorea,beccariana,1.09,0.368,0,0.368,0.801,75,24,18,282.6,3,3.09354166
Shorea,beccariana,1.11,0.935,0,0.935,1.78,163,34,33,438.03,16,4.098780306
Shorea,beccariana,1.85,2.83,0,2.83,2.41,291,58,48,703.36,13,4.395452195
Shorea,beccariana,1.03,2.05,0,2.05,4.34,693,109,47,706.5,29,4.949747468
Shorea,beccariana,2.93,2.96,0,2.96,2.68,386,63,46,754.385,14,5.130302135
Shorea,beccariana,1.66,4.38,0,4.38,4.64,583,114,51,805.41,16,5.149757276
Shorea,beccariana,3.78,2.62,0,2.62,4.42,573,77,51,907.46,20,4.898979486
Shorea,beccariana,2.85,10.4,0,10.4,5.06,701,170,114,1591.98,24,6.496922348
Shorea,beccariana,5.63,14.4,0,14.4,5.66,649,147,108,1516.62,52,7.599342077
Shorea,beccariana,4.95,14.5,0,14.5,7.86,877,205,99,1092.72,27,7.64852927
Shorea,beccariana,6.44,21.8,0,21.8,8.26,866,200,126,1713.655,20,9.995498987
Shorea,beccariana,1.18,0.873,0.081,0.954,1.56,146,33,32,529.875,15,3.934463115
Shorea,beccariana,0.522,,,0.497,0.594,93,49,29,224.51,13,3.1
Shorea,beccariana,0.64,,,0.486,0.907,140,74,21,175.84,14,3.449637662
Shorea,beccariana,0.751,,,0.592,0.983,177,71,21,373.66,17,3.33166625
Shorea,beccariana,0.72,,,0.547,1.57,243,74,28,402.705,19,3.349626845
Shorea,beccariana,0.833,,,0.909,1.51,230,97,26,544.005,21,4.995998399
Shorea,beccariana,0.61,,,1.12,1.74,260,96,37,552.64,22,3.598610843
Shorea,beccariana,0.812,,,1.14,1.7,267,80,37,461.58,21,4.249705872
Shorea,beccariana,0.954,,,1.23,1.49,242,90,40,413.695,17,4.289522118
Shorea,beccariana,0.856,,,1.58,3.21,469,92,44,640.56,24,4.590206967
Shorea,beccariana,1.77,,,3.28,2.12,342,72,55,500.83,22,5.247856705
Shorea,beccariana,1.96,,,5.12,2.05,257,67,77,455.3,20,5.749782605
Shorea,beccariana,3.05,,,4.31,2.86,399,88,57,725.34,28,6.748333128
Shorea,beccariana,3.42,,,6.49,2.49,292,99,83,569.91,22,7.597367965
Shorea,beccariana,3.51,,,6.53,4.24,507,121,66,447.45,19,6.249799997
Shorea,beccariana,3.22,,,7.47,5.22,735,163,77,922.375,25,6.399218702
Shorea,beccariana,3.89,,,13.2,8.49,1025,144,116,890.19,27,8.690799733
Shorea,beccariana,7.11,,,11.4,11.6,1356,198,93,1730.925,53,8.9
Shorea,beccariana,7.83,,,13.1,10.8,1340,194,110,1383.955,41,8.331866538
Shorea,beccariana,7.99,,,23.4,17.4,2024,328,127,2545.755,47,8.8
Shorea,biawak,1.07,1.93,0,1.93,0.662,129,44,51,208.81,4,3.498571137
Shorea,biawak,1.1,2.22,0,2.22,1.21,210,37,57,367.38,14,3.749666652
Shorea,biawak,1.45,2.44,0,2.44,0.997,172,40,53,280.245,10,4.74341649
Shorea,biawak,1.85,3.18,0,3.18,1.2,221,40,50,207.24,11,4.949747468
Shorea,biawak,2.78,3.27,0,3.27,1.94,321,52,46,681.38,14,5.344155686
Shorea,biawak,3.57,4.61,0,4.61,2.413,248,26,66,824.25,9,6.14817046
Shorea,biawak,2.67,4.44,0.581,5.021,2.75,280,47,65,774.01,7,5.14781507
Shorea,biawak,5.06,4.93,0.737,5.667,1.79,159,28,62,701.005,2,5.14781507
Shorea,biawak,11.4,17.2,2.13,19.33,7.09,1250,87,100,3282.87,58,7.34982993
Shorea,biawak,14.1,26.8,2.44,29.24,7.912,1345,60,121,2223.12,30,9.2
Shorea,biawak,21.9,26.6,4.38,30.98,9.12,1627,75,123,2062.195,30,9.295160031
Shorea,biawak,11.5,14.6,4.95,19.55,13.27,2421,61,108,2120.285,66,8.348652586
Shorea,biawak,15.6,29.7,6.03,35.73,8.35,1569,50,109,5798.795,45,9.046546302
Shorea,biawak,0.673,,,0.789,0.543,87,23,34,188.4,6,3.598610843
Shorea,biawak,0.273,,,1.25,0.626,116,25,31,224.51,9,3.146426545
Shorea,biawak,1.06,,,0.73,0.457,87,29,30,164.85,6,3.193743885
Shorea,biawak,1.3,,,1.51,1.38,258,32,42,343.045,19,3.6
Shorea,biawak,1.75,,,2.22,0.861,161,55,60,412.125,11,3.449637662
Shorea,biawak,2,,,1.9,1.24,211,43,52,402.705,16,3.998749805
Shorea,biawak,2.15,,,1.69,1.74,314,55,34,339.12,12,4.247352116
Shorea,biawak,1.91,,,2.59,1.45,258,48,49,449.02,9,4.695742753
Shorea,biawak,3.08,,,3.15,2.26,403,69,54,747.32,15,4.147288271
Shorea,biawak,3.1,,,4.63,1.47,228,55,67,343.045,19,5.99666574
Shorea,biawak,3.26,,,5.59,2.14,353,78,79,813.26,16,4.695742753
Shorea,biawak,3.62,,,5.03,2.64,465,43,64,885.48,15,4.943682838
Shorea,biawak,4.77,,,5.74,3.31,563,63,64,715.92,14,4.898979486
Shorea,biawak,1.67,,,15.5,0.892,204,42,39,333.625,10,4.049691346
Shorea,biawak,6.76,,,8.78,2.96,485,71,80,1216.75,42,7.483314774
Shorea,biawak,7.83,,,10.4,1.07,196,44,90,1512.695,40,6.740919819
Shorea,biawak,8.64,,,10.7,4.57,847,49,62,2704.325,21,6.640783086
Shorea,biawak,7.12,,,15.8,7.67,1203,79,131,1852.6,47,7.797435476
Shorea,biawak,11.3,,,26.5,8.02,1414,66,130,2454.695,64,8.148619515
Shorea,biawak,16.7,,,47.6,17.2,3232,70,130,8680.53,67,10.94897255
Hopea,bracteata,0.155,0.2,0.0347,,0.258,50.21933296,3.974607508,21,105.975,8,2.19089023
Hopea,bracteata,0.163,0.218,0.0486,,0.3403,69.82650751,4.838147233,18,112.255,4,2.049390153
Hopea,bracteata,0.775,0.657,0.211,,1.207,217.3544145,6.773518615,27,282.6,15,3.746998799
Hopea,bracteata,0.607,0.826,0.227,,1.0003,221.9321505,7.943215607,35,306.15,12,3.098386677
Hopea,bracteata,0.931,1.5,0.269,,1.441,272.2373714,7.092799586,46,397.21,16,3.698648402
Hopea,bracteata,0.525,1.42,0.281,,0.976,146.7861106,7.08192566,54,306.15,22,3.998749805
Hopea,bracteata,2.18,2,0.417,,1.932,340.0978132,11.6262894,48,678.24,17,4.69893605
Hopea,bracteata,1.57,4.05,0.866,,3.188,654.693345,7.940778348,62,924.73,39,5.844655678
Hopea,bracteata,1.67,3.4,0.886,,2.484,449.6894962,6.767519207,55,854.08,35,5.047771786
Hopea,bracteata,2.8,5.05,1.01,,3.8996,725.1489377,10.21961581,91,1227.74,52,5.1
Hopea,bracteata,5.56,6.18,1.14,,4.155,640.6917261,10.16880833,71,819.54,44,5.796550698
Hopea,bracteata,2.04,4.92,1.25,,5.093,924.5607505,10.30548233,81,2201.925,46,4.898979486
Hopea,bracteata,2.1,4.15,1.31,,3.965,717.8339837,11.05897043,66,958.485,26,6.044832504
Hopea,bracteata,4,7.66,1.64,,4.922,877.4503956,8.410044508,79,1186.92,41,6.549809158
Hopea,bracteata,2.97,6.48,1.69,,6.941,1196.48293,11.80889637,147,3179.25,77,8.99499861
Hopea,bracteata,6.57,5.15,2.83,,9.763,1709.829882,12.74517891,95,2122.64,65,6.496922348
Hopea,bracteata,3.07,11.5,2.93,,7.459,1329.519584,8.826065926,111,1582.56,54,6.349803147
Hopea,bracteata,7.92,14.3,4.66,,9.298,1485.605726,11.07584376,110,2681.56,93,7.94606821
Hopea,bracteata,6.29,20,6.33,,12.474,1788.753893,13.40305145,97,1269.345,48,6.945502142
Dipterocarpus,confertus,0.104,0.147,0,,0.135,46.45903717,16.90351828,18,129.525,1,2.598076211
Dipterocarpus,confertus,2.3,1.53,0,,0.552,104.5286153,43.00337842,39,183.69,1,4.749736835
Dipterocarpus,confertus,1.56,2.05,0,,2.28,510.3763792,84.21293397,33,751.245,5,4.549725266
Dipterocarpus,confertus,2.64,3.94,0,,1.23,231.862686,69.1817933,40,569.125,2,6.3
Dipterocarpus,confertus,2.38,3.25,0,,2.68,496.0584345,109.3414525,35,865.07,7,5.29905652
Dipterocarpus,confertus,5.33,4.06,0,,2.65,477.2060009,103.615393,41,1193.2,12,6.399218702
Dipterocarpus,confertus,4.43,3.77,0,,4.18,786.2581197,135.2343331,32,1044.05,4,6.752777206
Dipterocarpus,confertus,5.34,6.45,0,,3.95,629.7140417,129.4042213,50,704.145,5,6.648308055
Dipterocarpus,confertus,6.46,7.39,0,,3.07,623.9228164,132.2563772,46,1073.88,8,7.897467949
Dipterocarpus,confertus,6.52,7.2,0,,6.57,1012.087492,158.6682065,40,2066.12,5,7.699350622
Dipterocarpus,confertus,5.89,7.99,0,,6.43,1292.281984,154.7275332,54,1476.585,13,7.048404075
Dipterocarpus,confertus,8.9,17.4,0,,6.26,1229.574042,233.7369185,70,2384.83,10,8.779521627
Dipterocarpus,confertus,7.62,29,0,,9.55,1423.818182,328,78,2777.33,13,12.43302055
Dipterocarpus,confertus,21,20.6,0,,8.82,1567.985195,232.8866899,63,2373.84,7,11.14719696
Dipterocarpus,confertus,23.5,33.8,0,,9.65,1498.518791,262.4348971,114,2210.56,62,11.64731729
Dipterocarpus,confertus,24.1,35.3,0,,24.35,3675.671979,203.7846888,88,3391.2,37,12.64990119
Shorea,crassa,0.387,1.32,0,1.32,0.497,90,38,47,235.5,5,3.2984845
Shorea,crassa,1.26,1.27,0,1.27,0.611,104,36,42,268.47,4,3.3
Shorea,crassa,0.532,1.97,0,1.97,0.687,123,30,52,253.555,6,3.6
Shorea,crassa,1.77,1.92,0,1.92,1.11,169,36,55,276.32,6,4.247352116
Shorea,crassa,2.11,2.39,0,2.39,0.794,118,28,52,376.8,3,4.549725266
Shorea,crassa,1.64,3.93,0,3.93,1.28,117,27,80,324.99,6,4.847679857
Shorea,crassa,3.97,7.19,0,7.19,2.76,220,48,91,753.6,11,5.5
Shorea,crassa,3.59,11.1,0,11.1,3.56,502,89,109,778.72,15,6.249799997
Shorea,crassa,4.74,8.48,0,8.48,5.26,417,59,92,932.58,28,5.599107072
Shorea,crassa,3.7,12.2,0,12.2,5.56,877,118,112,1318.8,38,6.440496875
Shorea,crassa,2.43,2.99,0.188,3.178,1.49,126,27,64,431.75,17,4.790615827
Shorea,crassa,3.76,5.34,0.943,6.283,2.56,197,43,71,1469.52,9,4.447471192
Shorea,crassa,4.29,14.9,1.16,16.06,5.43,766,73,121,1342.35,16,6.549809158
Shorea,crassa,2.65,9.21,1.39,10.6,2.75,443,56,111,1227.74,11,6.149796745
Shorea,crassa,5.23,19,3.28,22.28,4.55,708,80,122,2091.24,38,7.44848978
Shorea,crassa,0.0819,,,0.173,0.0973,18,6,20,54.95,3,1.743559577
Shorea,crassa,0.123,,,0.305,0.158,25,13,30,51.81,5,2
Shorea,crassa,0.297,,,0.311,0.146,24,12,22,61.23,2,2.3
Shorea,crassa,0.291,,,0.351,0.313,51,11,22,102.05,8,2.598076211
Shorea,crassa,0.203,,,0.612,0.209,41,10,40,120.89,6,2.349468025
Shorea,crassa,0.253,,,0.482,0.443,66,12,33,153.86,13,3
Shorea,crassa,0.58,,,1.09,0.407,59,15,36,211.95,7,2.846049894
Shorea,crassa,0.523,,,1.47,0.734,129,25,49,268.47,20,3.349626845
Shorea,crassa,0.403,,,1.44,1.15,175,28,46,329.7,12,3.968626967
Shorea,crassa,0.778,,,2,0.507,81,28,65,149.15,6,3.2984845
Shorea,crassa,0.817,,,1.43,1.12,166,25,47,282.6,21,3.5
Shorea,crassa,1.54,,,2.73,1.38,198,46,61,361.1,8,3.949683532
Shorea,crassa,1.26,,,3.89,1.48,217,69,74,449.02,5,4.298837052
Shorea,crassa,2.1,,,11.6,3.85,545,89,113,827.39,22,5.744562647
Shorea,crassa,2.86,,,11.3,5.57,668,92,95,1016.575,15,6.493073232
Shorea,crassa,5.77,,,18.5,8.49,985,104,116,1365.115,44,9.649870465
Dipterocarpus,crinitus,22.2,37,1.58,,5.29,854.0453915,143.4848309,143,1525.255,25,10.34021276
Dipterocarpus,crinitus,15.3,26,3.85,,20.39,5419.905983,120.9482439,128,4937.65,73,10.16070864
Dipterocarpus,crinitus,29.3,40.4,6.64,,4.97,904.7185629,156,140,2373.84,14,13.23631369
