dataset,grouping,location,latitude,longitude,vegetation,lai,map,mat,family,species,pft,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc,growingCondition,status,light,method_lai,method_age,method_a.lf,method_a.ssba,method_a.ssbh,method_a.ssbc,method_a.shba,method_a.shbh,method_a.shbc,method_a.sbba,method_a.sbbh,method_a.sbbc,method_a.stba,method_a.stbh,method_a.stbc,method_a.cp,method_a.cs,method_h.t,method_h.c,method_d.ba,method_d.bh,method_d.cr,method_c.d,method_m.lf,method_m.ss,method_m.sh,method_m.sb,method_m.st,method_m.so,method_m.br,method_m.rf,method_m.rc,method_m.rt,method_m.to,method_a.ilf,method_ma.ilf,method_r.st,method_r.ss,method_r.sb,method_r.sh,method_n.lf,method_n.ss,method_n.sb,method_n.sh,method_n.rf,method_n.rc,method_light
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.00077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001140333,0.002956643,0.069,0.037669906,0.00203,NA,NA,NA,4.10E-05,NA,NA,NA,4.00E-05,NA,NA,NA,NA,4.50E-05,NA,0.000127784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Aextoxicaceae,Aextoxicon punctatum,EA,NA,0.00029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000699513,NA,0.058,0.010993488,0.001,NA,NA,NA,2.00E-05,NA,NA,NA,1.50E-05,NA,NA,NA,NA,2.00E-05,NA,6.38E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Myrtaceae,Amomyrtus luma,EA,NA,0.02081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032283919,0.13020478,0.38,0.306194741,0.0015,NA,NA,NA,0.00154,NA,NA,NA,0.00117,NA,NA,NA,NA,0.00131,NA,0.000385426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Myrtaceae,Amomyrtus luma,EA,NA,0.03439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.093778248,0.241146486,0.46,0.289166206,0.00254,NA,NA,NA,0.00311,NA,NA,NA,0.00281,NA,NA,NA,NA,0.00196,NA,0.000484426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Myrtaceae,Amomyrtus luma,EA,NA,0.02265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.048135724,0.190143096,0.475,0.428733902,0.001,NA,NA,NA,0.00236,NA,NA,NA,0.00256,NA,NA,NA,NA,0.00238,NA,0.000435605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Myrtaceae,Amomyrtus luma,EA,NA,0.00024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000415842,0.00107135,0.045,0.019387051,6.00E-04,NA,NA,NA,1.30E-05,NA,NA,NA,8.00E-06,NA,NA,NA,NA,1.20E-05,NA,3.00E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Myrtaceae,Amomyrtus luma,EA,NA,0.00053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000667267,0.002371636,0.047,0.02935859,0.000401,NA,NA,NA,2.20E-05,NA,NA,NA,1.40E-05,NA,NA,NA,NA,1.50E-05,NA,5.29E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Elaeocarpacaeae,Aristotelia chilensis,EA,NA,0.00014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000327379,0.000593018,0.023,0.010909122,3.00E-04,NA,NA,NA,3.00E-06,NA,NA,NA,2.00E-06,NA,NA,NA,NA,2.00E-06,NA,3.59E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Elaeocarpacaeae,Aristotelia chilensis,EA,NA,0.00018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000427708,0.000939777,0.027,0.01629434,0.000762,NA,NA,NA,6.00E-06,NA,NA,NA,4.00E-06,NA,NA,NA,NA,6.00E-06,NA,3.04E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,NA,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,3500,NA,Elaeocarpacaeae,Aristotelia chilensis,EA,NA,0.00428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008138823,0.021466594,0.2,0.091670773,0.00152,NA,NA,NA,0.00015,NA,NA,NA,0.000185,NA,NA,NA,NA,0.00016,NA,0.000389619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d,NA,NA,NA,m0,NA,NA,NA,m0,NA,NA,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
