plant nr,species,family,growth location,latitude,longitude,trunk diameter from soil level cm,trunk diameter from soil level m,trunk height cm,trunk height m,sub ground trunk length cm,coarse root length cm,longest root cm,longest root m,age years,above ground woody dry mass g,total needles mass g,cone mass g,coarse root dry mass g,fine root dry mass g,total root dry mass g,above ground total dry mass g,projected leaf area from above (cm2),projected leaf area from side (cm2),projected trunk area from above (cm2),projected trunk area from side(cm2),projected crone area from above (cm2),projected cone area from side (cm2),coarse root N%,I year needles N%,II year needles N%,III year needles N%,trunk N%,weighed average N%,this year seedling mass,last year seedling mas,2 years ago seedling mass,total needle area mm2, total needle area cm2( mm /100),total needle area m2 (mm / 1000000),total dry mass g,LMA g m-2,S/R kg kg-1,LAR m2 kg-1,LWR kg kg-1,SWR kg kg -1,RWR g g-1,fine root/ coarse root kg kg-1,RGR 1 statistika tabelis,RGR2 statistika tabelis,FISH EYE PICS,pooripaev,pooripaev +30,pooripaev +60,diffuse,1? M=Iba*(Ms+Mcr*(Mcr/Mtuvi)),2? M=Iba*(Ms+Mcr*(Mcr/Mtuvi)),3? M=Iba*(Ms+Mcr*(Mcr/Mtuvi)),1 2 3 mean? M=Iba*(Mtuvi+Mjjuur/Mtuvi),1 ?Ms=Iba*Ms,2 ?Ms=Iba*Ms,3 ?Ms=Iba*Ms,1 2 3 mean ?Ms=Iba*Ms,RGR AASTA KOHTA Ln ((Ms+Mr)/aastatega)),RGR=LN (Mr+Ms)-Ln (Mr+Ms-?M1),RGR=LN (Mr+Ms)-Ln (Mr+Ms-?M2),RGR=LN (Mr+Ms)-Ln (Mr+Ms-?M3),RGR=LN (Mr+Ms)-Ln (Mr+Ms-?M1 2 3 mean),RGR=Ln Ms-Ln (Ms-?Ms1),RGR=Ln Ms-Ln (Ms-?Ms2),RGR=Ln Ms-Ln (Ms-?Ms3),RGR=Ln Ms-Ln (Ms-?Ms1 2 3 mean),LA (Ml/Ml+?M1),LA (Ml/Ml+?M2),LA (Ml/Ml+?M3),LA (Ml/Ml+?M1 2 3 mean),Naverage in LEAVES N %,King artikkel 2003.1,King artikkel 2003.2,average 1 needle area: average of 4 year needles each year 5 needles average mm2
50 (20),Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,0.592,0.00592,24.2,0.242,2.5,36.5,76.5,0.765,9,3.819,4.5588,,1.777,0.868,2.645,8.3778,77.9571682,113.8793907,9.45425072,21.08326814,87.41141892,134.9626589,0.333,1.361,1.079,0.81,0.483,0.764,0.918,0.811,0.588,62815.7554,628.1576,0.0628,11.0228,72.5741,3.1674,5.6987,0.4136,0.76,0.24,0.4885,0.2667,0.0003,"kl4,20",0.884284833,0.82332906,0.604798151,0.86035,0.9762,1.8492,2.4997,1.775,0.8024,1.5201,2.0548,1.4591,-0.4752,0.5918,0.3815,0.3815,0.4516,0.2359,0.5075,0.7723,0.5052,0.8236,0.7499,0.6893,0.7543,1.2488,45.3926,133.371,65.1678
26,Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,0.554,0.00554,29,0.29,5.5,17,53,0.53,7,3.583,5.0597,,1.71,0.624,2.334,8.6427,89.41181835,106.678237,2.34124204,19.95053957,91.75306039,126.6287766,0.396,1.346,1.033,0.601,0.419,0.777,0.531,0.509,0.648,69922.0535,699.2205,0.0699,10.9767,72.362,3.703,6.37,0.4609,0.7874,0.2126,0.3649,0.3423,0.0003,,,,,,3.8511,1.0701,2.0321,2.3177,3.1366,0.8716,1.6551,1.8878,-0.2795,0.4844,0.5761,0.5761,0.5455,2.0828,0.2787,0.6198,0.9938,0.5678,0.8531,0.7535,0.7248,1.2064,-4.8744,123.6048,57.1512
23,Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,0.545,0.00545,25.6,0.256,2.5,5.9,28.8,0.288,7,2.4854,4.1621,,1.151,0.1605,1.3115,6.6475,77.28142157,115.4085833,2.49603449,11.06200397,79.77745606,126.4705873,0.393,1.202,1.017,0.619,0.245,0.715,0.512,0.458,0.5294,59403.4117,594.0341,0.0594,7.959,70.065,5.0686,7.4637,0.5229,0.8352,0.1648,0.1394,0.2963,0.0003,,,,,,,,,,,,,,-0.6549,,,,,,,,,,,,,1.1023,,111.9043,69.9579
25,Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,0.413,0.00413,20.5,0.205,2.5,1.8,51.8,0.518,7,1.13,1.7863,,0.4978,0.6834,1.1812,2.9163,40.22195756,59.21894605,0.83143986,8.34661509,41.05339742,67.56556114,0.377,0.992,1.143,0.858,0.39,0.669,0.2542,0.1878,0.207,31133.1495,311.3315,0.0311,4.0975,57.3761,2.4689,7.5981,0.4359,0.7117,0.2883,1.3728,0.2015,0.0002,,,,,,,,,,,,,,-1.4587,,,,,,,,,,,,,1.0463,,93.6719,59.0137
6,Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,0.339,0.00339,14,0.14,4.8,1.9,45.2,0.452,5,0.8341,1.6012,,0.3789,0.4727,0.8516,2.4353,20.1875372,42.77721848,0.70794584,9.12283622,20.89548304,51.9000547,0.38,1.361,1.188,0.892,0.556,0.88,0.2661,0.2447,0.079,22416.3071,224.1631,0.0224,3.2869,71.4301,2.8597,6.8199,0.4871,0.7409,0.2591,1.2476,0.238,0.0002,"kl4,6",0.863128981,0.837818827,0.605115096,0.788911111,,,,,,,,,-1.4163,,,,,,,,,,,,,1.3138,,108.6397,79.7119
13,Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,0.192,0.00192,6,0.06,2.2,2.1,13,0.13,,0.1211,0.3088,,0.0841,0.0908,0.1749,0.4299,5.98882656,7.13457206,0.05544554,0.97756996,6.0442721,8.11214202,,1.375,1.181,0.887,,,0.0278,0.0245,0.0157,5083.7509,50.8375,0.0051,0.6048,60.7426,2.458,8.4057,0.5106,0.7108,0.2892,1.0797,,,"kl4,13",0.903812502,0.878806585,0.765907072,0.909816667,,,,,,,,,,,,,,,,,,,,,,1.3078,,84.5635,46.0962
24a,Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,,,,,,,,,,15.116,15.517,,6.193,1.5105,7.7035,30.633,,,,,0,0,,,,,,,2.104,2.15,2.95,,,,38.3365,,3.9765,,0.4048,0.7991,0.2009,0.2439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12a,Pinus sylvestris,Pinaceae,Kalevi-Liiva,59,25,,,,,,,,,,177.782,164.6398,,94.97458153,,94.97458153,342.4218,,,,,0,0,,,,,0.49,,,,,,,,437.3964,,,,,0.7829,0.2171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21a,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,0.641,0.00641,13,0.13,16,3,41,0.41,,2.0641,0.9472,,3.7066,0.8274,4.534,3.0113,78.05,75.9,19.24,34.74,97.29,110.64,0.675,1.276,1.079,0.941,0.43,0.664,0.1131,0.0854,0.0671,13337.8539,133.3785,0.0133,7.5453,71.0159,0.6642,1.7677,0.1255,0.3991,0.6009,0.2232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8852,,225.771,32.5183
21b,Pinus sylvestris,Pinaceae,Mannikjarve raba,58,26,0.369,0.00369,10,0.1,19,1.5,28,0.28,,0.8388,0.6569,,2.2962,0.6604,2.9566,1.4957,11.67,14.96,5.47,5.92,17.14,20.88,0.556,1.248,1.069,0.803,0.502,0.618,0.044,0.0434,,8571.613,85.7161,0.0086,4.4523,76.6367,0.5059,1.9252,0.1475,0.3359,0.6641,0.2876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8506,,174.4946,23.4924
