d.order,g.epi,Engler.Family,APG.Family,TreeID,StemID,MultStem,DE,CB,D0,D0.2,DBH,DBH.2,DL,DL.2,D10,H,H.2,HL,CrwnA,CrwnW,BrL,BrL.2,WS,WB,WBc,WBo,WOSB,WSB,WBL,WL,WLc,WLo,WF,WR,WA,Age,LA,LAc,LAo,V,Lat,Long,Country,Prefecture,Site,Stand,Domi.sp,Dens,Stand.age,Alt,Forest.type,Year,Month,Day,Collector,Ref,Ref.T.E,Ref.A.E,Ref.Y,Ref.J.E,Ref.V,Ref.P,Note.E
1181,Castanopsis cuspidata,Fagaceae,Fagaceae,19,19,,E,B,NA,NA,NA,NA,0.5,NA,NA,1.25,NA,0.53,NA,NA,NA,NA,0.02,0.01,NA,NA,NA,0.03,NA,0.01,NA,NA,NA,NA,0.04,,0.0899,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1182,Castanopsis cuspidata,Fagaceae,Fagaceae,20,20,,E,B,NA,NA,NA,NA,0.4,NA,NA,1.1,NA,0.54,NA,NA,NA,NA,0.012,0.005,NA,NA,NA,0.017,NA,0.006,NA,NA,NA,NA,0.023,,0.0533,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1183,Castanopsis cuspidata,Fagaceae,Fagaceae,21,21,,E,B,NA,NA,NA,NA,0.3,NA,NA,0.5,NA,0.18,NA,NA,NA,NA,0.002,0.001,NA,NA,NA,0.003,NA,0.002,NA,NA,NA,NA,0.005,,NA,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1184,Castanopsis cuspidata,Fagaceae,Fagaceae,22,22,,E,B,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,0.007,0.003,NA,NA,NA,0.01,NA,0.003,NA,NA,NA,NA,0.013,,NA,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1185,Castanopsis cuspidata,Fagaceae,Fagaceae,23,23,,E,B,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,0.004,0.001,NA,NA,NA,0.005,NA,8.00E-04,NA,NA,NA,NA,0.0058,,NA,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1186,Eurya japonica,Theaceae,Ternstroemiaceae,24,24,,E,B,NA,NA,0.3,NA,NA,NA,NA,1.45,NA,NA,NA,NA,NA,NA,0.023,0.001,NA,NA,NA,0.024,NA,2.00E-04,NA,NA,NA,NA,0.0242,,NA,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1187,Castanopsis cuspidata,Fagaceae,Fagaceae,25,25,,E,B,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,0.007,0.002,NA,NA,NA,0.009,NA,0.004,NA,NA,NA,NA,0.013,,NA,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1188,Castanopsis cuspidata,Fagaceae,Fagaceae,26,26,,E,B,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,0.003,0.004,NA,NA,NA,0.007,NA,0.0011,NA,NA,NA,NA,0.0081,,NA,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1189,Castanopsis cuspidata,Fagaceae,Fagaceae,27,27,,E,B,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,0.002,0.001,NA,NA,NA,0.003,NA,0.003,NA,NA,NA,NA,0.006,,NA,NA,NA,NA,32.2,130.8,Japan,Kumamoto,Sumitomo Forestry Co. Forest,7,,,,,S?,1961,10,,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,Leaf area was estimated from leaf weight.
1190,Fagus crenata,Fagaceae,Fagaceae,A,A,,D,B,NA,NA,8,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA,NA,11.987,1.594,NA,NA,NA,13.581,NA,0.353,NA,NA,NA,NA,13.934,70,7.8264,NA,NA,0.01876,36.9,138.8,Japan,Niigata,Naeba,86,,,,1300,,1961,9,16-23,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,
1191,Fagus crenata,Fagaceae,Fagaceae,C,C,,D,B,NA,NA,4.5,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,3.898,0.478,NA,NA,NA,4.376,NA,0.198,NA,NA,NA,NA,4.574,71,2.1995,NA,NA,0.005307,36.9,138.8,Japan,Niigata,Naeba,86,,,,1300,,1961,9,16-23,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,
1192,Fagus crenata,Fagaceae,Fagaceae,D,D,,D,B,NA,NA,0.3,NA,NA,NA,NA,1.47,NA,NA,NA,NA,NA,NA,0.0404,0.0056,NA,NA,NA,0.046,NA,0.0043,NA,NA,NA,NA,0.0503,,0.2358,NA,NA,NA,36.9,138.8,Japan,Niigata,Naeba,86,,,,1300,,1961,9,16-23,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,
1193,Fagus crenata,Fagaceae,Fagaceae,E,E,,D,B,NA,NA,0.8,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,0.15,0.0263,NA,NA,NA,0.1763,NA,0.0142,NA,NA,NA,NA,0.1905,,NA,NA,NA,NA,36.9,138.8,Japan,Niigata,Naeba,86,,,,1300,,1961,9,16-23,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,
1194,Fagus crenata,Fagaceae,Fagaceae,F,F,,D,B,NA,NA,0.9,NA,NA,NA,NA,2.4,NA,1.2,NA,NA,NA,NA,0.2008,0.0422,NA,NA,NA,0.243,NA,0.0153,NA,NA,NA,NA,0.2583,,0.6305,NA,NA,NA,36.9,138.8,Japan,Niigata,Naeba,86,,,,1300,,1961,9,16-23,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,
1195,Fagus crenata,Fagaceae,Fagaceae,G,G,,D,B,NA,NA,0.8,NA,NA,NA,NA,1.55,NA,0.8,NA,NA,NA,NA,0.2478,0.0919,NA,NA,NA,0.3397,NA,0.0254,NA,NA,NA,NA,0.3651,,0.6385,NA,NA,NA,36.9,138.8,Japan,Niigata,Naeba,86,,,,1300,,1961,9,16-23,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,
1196,Fagus crenata,Fagaceae,Fagaceae,H,H,,D,B,NA,NA,1.7,NA,NA,NA,NA,3.2,NA,1.45,NA,NA,NA,NA,0.5011,0.0993,NA,NA,NA,0.6004,NA,0.0258,NA,NA,NA,NA,0.6262,,1.113,NA,NA,NA,36.9,138.8,Japan,Niigata,Naeba,86,,,,1300,,1961,9,16-23,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,
1197,Fagus crenata,Fagaceae,Fagaceae,I,I,,D,B,NA,NA,3,NA,NA,NA,NA,4.73,NA,2,NA,NA,NA,NA,1.6233,0.3285,NA,NA,NA,1.9518,NA,0.1039,NA,NA,NA,NA,2.0557,58,5.2947,NA,NA,0.002601,36.9,138.8,Japan,Niigata,Naeba,86,,,,1300,,1961,9,16-23,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,
1198,Fagus crenata,Fagaceae,Fagaceae,J,J,,D,B,NA,NA,2.4,NA,NA,NA,NA,3.05,NA,1.6,NA,NA,NA,NA,0.8478,0.1916,NA,NA,NA,1.0394,NA,0.0819,NA,NA,NA,NA,1.1213,51,2.0067,NA,NA,0.001469,36.9,138.8,Japan,Niigata,Naeba,86,,,,1300,,1961,9,16-23,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,
1199,Fagus crenata,Fagaceae,Fagaceae,K,K,,D,B,NA,NA,3.2,NA,NA,NA,NA,4.7,NA,2.6,NA,NA,NA,NA,1.5799,0.2976,NA,NA,NA,1.8775,NA,0.0758,NA,NA,NA,NA,1.9533,,1.9725,NA,NA,NA,36.9,138.8,Japan,Niigata,Naeba,86,,,,1300,,1961,9,16-23,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,
1200,Fagus crenata,Fagaceae,Fagaceae,L,L,,D,B,NA,NA,2.3,NA,NA,NA,NA,3.3,NA,2.1,NA,NA,NA,NA,0.7772,0.1563,NA,NA,NA,0.9335,NA,0.0489,NA,NA,NA,NA,0.9824,46,1.8709,NA,NA,0.001394,36.9,138.8,Japan,Niigata,Naeba,86,,,,1300,,1961,9,16-23,Ishihara,Four Universities 1963,Forest production data from the perspective of material cycle 2 [in Japanese with title translated by Ishihara],"Forestry Laboratories of Kyoto University, Tokyo University, Niigata University, Shinshu University",1963,,NA,45-103,
