"species","species_Taxonstand","species_taxize","species_matched"
"Baccaurea pendula","Baccaurea minor",NA,"Baccaurea minor"
"Baccaurea sp.",NA,"Baccaurea","Baccaurea sp."
"Banara guianensis","Banara guianensis",NA,"Banara guianensis"
"Banksia ericifolia","Banksia ericifolia",NA,"Banksia ericifolia"
"Barringtonia macrostachy","Barringtonia macrostachya",NA,"Barringtonia macrostachya"
"Batocarpus amazonicus","Batocarpus amazonicus",NA,"Batocarpus amazonicus"
"Beilschmiedia sp.",NA,"Beilschmiedia","Beilschmiedia sp."
"Beilschmiedia tarairi","Beilschmiedia tarairi",NA,"Beilschmiedia tarairi"
"Beilschmiedia tawa","Beilschmiedia tawa",NA,"Beilschmiedia tawa"
"Bellucia pentamera","Bellucia pentamera",NA,"Bellucia pentamera"
"Benthamidia japonica","Cornus kousa",NA,"Cornus kousa"
"Berholletia excelsa",NA,NA,"Berholletia excelsa"
"Betula alleghaneinsis",NA,NA,"Betula alleghaneinsis"
"Betula alleghaniensis","Betula alleghaniensis",NA,"Betula alleghaniensis"
"Betula ermanii","Betula ermanii",NA,"Betula ermanii"
"Betula grossa","Betula grossa",NA,"Betula grossa"
"Betula lenta L.","Betula lenta",NA,"Betula lenta"
"Betula maximowicziana","Betula maximowicziana",NA,"Betula maximowicziana"
"Betula papyrifera","Betula papyrifera",NA,"Betula papyrifera"
"Betula papyrifera Marsh","Betula papyrifera",NA,"Betula papyrifera"
"Betula pendula","Betula pendula",NA,"Betula pendula"
"Betula platyphylla","Betula platyphylla",NA,"Betula platyphylla"
"Betula pubescens","Betula pubescens",NA,"Betula pubescens"
"Boronia ledifolia","Boronia ledifolia",NA,"Boronia ledifolia"
"Bougainvillea modesta","Bougainvillea modesta",NA,"Bougainvillea modesta"
"Brosimum lactescens","Brosimum lactescens",NA,"Brosimum lactescens"
"Byrsonima coccolobifolia","Byrsonima coccolobifolia",NA,"Byrsonima coccolobifolia"
"Byrsonima crassifolia","Byrsonima crassifolia",NA,"Byrsonima crassifolia"
"Caesalpinia pluviosa","Caesalpinia pluviosa",NA,"Caesalpinia pluviosa"
"Callicarpa havilandii","Callicarpa havilandii",NA,"Callicarpa havilandii"
"Calophyllum longifolium","Calophyllum longifolium",NA,"Calophyllum longifolium"
"Camellia japonia","Camellia japonica",NA,"Camellia japonica"
"Camellia japonica","Camellia japonica",NA,"Camellia japonica"
"Camellia lutchuensis","Camellia lutchuensis",NA,"Camellia lutchuensis"
"Camellia sasanqua","Camellia sasanqua",NA,"Camellia sasanqua"
"Capparis prisca","Capparidastrum petiolare",NA,"Capparidastrum petiolare"
"Cariniana estrellensis","Cariniana estrellensis",NA,"Cariniana estrellensis"
"Cariniana ianeirensis","Cariniana ianeirensis",NA,"Cariniana ianeirensis"
"Cariniana micrantha","Cariniana micrantha",NA,"Cariniana micrantha"
"Carpinus cordata","Carpinus cordata",NA,"Carpinus cordata"
"Carpinus japonica","Carpinus japonica",NA,"Carpinus japonica"
"Carpinus laxiflora","Carpinus laxiflora",NA,"Carpinus laxiflora"
"Carpinus spp.",NA,NA,"Carpinus spp."
"Carpinus tschonoskii","Carpinus tschonoskii",NA,"Carpinus tschonoskii"
"Carya ovata (Mill.) K. Koch","Carya ovata",NA,"Carya ovata"
"Casearia arborea","Casearia arborea",NA,"Casearia arborea"
"Casearia gossypiosperma","Casearia gossypiosperma",NA,"Casearia gossypiosperma"
"Casearia sylvestris","Casearia sylvestris",NA,"Casearia sylvestris"
"Castanea crenata","Castanea crenata",NA,"Castanea crenata"
"Castanea sativa","Castanea sativa",NA,"Castanea sativa"
"Castanopsis cuspidata","Castanopsis cuspidata",NA,"Castanopsis cuspidata"
"Castanopsis sieboldii","Castanopsis sieboldii",NA,"Castanopsis sieboldii"
"Cavanillesia hylogeiton","Cavanillesia hylogeiton",NA,"Cavanillesia hylogeiton"
"Cecropia concolor","Cecropia concolor",NA,"Cecropia concolor"
"Cecropia ficifolia","Cecropia ficifolia",NA,"Cecropia ficifolia"
"Cecropia insignis","Cecropia insignis",NA,"Cecropia insignis"
"Cedrela fissilis","Cedrela fissilis",NA,"Cedrela fissilis"
"Cedrela odorata","Cedrela odorata",NA,"Cedrela odorata"
"Cedrelinga catanaeformis","Cedrelinga cateniformis",NA,"Cedrelinga cateniformis"
"Ceiba samaura","Ceiba samauma",NA,"Ceiba samauma"
"Ceiba speciosa","Ceiba speciosa",NA,"Ceiba speciosa"
"Centrolobium microchaete","Centrolobium microchaete",NA,"Centrolobium microchaete"
"Cercis canadensis","Cercis canadensis",NA,"Cercis canadensis"
"Chamaecyparis obtusa","Chamaecyparis obtusa",NA,"Chamaecyparis obtusa"
"Chengiopanax sciadophylloides (Franch. et Sav.) C.B. Shang et J.Y. Huang","Chengiopanax sciadophylloides",NA,"Chengiopanax sciadophylloides"
"Chionanthus spicatusi","Chionanthus spicatus",NA,"Chionanthus spicatus"
"Cinnamomum camphora","Cinnamomum camphora",NA,"Cinnamomum camphora"
"Cinnamomum japonicum","Cinnamomum tenuifolium",NA,"Cinnamomum tenuifolium"
"Citharexylum mocinnii",NA,"Citharexylum mocinnii","Citharexylum mocinnii"
"Cleistanthus glandulosus","Cleistanthus glandulosus",NA,"Cleistanthus glandulosus"
"Clethra barbinervis","Clethra barbinervis",NA,"Clethra barbinervis"
"Cleyera japonica","Cleyera japonica",NA,"Cleyera japonica"
"Cochlospermum vitifolium","Cochlospermum vitifolium",NA,"Cochlospermum vitifolium"
"Combretum gracilis",NA,NA,"Combretum gracilis"
"Combretum leprosum","Combretum leprosum",NA,"Combretum leprosum"
"Conospermum ericifolium","Conospermum ericifolium",NA,"Conospermum ericifolium"
"Conostegia xalapensis","Conostegia xalapensis",NA,"Conostegia xalapensis"
"Copaifera chodatiana","Guibourtia chodatiana",NA,"Guibourtia chodatiana"
"Cordia alliodora","Cordia alliodora",NA,"Cordia alliodora"
"Cordia bicolor","Cordia bicolor",NA,"Cordia bicolor"
"Cornus drummondii","Cornus drummondii",NA,"Cornus drummondii"
"Cornus florida L.","Cornus florida",NA,"Cornus florida"
"Corymbia maculata","Corymbia maculata",NA,"Corymbia maculata"
"Couratari guianensis","Couratari guianensis",NA,"Couratari guianensis"
"Cryptomeria japonica","Cryptomeria japonica",NA,"Cryptomeria japonica"
"Cupania cinerea","Cupania cinerea",NA,"Cupania cinerea"
"Cupania scrobiculata","Cupania scrobiculata",NA,"Cupania scrobiculata"
"Curatella americana","Curatella americana",NA,"Curatella americana"
"Dacryodes apiculata",NA,NA,"Dacryodes apiculata"
"Dacryodes rugosa","Dacryodes rugosa",NA,"Dacryodes rugosa"
"Daphne kiusiana","Daphne kiusiana",NA,"Daphne kiusiana"
"Daphniphyllum macropodum","Daphniphyllum macropodum",NA,"Daphniphyllum macropodum"
"Dendropanax arboreus","Dendropanax arboreus",NA,"Dendropanax arboreus"
"Dialium indum","Dialium indum",NA,"Dialium indum"
"Dialium platycephalum",NA,NA,"Dialium platycephalum"
"Dialium sp.",NA,"Dialium","Dialium sp."
"Dicorynia guianensis Amshoff ","Dicorynia guianensis",NA,"Dicorynia guianensis"
"Dicorynia guianensis Amshoff.","Dicorynia guianensis",NA,"Dicorynia guianensis"
"Dillenia excelsa","Dillenia excelsa",NA,"Dillenia excelsa"
"Dillenia excemia",NA,NA,"Dillenia excemia"
"Dillenia suffruticosa","Dillenia suffruticosa",NA,"Dillenia suffruticosa"
"Diospyros borneensis","Diospyros borneensis",NA,"Diospyros borneensis"
"Diospyros kaki","Diospyros kaki",NA,"Diospyros kaki"
"Diospyrus sumatrana",NA,NA,"Diospyrus sumatrana"
"Dipterocarp sp.",NA,NA,"Dipterocarp sp."
"Dipterocarpus acutangulus","Dipterocarpus acutangulus",NA,"Dipterocarpus acutangulus"
"Dipterocarpus confertus","Dipterocarpus confertus",NA,"Dipterocarpus confertus"
"Dipterocarpus crinitus","Dipterocarpus crinitus",NA,"Dipterocarpus crinitus"
"Dipterocarpus geniculatus","Dipterocarpus geniculatus",NA,"Dipterocarpus geniculatus"
"Dipterocarpus globosus","Dipterocarpus globosus",NA,"Dipterocarpus globosus"
"Dipterocarpus pachyphyllus","Dipterocarpus pachyphyllus",NA,"Dipterocarpus pachyphyllus"
"Dipterocarpus palembanicus","Dipterocarpus palembanicus",NA,"Dipterocarpus palembanicus"
"Dipterocarpus stellatus","Dipterocarpus stellatus",NA,"Dipterocarpus stellatus"
"Dipterocarpus tempehes","Dipterocarpus tempehes",NA,"Dipterocarpus tempehes"
"Dipteryx panamensis","Dipteryx oleifera",NA,"Dipteryx oleifera"
"Distylium racemosum","Distylium racemosum",NA,"Distylium racemosum"
"Drimys winteri","Drimys winteri",NA,"Drimys winteri"
"Dryobalanops aromatica","Dryobalanops sumatrensis",NA,"Dryobalanops sumatrensis"
"Dryobalanops beccarii","Dryobalanops beccarii",NA,"Dryobalanops beccarii"
"Dryobalanops lanceolata","Dryobalanops lanceolata",NA,"Dryobalanops lanceolata"
"Dryobalanops sp.",NA,"Dryobalanops","Dryobalanops sp."
"Drypetes sp.",NA,"Drypetes","Drypetes sp."
"Durio zibethinus","Durio zibethinus",NA,"Durio zibethinus"
"Dysoxylum spectabile","Dysoxylum spectabile",NA,"Dysoxylum spectabile"
"Elaeocarpus dentatus","Elaeocarpus dentatus",NA,"Elaeocarpus dentatus"
"Elaeocarpus sp.",NA,"Elaeocarpus","Elaeocarpus sp."
"Elateriospermum tapos Blume","Elateriospermum tapos",NA,"Elateriospermum tapos"
"Embothrium coccineum","Embothrium coccineum",NA,"Embothrium coccineum"
"Endocomia rufirachis","Endocomia rufirachis",NA,"Endocomia rufirachis"
"Endospermum cf. diadenum","Endospermum diadenum",NA,"Endospermum diadenum"
"Endospermum diadenum","Endospermum diadenum",NA,"Endospermum diadenum"
"Epacris microphylla","Epacris microphylla",NA,"Epacris microphylla"
"Eperua falcata Aubl.","Eperua falcata",NA,"Eperua falcata"
"Eperua grandiflora (Aubl.) Benth. ","Eperua grandiflora",NA,"Eperua grandiflora"
"Eriotheca gracilipes","Eriotheca gracilipes",NA,"Eriotheca gracilipes"
"Erythrophleum chlorstachys","Erythrophleum chlorostachys",NA,"Erythrophleum chlorostachys"
"Erythrophloem chlorostachys",NA,NA,"Erythrophloem chlorostachys"
"Erythroxylum daphnites","Erythroxylum daphnites",NA,"Erythroxylum daphnites"
"Erythroxylum suberosum","Erythroxylum suberosum",NA,"Erythroxylum suberosum"
"Eucalyptus bleeseri","Corymbia bleeseri",NA,"Corymbia bleeseri"
"Eucalyptus clavigera","Corymbia clavigera",NA,"Corymbia clavigera"
"Eucalyptus creba","Eucalyptus creta",NA,"Eucalyptus creta"
"Eucalyptus delegatensis","Eucalyptus delegatensis",NA,"Eucalyptus delegatensis"
"Eucalyptus eugenioides","Eucalyptus eugenioides",NA,"Eucalyptus eugenioides"
"Eucalyptus foelscheana","Corymbia foelscheana",NA,"Corymbia foelscheana"
"Eucalyptus globulus","Eucalyptus globulus",NA,"Eucalyptus globulus"
"Eucalyptus grandis (W. Hill ex Maiden)","Eucalyptus grandis",NA,"Eucalyptus grandis"
"Eucalyptus melanophloia","Eucalyptus melanophloia",NA,"Eucalyptus melanophloia"
"Eucalyptus microcarpa","Eucalyptus microcarpa",NA,"Eucalyptus microcarpa"
"Eucalyptus miniata","Eucalyptus miniata",NA,"Eucalyptus miniata"
"Eucalyptus muellerana","Eucalyptus muelleriana",NA,"Eucalyptus muelleriana"
"Eucalyptus nitens","Eucalyptus nitens",NA,"Eucalyptus nitens"
"Eucalyptus paniculata","Eucalyptus paniculata",NA,"Eucalyptus paniculata"
"Eucalyptus patellaris","Eucalyptus patellaris",NA,"Eucalyptus patellaris"
"Eucalyptus pilularis","Eucalyptus pilularis",NA,"Eucalyptus pilularis"
"Eucalyptus populnea","Eucalyptus populnea",NA,"Eucalyptus populnea"
"Eucalyptus porrecta","Corymbia porrecta",NA,"Corymbia porrecta"
"Eucalyptus pruinosa","Eucalyptus pruinosa",NA,"Eucalyptus pruinosa"
"Eucalyptus regnans","Eucalyptus regnans",NA,"Eucalyptus regnans"
"Eucalyptus resinifera","Eucalyptus resinifera",NA,"Eucalyptus resinifera"
"Eucalyptus saligna","Eucalyptus saligna",NA,"Eucalyptus saligna"
"Eucalyptus sideroxylon","Eucalyptus sideroxylon",NA,"Eucalyptus sideroxylon"
"Eucalyptus tectifica","Eucalyptus tectifica",NA,"Eucalyptus tectifica"
"Eucalyptus terminalis","Corymbia terminalis",NA,"Corymbia terminalis"
"Eucalyptus tetrodonta","Eucalyptus tetrodonta",NA,"Eucalyptus tetrodonta"
"Eucalyptus urophylla * Eucalyptus grandis (clone)","Eucalyptus urophylla",NA,"Eucalyptus urophylla * Eucalyptus grandis (clone)"
"Eucalytpus populnea",NA,NA,"Eucalytpus populnea"
"Eucryphia cordifolia","Eucryphia cordifolia",NA,"Eucryphia cordifolia"
"Eugenia cuprea","Eugenia cuprea",NA,"Eugenia cuprea"
"Eugenia sp.",NA,"Eugenia","Eugenia sp."
"Eurya japonica","Eurya japonica",NA,"Eurya japonica"
"Euterpe precatoria","Euterpe precatoria",NA,"Euterpe precatoria"
"Fagraea fragrans","Fagraea fragrans",NA,"Fagraea fragrans"
"Fagraea racemosa","Fagraea racemosa",NA,"Fagraea racemosa"
"Fagus crenata","Fagus crenata",NA,"Fagus crenata"
"Fagus grandifolia","Fagus grandifolia",NA,"Fagus grandifolia"
"Fagus japonica","Fagus japonica",NA,"Fagus japonica"
"Fagus sylvatica","Fagus sylvatica",NA,"Fagus sylvatica"
"Ficus boliviana","Ficus boliviana",NA,"Ficus boliviana"
"Ficus insipida","Ficus insipida",NA,"Ficus insipida"
"Ficus sp 1.",NA,NA,"Ficus sp 1."
"Ficus sp 2",NA,NA,"Ficus sp 2"
"Ficus sp.",NA,"Ficus","Ficus sp."
"Ficus stolonifera","Ficus stolonifera",NA,"Ficus stolonifera"
"Fordia sp.",NA,NA,"Fordia sp."
"Fordia splendidissima","Fordia splendidissima",NA,"Fordia splendidissima"
"Fraxinus americana","Fraxinus americana",NA,"Fraxinus americana"
"Fraxinus excelsior","Fraxinus excelsior",NA,"Fraxinus excelsior"
"Fraxinus latifolia","Fraxinus latifolia",NA,"Fraxinus latifolia"
"Fraxinus mandshurica","Fraxinus mandshurica",NA,"Fraxinus mandshurica"
"Fraxinus sieboldiana","Fraxinus sieboldiana",NA,"Fraxinus sieboldiana"
"Fraxinus uhdei","Fraxinus uhdei",NA,"Fraxinus uhdei"
"Gallesia integrifolia","Gallesia integrifolia",NA,"Gallesia integrifolia"
"Gamblea innovans (Siebold et Zucc.) C.B. Shang, Lowry et Frodin","Gamblea innovans",NA,"Gamblea innovans"
"Garcinia penangiana","Garcinia penangiana",NA,"Garcinia penangiana"
"Gevuina avellana","Gevuina avellana",NA,"Gevuina avellana"
"Girroniera nervosa",NA,NA,"Girroniera nervosa"
"Glochidion sp.",NA,NA,"Glochidion sp."
"Gmelina arborea","Gmelina arborea",NA,"Gmelina arborea"
"Goethalsia meiantha","Goethalsia meiantha",NA,"Goethalsia meiantha"
"Gonystylus forbesii","Gonystylus forbesii",NA,"Gonystylus forbesii"
"Gossypium hirsutum","Gossypium hirsutum",NA,"Gossypium hirsutum"
"Goupia glabra Aubl. ","Goupia glabra",NA,"Goupia glabra"
"Grevillea buxifolia","Grevillea buxifolia",NA,"Grevillea buxifolia"
"Grevillea speciosa","Grevillea speciosa",NA,"Grevillea speciosa"
"Grewia florida","Microcos florida",NA,"Microcos florida"
"Griselinia littoralis","Griselinia littoralis",NA,"Griselinia littoralis"
"Hakea teretifolia","Hakea teretifolia",NA,"Hakea teretifolia"
"Hamamelis japonica","Hamamelis japonica",NA,"Hamamelis japonica"
"Heliocarpus americanus","Heliocarpus americanus",NA,"Heliocarpus americanus"
"Hemigenia purpurea ","Hemigenia purpurea",NA,"Hemigenia purpurea"
"Herrania purpurea","Herrania purpurea",NA,"Herrania purpurea"
"Hevea brasiliensis","Hevea brasiliensis",NA,"Hevea brasiliensis"
"Hirtella triandra","Hirtella triandra",NA,"Hirtella triandra"
"Homalanthus populneus","Homalanthus populneus",NA,"Homalanthus populneus"
"Hopea dryobalanoides","Hopea dryobalanoides",NA,"Hopea dryobalanoides"
"Hopea mangerawan",NA,NA,"Hopea mangerawan"
"Hopea sphaerocarpa","Hopea sphaerocarpa",NA,"Hopea sphaerocarpa"
"Horsfieldia grandis","Horsfieldia grandis",NA,"Horsfieldia grandis"
"Horsfieldia polyspherulaa","Horsfieldia polyspherula",NA,"Horsfieldia polyspherula"
"Hura crepitans","Hura crepitans",NA,"Hura crepitans"
"Hydrangea paniculata","Hydrangea paniculata",NA,"Hydrangea paniculata"
"Hymenaea courbaril","Hymenaea courbaril",NA,"Hymenaea courbaril"
"Ilex chinensis","Ilex chinensis",NA,"Ilex chinensis"
"Ilex crenata","Ilex crenata",NA,"Ilex crenata"
"Ilex integra","Ilex integra",NA,"Ilex integra"
"Ilex macropoda","Ilex macropoda",NA,"Ilex macropoda"
"Ilex pedunculosa","Ilex pedunculosa",NA,"Ilex pedunculosa"
"Ilex sugerokii","Ilex sugerokii",NA,"Ilex sugerokii"
"Illicium anisatsum","Illicium philippinense",NA,"Illicium philippinense"
"Illicium anisatum","Illicium philippinense",NA,"Illicium philippinense"
"Inga cocleensis","Inga cocleensis",NA,"Inga cocleensis"
"Inga thibaudiana","Inga thibaudiana",NA,"Inga thibaudiana"
"Ixora grandifolia","Ixora grandifolia",NA,"Ixora grandifolia"
"Jacaranda copaia (Aubl.) D. Don ","Jacaranda copaia",NA,"Jacaranda copaia"
"Jacaratia sp.",NA,"Jacaratia","Jacaratia sp."
"Jacaratia spinosa","Jacaratia spinosa",NA,"Jacaratia spinosa"
"Juglans major","Juglans major",NA,"Juglans major"
"Juniella tridens",NA,NA,"Juniella tridens"
"Juniperus rigida","Juniperus rigida",NA,"Juniperus rigida"
"Kalopanax pictus","Acer pictum",NA,"Acer pictum"
"Knema ashitoniia",NA,NA,"Knema ashitoniia"
"Knightia excelsa","Knightia excelsa",NA,"Knightia excelsa"
"Kokoona ovatolanceolata","Kokoona ovatolanceolata",NA,"Kokoona ovatolanceolata"
"Kunzea ericoides","Kunzea ericoides",NA,"Kunzea ericoides"
"Lacistema aggregatum","Lacistema aggregatum",NA,"Lacistema aggregatum"
"Laetia procera","Laetia procera",NA,"Laetia procera"
"Lafoensia pacari","Lafoensia pacari",NA,"Lafoensia pacari"
"Lansium domesticum","Lansium parasiticum",NA,"Lansium parasiticum"
"Larix kaempferi","Larix kaempferi",NA,"Larix kaempferi"
"Larix laricina","Larix laricina",NA,"Larix laricina"
"Larix occidentalis","Larix occidentalis",NA,"Larix occidentalis"
"Laurelia novaezelandiae","Laurelia novae-zelandiae",NA,"Laurelia novae-zelandiae"
"Laureliopsis philippiana","Laureliopsis philippiana",NA,"Laureliopsis philippiana"
"Lecythis ampla","Lecythis ampla",NA,"Lecythis ampla"
"Leucopogon esquamatus","Phanerandra esquamata",NA,"Phanerandra esquamata"
"Licaria triandra","Licaria triandra",NA,"Licaria triandra"
"Ligustrum japonicum","Ligustrum japonicum",NA,"Ligustrum japonicum"
"Lindera praecox","Lindera praecox",NA,"Lindera praecox"
"Lindera umbellata","Lindera umbellata",NA,"Lindera umbellata"
"Liriodendron tulipifera L.","Liriodendron tulipifera",NA,"Liriodendron tulipifera"
"Litsea acuminata","Litsea acuminata",NA,"Litsea acuminata"
"Litsea calicaris","Litsea calicaris",NA,"Litsea calicaris"
"Litsea castanea","Litsea castanea",NA,"Litsea castanea"
"Litsea cauliflora","Litsea cauliflora",NA,"Litsea cauliflora"
"Litsea ferrugiinea","Litsea ferruginea",NA,"Litsea ferruginea"
"Litsea noronhae","Litsea noronhae",NA,"Litsea noronhae"
"Litsea sp.",NA,"Litsea","Litsea sp."
"Lomatia hirsuta","Lomatia hirsuta",NA,"Lomatia hirsuta"
"Luehea seemannii","Luehea seemannii",NA,"Luehea seemannii"
"Luma apiculata","Luma apiculata",NA,"Luma apiculata"
"Lyonia ovalifolia","Lyonia ovalifolia",NA,"Lyonia ovalifolia"
"Macaranga bancana","Macaranga bancana",NA,"Macaranga bancana"
"Macaranga beccariana","Macaranga beccariana",NA,"Macaranga beccariana"
"Macaranga costulata","Macaranga costulata",NA,"Macaranga costulata"
"Macaranga gigantea","Macaranga gigantea",NA,"Macaranga gigantea"
"Macaranga hosei","Macaranga hosei",NA,"Macaranga hosei"
"Macaranga hypoleuca","Macaranga hypoleuca",NA,"Macaranga hypoleuca"
"Macaranga pseudopruinosa","Macaranga hosei",NA,"Macaranga hosei"
"Macaranga trachyphylla","Macaranga trachyphylla",NA,"Macaranga trachyphylla"
"Macaranga winkleri","Macaranga winkleri",NA,"Macaranga winkleri"
"Machaerium acutifolium","Machaerium acutifolium",NA,"Machaerium acutifolium"
"Machilus japonica","Machilus japonica",NA,"Machilus japonica"
"Machilus thunbergii","Machilus thunbergii",NA,"Machilus thunbergii"
"Maclura pomifera","Maclura pomifera",NA,"Maclura pomifera"
"Magnolia iltisiana","Magnolia iltisiana",NA,"Magnolia iltisiana"
"Magnolia obovata","Magnolia obovata",NA,"Magnolia obovata"
"Magnolia praecocissima","Magnolia kobus",NA,"Magnolia kobus"
"Magnolia salicifolia","Magnolia salicifolia",NA,"Magnolia salicifolia"
"Mallotus echinatus","Hancea penangensis",NA,"Hancea penangensis"
"Mallotus eucaustus","Hancea eucausta",NA,"Hancea eucausta"
"Mallotus japonicus","Mallotus japonicus",NA,"Mallotus japonicus"
"Mallotus sp.",NA,"Mallotus","Mallotus sp."
"Mallotus wreyi","Mallotus wrayi",NA,"Mallotus wrayi"
"Malotus echinatus",NA,NA,"Malotus echinatus"
"Mastixia trichotoma","Mastixia trichotoma",NA,"Mastixia trichotoma"
"Melastoma malabathricum","Melastoma malabathricum",NA,"Melastoma malabathricum"
"Melicytus ramiflorus","Melicytus ramiflorus",NA,"Melicytus ramiflorus"
"Meliosma rigida","Meliosma rigida",NA,"Meliosma rigida"
"Menziesia ciliicalyx","Menziesia multiflora",NA,"Menziesia multiflora"
"Metasequoia glyptostroboides","Metasequoia glyptostroboides",NA,"Metasequoia glyptostroboides"
"Metrosideros umbellata","Metrosideros umbellata",NA,"Metrosideros umbellata"
