dataset,location,latitude,longitude,vegetation,map,mat,grouping,species,family,pft,a.cp,h.t,h.c,d.ba,d.bh,c.d,m.lf,m.st,m.so,m.br,growingCondition
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia affinis,,,3.1415926,3.5,1.5,3.45,2.45,2,0.13624974,1.083725987,1.219975727,0.14778225,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Inga cocleensis,,,30.04147924,10.15,4,15,11.3,6.15,2.437476337,50.21673763,52.65421397,9.994703543,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vismia baccifera,,,24.36305061,11.4,9,14.5,12.4,2.4,0.875320753,54.61785499,55.49317575,16.53496938,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Annona spraguei,,,1.837831671,3.8,2.8,2.2,1.85,1,0.01311948,0.27878703,0.29190651,0.017127,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Schefflera morototoni,,,0.567450163,1.75,1.45,2.3,0.85,0.3,0.00965052,0.051282745,0.060933265,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Annona spraguei,,,19.43860421,14.8,12.3,13,12.2,2.5,0.603810524,32.41437439,33.01818492,2.012864701,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Annona spraguei,,,29.24037312,17.6,13.8,18.1,15.6,3.8,2.473821201,47.59967705,50.07349825,5.626073347,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Cordia bicolor,,,3.76991112,4.6,4.1,10,6.8,0.5,0.439074614,6.887260172,7.326334786,0.738515756,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vismia macrophylla,,,28.2743334,19,12.9,22.2,17.5,6.1,4.261864396,113.0844637,117.3463281,16.55573376,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia argentea,,,49.00884456,9.8,6,19.1,15.2,3.8,4.943221265,80.75856397,85.70178523,39.83693361,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia argentea,,,26.7035371,13.5,7,16.2,13.8,6.5,1.101155948,43.12753335,44.2286893,8.313391439,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Xylopia frutescens,,,22.88650209,11,10.2,18.8,15.7,0.8,5.673159542,102.2377716,107.9109311,15.04064578,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Xylopia frutescens,,,14.51415781,8.45,7.85,13.6,10.7,0.6,2.068568119,30.74616514,32.81473326,4.244517843,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vismia macrophylla,,,43.02411066,13.9,8.75,16.7,12.6,5.15,3.041869201,45.24500042,48.28686962,13.08114431,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Vismia baccifera,,,12.5663704,10,9,14,11,1,1.422298888,34.12913045,35.55142934,11.76739227,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Miconia argentea,,,19.63495375,5.8,4.2,11.7,8.7,1.6,1.145248602,18.11882767,19.26407628,5.924763813,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Cochlospermum vitifolium,,,34.20408943,11.3,8.2,18.8,12.2,3.1,1.291619785,17.12752862,18.41914841,1.979191703,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Banara guianensis,,,26.29513006,9.5,6.4,13,10,3.1,1.759367141,19.69958145,21.45894859,7.31449882,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Banara guianensis,,,11.34114929,8.7,6.6,8.8,6,2.1,0.854898621,7.382019977,8.236918599,1.022815868,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Schefflera morototoni,,,3.367394568,11.3,9.6,18.5,13.4,1.7,4.791674891,35.69109609,40.48277098,1.435710953,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Schefflera morototoni,,,4.696680937,3.6,2.4,11.2,7.8,1.2,2.37320771,6.543503492,8.916711202,0,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Inga cocleensis,,,46.46415455,12,9,25.6,17.6,3,11.28384768,163.9815577,175.2654054,55.7237311,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Annona spraguei,,,5.057964086,9.8,7.5,9.1,7.1,2.3,0.512124324,9.61315326,10.12527758,1.020716485,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Trichospermum galeottii,,,14.45132596,10.6,9.6,11.9,8.8,1,0.373094241,10.56823407,10.94132831,0.465687642,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Inga cocleensis,,,13.50884818,11.1,8.1,15,12.5,3,3.312930003,49.85345476,53.16638476,8.176882882,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Schefflera morototoni,,,29.02831562,17.7,17,25,17.4,0.7,6.415218901,105.2885146,111.7037335,18.93799286,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Pachira sessilis,,,6.086835663,6.1,5.1,9.6,6.7,1,0.578478871,6.46807886,7.046557732,0.96323975,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Byrsonima crassifolia,,,9.966702524,7.7,4.4,10.5,7.8,3.3,1.366536307,15.35358988,16.72012619,3.591238132,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Byrsonima crassifolia,,,63.53949573,12.2,7.5,29.4,23,4.7,12.023276,206.1475973,218.1708733,115.4163182,FW
Breugel2011,Agua Salud,9,-79,TropSF,2700,26,early secondary forest,Pachira sessilis,,,10.22588391,10.8,9.3,18.4,13.2,1.5,0.538597726,22.41410059,22.95269831,1.707713636,FW
