status,spdataset,dataset,species,age,dbh,sapbh,sapcb,h_t,h_c,cw,m_lf,a_lf,wbr,m_st,a_cs,SAcon,Vell,sp,authorname,reference,country,remark,a_cp,a_st,a_ss_dbh,a_ss_crownbase
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,19,4.83,15.12677,17.64004,3.569999832,3,1.03,0.808352,6.22175296,1.7781,NA,7.973013104,5.757989095,1.666457823,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,0.833228912,0.001832248,0.001512677,0.001764004
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,84,70.61,2726.12487,1917.91089,31.92999734,25.05,6.8184314,135.1467377,970.3384874,1182.42222,NA,434.1376199,307.2819537,609.7829871,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,36.51395132,0.391581625,0.272612487,0.191791089
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,18,11.43,NA,76.70984,6.919999749,5.09,2.4866666,4.8066295,36.52341192,9.25151,NA,33.87493088,25.32285291,16.47978445,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,4.85651801,0.010260826,NA,0.007670984
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,16,11.94,68.51814,60.4678,5.849999418,3.99,2.08,4.7700144,34.20449008,7.55701,NA,22.41466372,16.86986324,9.038537994,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,3.397946614,0.011196919,0.006851814,0.00604678
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,85,60.2,1996.8493,1385.23815,35.13999818,25.91,5.8866666,54.3880494,398.9665998,658.23971,NA,384.4885504,268.34059,470.1158725,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,27.21627977,0.284631436,0.19968493,0.138523815
3,MonserudMarshall-PSME,MonserudMarshall,PSME,56,54.61,759.22869,639.42406,27.03999951,21.09,5.717826,82.24325,805.5957804,410.24638,NA,306.4443228,216.8305874,361.0248301,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,25.67744169,0.234225532,0.075922869,0.063942406
3,MonserudMarshall-PSME,MonserudMarshall,PSME,83,34.8,278.50219,192.76027,27.4199988,13.14,3.5716666,29.8888603,290.7357163,83.6503,NA,119.2805432,84.41703788,87.7679213,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,10.0191691,0.095114859,0.027850219,0.019276027
2,MonserudMarshall-PSME,MonserudMarshall,PSME,74,24.89,72.28805,12.80984,21.23000017,2.5,1.4304762,0.9583307,9.42069212,3.5127,NA,9.80094954,7.449972569,2.678550902,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,1.607130541,0.048656367,0.007228805,0.001280984
3,MonserudMarshall-PSME,MonserudMarshall,PSME,81,28.7,281.35318,177.98693,24.95999968,12.68,4.4571428,19.9115688,205.5145541,73.13027,NA,146.0998873,105.7395445,131.8958019,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,15.60281569,0.064692461,0.028135318,0.017798693
3,MonserudMarshall-PSME,MonserudMarshall,PSME,81,34.8,235.61748,165.98605,29.98999968,11.7,3.077826,15.2567938,150.7751563,62.39044,NA,91.36933945,64.49255186,58.032678,Pseudotsuga menziesii var. glauca,(Mirb.) Franco,Monserud and Marshall 1999,USA,,7.440086923,0.095114859,0.023561748,0.016598605
