treenr,site,altitude,age,socstatus,dbh,height,hcb,cw,leaflong,la,wf,FYnb,MRnb,wbr
109,zolingen,520,52,d,22.2,21.6,10.2,4.4,6,233,19.9,86.8,115,20.47209302
110,zolingen,520,52,d,25.6,24.8,11.8,4.2,7,212.3,19,85,115,20.53488372
111,zolingen,520,52,d,26.8,22,11,3.8,8,260.5,20.7,106.5,115,28.83488372
112,zolingen,520,52,d,27.3,25.4,13.8,3.8,7,159.3,14.2,90,115,27.66046512
113,olten,450,53,u,11,16.4,14.2,1.9,8,20.1,1.4,6.6,134,1.420512821
114,olten,450,53,b,13.4,19.2,13.6,2.1,6,59.9,3.3,14.6,143,2.708230453
115,olten,450,53,m,19.4,21.4,14.4,3.2,6,99,7.7,35.8,124,8.282142857
116,olten,450,53,m,20.4,21.8,12,3.5,6,192.8,14.5,71.2,119,18.01141553
117,olten,450,53,d,27.8,23.4,11.6,4.4,6,377.1,28.3,132,124,30.62857143
118,biglen,960,53,b,10.7,10,6.8,2,8,26.8,2.1,12.1,110,3.661904762
119,biglen,960,53,m,17,14,7.4,2.8,9,92.1,7.9,40.8,113,11.25492958
120,biglen,960,53,d,18,16.8,7.6,2.6,8,130.4,10.3,42.8,117,9.423502304
121,subingen,460,54,u,12.3,17.8,12.4,1.9,6,26.7,1.8,8.5,127,1.944493392
122,subingen,460,54,b,15.7,20.4,13.8,2.7,6,63.1,4.4,19.8,126,4.361061947
123,subingen,460,54,m,19.4,22.4,14.4,3.4,7,119.8,7.9,38.1,127,8.884140969
124,subingen,460,54,d,22.8,23.2,14,3.6,7,230.8,15.7,68,128,14.1245614
125,opplingen,570,55,b,14,17.4,11.9,2.8,7,44.7,3.7,18,115,4.672093023
126,opplingen,570,55,m,24.2,23,13.4,3,8,202.2,16.4,74,115,18.01860465
127,opplingen,570,55,d,36.2,28.4,11.6,5.4,7,457.3,36.4,231.7,115,71.36744186
128,biglen,960,62,u,10.4,11.6,7.6,2.2,11,23.1,1.6,7.6,110,2.019047619
129,biglen,960,62,b,13.2,15.2,10.6,3.1,6,42.4,3.4,14.6,113,3.454460094
130,biglen,960,62,m,16,16.2,7.8,2.7,8,84.1,6.8,33.1,116,8.524074074
131,biglen,960,62,m,18.5,19,11.6,2.8,9,91.4,9.1,34.9,106,7.841747573
132,biglen,960,62,d,22.7,20,11,3.5,9,159.1,16.4,76.5,106,20.73592233
133,morissen,1640,63,b,14.6,13.6,9.6,2.6,9,29.9,2.6,10.7,111,2.471090047
134,morissen,1640,63,m,16.8,15.8,10,2.6,10,49.3,4.7,17.2,110,3.49047619
135,morissen,1640,63,b,17.2,13.8,5.8,2.9,13,58.9,5.7,22.2,107,5.024637681
136,morissen,1640,63,m,21.4,15.6,7.8,3.7,10,137.8,12.7,56.2,113,13.68497653
137,morissen,1640,63,m,21.8,16.6,8.8,3.1,10,90.2,9,37.1,104,9.18627451
138,morissen,1640,63,d,24.5,20.6,9.2,3.9,9,191.1,18.1,77.4,105,19.65609756
139,morissen,1640,63,d,24.8,15.8,7,4,9,177.1,18.7,69.9,111,14.42796209
140,morissen,1640,63,d,29,16.8,7.2,4.8,6,295.7,28,123.6,109,31.13875598
141,olten,465,65,u,15.6,21.4,17.6,2.3,5,39.7,2.3,10.8,125,2.5
142,olten,465,65,b,20.5,26,17.4,2.9,6,83.1,6.6,35.8,111,10.36682464
143,olten,465,65,m,25.4,27,17.8,3.6,9,203.4,16.5,85.6,118,22.76605505
144,olten,465,65,m,28.2,27,18.6,3.9,6,246.5,16.9,82.3,117,21.02626728
145,olten,465,65,d,36.2,29.8,18.4,4.8,6,330,26.8,141,111,40.02464455
146,sihlwald,505,66,m,24.8,27,20,2.6,,59.4,4.7,21.6,124,4.942857143
147,sihlwald,505,66,m,27,27.6,19.6,3,,78.6,6.2,31.2,129,7.424454148
148,sihlwald,505,66,m,28.4,27.6,20.6,3.4,,116,9,43,128,9.859649123
149,sihlwald,505,66,d,34.1,29.2,20,3.6,,136,12.3,60.1,127,14.17577093
150,adlisberg,620,67,b,19.8,21.4,15.6,3,5,60.2,3.9,41.3,105,16.24634146
151,adlisberg,620,67,m,23.8,24.2,14.4,3.4,8,92,7.7,79,104,31.0254902
152,adlisberg,620,67,m,26.8,23.6,13,3.6,6,127.2,11.7,118.8,106,45.96990291
153,adlisberg,620,67,d,31,28,17.8,5,6,335.5,28.8,211.7,104,74.9745098
154,biel,720,72,u,12.2,15.2,11,2.3,10,44,2.7,15.4,128,4.054385965
155,biel,720,72,b,19,20.6,12.6,2.2,8,104,6.9,30.9,129,6.593449782
156,biel,720,72,m,28.4,25.4,12.4,3.6,6,318.3,21.5,99,116,24.33333333
157,biel,720,72,d,32.7,28.4,16.4,4,8,381.2,26,114.4,113,27.70892019
158,biel,720,72,d,39.8,27.2,14.2,4.9,8,678.3,46.4,237.3,116,63.46111111
159,suhr,425,77,m,29.4,32.2,21.4,3.6,7,186.5,15.5,76.6,104,22.04901961
160,suhr,425,77,m,34.4,32.6,20.2,3.7,6,229.1,16.4,105.3,100,36.25
161,suhr,425,77,d,39.8,35,20,4.5,6,451,34.8,200.9,99,66.15477387
162,suhr,425,77,d,44.4,35.2,20.2,6.1,6,516.2,39.1,234.4,98,79.28383838
163,gurmels,600,77,u,7.6,6.4,2.6,1.9,10,28.8,1.6,8.9,108,2.678846154
164,gurmels,600,77,u,13.8,11.7,2.5,2.7,7,87.5,5.4,38.4,105,13.33170732
165,gurmels,600,77,u,20.1,15.7,3.7,2.7,9,267.7,16.6,104.6,106,34.17669903
166,gurmels,600,77,u,25.8,22.2,5,3.6,,607.8,40.8,251.9,104,82.68039216
167,gurmels,600,77,u,32,21.6,7.4,5.3,,653.7,41.6,294.3,99,106.2894472
168,zuerich,650,90,d,45.6,37.4,21.6,6,7,528.4,48.2,277,106,86.26601942
169,villmergen,500,100,b,24.3,27.8,21,2.8,7,82.5,8.9,44.7,119,11.5109589
170,villmergen,500,100,m,34,31,20,3,8,179.7,16.4,83.5,102,24.93663366
171,villmergen,500,100,d,44.7,32.6,21.8,5.2,7,474.3,50.7,272.9,104,83.0745098
172,matzendorf,830,102,u,23.8,22.4,12,3.4,9,151.6,12.4,56.1,103,15.23546798
173,matzendorf,830,102,b,26.6,24.8,15.8,3.8,8,174.5,13.6,79,97,26.50152284
174,matzendorf,830,102,m,36.5,27.6,15.6,4.8,9,275.8,24,172.8,93,65.53367876
175,matzendorf,830,102,d,41.6,28,12,6.1,8,382.2,33.8,225.6,95,81.89230769
176,winterthur,570,102,d,53.9,38,23,7.9,6,727.9,61.8,487.3,98,184.3111111
177,winterthur,570,102,d,59.5,40,21.6,7.6,7,998.7,79.1,664.2,94,263.271134
178,mettbiel,520,147,d,55.8,40.4,25.8,6.7,7,503.5,47.5,347.4,83,142.3360656
179,mettbiel,520,152,d,67.6,42.8,18.2,8.8,6,1420,131.9,998.5,98,372.3929293
180,buttes,970,157,b,27.4,29.4,18,4.1,9,221.7,13.6,84,106,27.17669903
181,buttes,970,157,m,37.9,33.4,19.6,5.3,7,358.7,25.2,188.4,102,68.06732673
182,buttes,970,157,d,48.9,36.4,23,6,9,482.1,39.4,284.9,95,106.7025641
183,buttes,970,157,d,56.7,36,21.6,7,9,589.4,47.1,403.5,96,158.7673469
184,stmoritz,1800,116,u,12.2,7.6,1.4,,,56.5,5.7,25.9,114,6.402803738
185,stmoritz,1800,200,m,23.4,18.7,3.8,2.9,13,139.1,15.1,76.2,107,21.7115942
186,stmoritz,1800,250,d,34.8,23,3.4,4.3,20,436.5,48.9,260.2,108,76.19615385
187,stmoritz,1800,162,d,51.4,27.4,5,6.2,19,795.7,100,612.8,100,206.4
188,langwies,1560,285,d,70.6,34,5,7.3,11,628,65,801.5,77,387.8248588
189,langwies,1560,260,d,98.2,44.8,3.5,10.9,12,1428.4,135.7,2400,72,1259.648837
