Site,longitude,latitude,BurnYear,HarvestYear,Edaphic,Species,Number,Height,D0,D10,DBH,DWT,TotWood,TotBranch,TotFol,OldFol,NewFol,OldBranch,NewBranch,Cones,Stem,Sapwood,Root
U6W5S,-98.48,55.88,1962,1994,Wet,BS,4,172,,,0.9,348.35,218.67,28.21,129.68,112.78,16.9,24.33,3.88,0,190.47,,
U6W5S,-98.48,55.88,1962,1994,Wet,BS,5,294,,,2.4,1485.52,907.12,252.76,578.4,487.15,91.25,239.01,13.75,0,654.36,,
U6W5S,-98.48,55.88,1962,1994,Wet,BS,6,248,,,2.4,1547.74,863.37,299.8,684.37,585.45,98.92,285.51,14.29,0,563.58,,
W1964,-98.38812,55.91993,1964,1999,Wet,BS,1,176,3.4,3,1.3,696.4,417.45,165.17,278.95,254.6,24.35,161.9,3.27,1.52,250.76,,
W1964,-98.38812,55.91993,1964,1999,Wet,BS,2,111,2.5,2.1,,257.24,135.55,45.41,121.69,113.05,8.64,44.22,1.19,0,90.14,,
W1964,-98.38812,55.91993,1964,1999,Wet,BS,4,158,2.9,2.5,1,442.32,253.3,93.22,189.02,175.9,13.12,91.01,2.21,0,160.08,,
W1964,-98.38812,55.91993,1964,1999,Wet,BS,5,236,4.1,3.8,2.3,1229.14,886.38,269.08,342.76,315.6,27.16,263.4,5.68,28.9,588.4,,
W1964,-98.38812,55.91993,1964,1999,Wet,BS,6,385,7.8,7.1,4.6,5270.3,3831.72,1187.42,1438.58,1355.3,83.28,1169.5,17.92,129.8,2514.5,,
W1981,-98.48128,55.86351,1981,1999,Wet,BS,1,124,1.47,1.33,,181.89,81.87,27.27,100.02,83.68,16.34,24.46,2.81,0,54.6,,
W1981,-98.48128,55.86351,1981,1999,Wet,BS,2,113,1.7,1.55,,226.88,102.32,42.54,124.56,99.69,24.87,37.83,4.71,0,59.78,,
W1981,-98.48128,55.86351,1981,1999,Wet,BS,3,71,1.43,1.31,,133.38,60.51,27.71,72.87,59.24,13.63,24.61,3.1,0,32.8,,
W1981,-98.48128,55.86351,1981,1999,Wet,BS,4,41,0.65,0.52,,20.35,7.83,3.17,12.52,11.06,1.46,2.93,0.24,0,4.66,,
W1981,-98.48128,55.86351,1981,1999,Wet,BS,5,75,1.16,1.08,,79.73,34.08,11.74,45.65,40.47,5.18,10.97,0.77,0,22.34,,
W1981,-98.48128,55.86351,1981,1999,Wet,BS,6,170,2.15,1.97,,339.87,189.73,45.66,150.14,136.57,13.57,43.5,2.16,0,144.07,,
W1981,-98.48128,55.86351,1981,1999,Wet,BS,7,83,1.25,1.16,,110.37,45.43,17.58,64.94,54.64,10.3,16.17,1.41,0,27.85,,
W1981,-98.48128,55.86351,1981,1999,Wet,BS,8,71,1.15,0.99,,75.61,31.19,12.31,44.42,38.71,5.71,11.33,0.98,0,18.88,,
W1981,-98.48128,55.86351,1981,1999,Wet,BS,9,104,1.51,1.4,,151.15,66.58,22.29,84.57,71.04,13.53,20.36,1.93,0,44.29,,
W1981,-98.48128,55.86351,1981,1999,Wet,BS,10,100,1.39,1.26,,154.35,61.21,24.67,93.14,86.34,6.8,23.11,1.56,0,36.54,,
W1989,-98.97767,55.90487,1989,1999,Wet,BS,1,59,0.65,0.55,,24.26,9.71,3.4,14.55,9.65,4.9,2.25,1.15,0,6.31,,
W1989,-98.97767,55.90487,1989,1999,Wet,BS,2,58,0.65,0.55,,30.44,10.83,4.85,19.61,12.61,7,3.6,1.25,0,5.98,,
W1989,-98.97767,55.90487,1989,1999,Wet,BS,3,48,0.5,0.45,,13.64,5.2,2.07,8.44,5.12,3.32,1.37,0.7,0,3.13,,
W1989,-98.97767,55.90487,1989,1999,Wet,BS,4,39,0.35,0.3,,6.36,2.29,0.71,4.07,2.7,1.37,0.46,0.25,0,1.58,,
W1989,-98.97767,55.90487,1989,1999,Wet,BS,5,32.5,0.4,0.35,,5.57,1.96,0.68,3.61,2.44,1.17,0.54,0.14,0,1.28,,
W1989,-98.97767,55.90487,1989,1999,Wet,BS,6,60,0.55,0.5,,23.39,9.01,4.47,14.38,8.48,5.9,3.22,1.25,0,4.54,,
W1989,-98.97767,55.90487,1989,1999,Wet,BS,7,50.5,0.6,0.5,,22.58,7.94,3.43,14.64,9.6,5.04,2.51,0.92,0,4.51,,
