Tree ,species,family,light conditions,NUTRITION,growing year,trunk height cm,trunk dry mass g,Coarse root length cm,coarse root dry mass g,fine root length cm,fine root dry mass g,trunk diameter at soil level cm,leaves fresh mass g, total leaves dry mass g,total leaves area cm 2,above ground dry mass g ,below ground dry mass g ,total dry mass g,Leaf mass per area :LMA*100 g cm-2,Shoot/ root: S/R g g-1,Leaf area ratio: LAR cm2 g-1,Leaf weigh ratio: LWR g g-1,Shoot weigh ratio: SWR g g -1,Root weigh ratio: RWR g g-1,fine root/ coarse root g g-1,average minimum weight at the beginning of the experiment,Relative growth rate RGR la (l›ppkaal)-ln(algkaal)/63,log total dry mass,ln total dry mass,P (mg/g) in leaves ,C (%) in leaves,N (%) in leaves,C/N in leaves,P % in leaves,all data together P % in leaves ,NAR=RGR/LAR,leaves % of total dry mass,stem% of total dry mass,fine roots % of total dry mass,coarse roots % of total dry mass,nothing
12.1,Betula pendula,Betulaceae,1,A,1999,8,0.1201,2.5,0.0804,54,0.2816,0.2,0.244,0.1371,24.83,0.2572,0.362,0.6192,0.5522,0.7105,40.1001,0.2214,0.4154,0.5846,3.5025,0.124,0.0255,-0.208168448,-0.479325565,2.88,45.96,1.27,36.31,,0.288,0.000636561,22.1415812,19.39596785,45.4779729,12.98447806,100
12.2,Betula pendula,Betulaceae,1,A,1999,5.2,0.0651,2.4,0.0712,34,0.2086,0.2,0.245,0.174,30.9075,0.2391,0.2798,0.5189,0.563,0.8546,59.5624,0.3353,0.4608,0.5392,2.9298,0.124,0.0227,-0.28490788,-0.656024638,2.88,45.96,1.27,36.31,,0.288,0.000381472,33.53376564,12.54552582,40.19964189,13.72106665,100
12.3,Betula pendula,Betulaceae,1,A,1999,7,0.1019,1.9,0.0645,24.5,0.1876,0.25,0.114,0.1134,17.3373,0.2153,0.2521,0.4674,0.6543,0.8542,37.0899,0.2427,0.4607,0.5393,2.9085,0.124,0.0211,-0.330274909,-0.760486082,2.88,45.96,1.27,36.31,,0.288,0.000567899,24.26821886,21.79962852,40.13356537,13.79858724,100
10.1,Betula pendula,Betulaceae,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.2,Betula pendula,Betulaceae,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3,Betula pendula,Betulaceae,1,A,1999,13,0.3169,4.1,0.5038,25,0.5565,0.35,0.813,0.3922,65.14,0.7091,1.0603,1.7694,0.6022,0.6688,36.8138,0.2217,0.4008,0.5992,1.1046,0.124,0.0422,0.247837246,0.570666349,2.15,46.64,1.35,34.43,,0.215,0.001146111,22.1677173,17.90956316,31.45052666,28.47219287,100
27.1,Betula pendula,Betulaceae,1,A,2000,6.5,0.0899,2.2,0.0974,43,0.3916,0.173,,0.3223,52.4529,0.4122,0.489,0.9012,0.6145,0.843,58.2017,0.3577,0.4574,0.5426,4.0205,0.018,0.0621,-0.045165608,-0.103997657,,,1.504,,0.217,0.217,0.001067276,35.76538018,9.975284715,43.451852,10.80748311,100
27.2,Betula pendula,Betulaceae,1,A,2000,3.8,0.027,1.5,0.0284,20,0.1267,0.126,,0.1249,22.5296,0.1519,0.1551,0.307,0.5542,0.9791,73.3952,0.4068,0.4947,0.5053,4.4613,0.018,0.045,-0.512913111,-1.181026082,,,1.504,,0.217,0.217,0.000613413,40.67700671,8.795830965,41.27525123,9.25191109,100
27.3,Betula pendula,Betulaceae,1,A,2000,5.6,0.0498,2.5,0.0532,22,0.1784,0.167,,0.1736,31.6728,0.2234,0.2316,0.455,0.5482,0.9647,69.608,0.3816,0.491,0.509,3.3534,0.018,0.0513,-0.341972397,-0.787420544,,,1.504,,0.217,0.217,0.000736543,38.15615399,10.94464652,39.2073281,11.69187138,100
32.1,Betula pendula,Betulaceae,1,A,2000,4.6,0.0432,1,0.0232,22,0.1537,0.146,,0.1115,17.3665,0.1547,0.1769,0.3316,0.6423,0.8747,52.3653,0.3363,0.4666,0.5334,6.625,0.018,0.0462,-0.47933173,-1.103702097,,,1.816,,0.558,0.558,0.000883197,33.63306321,13.02613207,46.34528934,6.995515372,100
32.2,Betula pendula,Betulaceae,1,A,2000,5.5,0.0411,1.8,0.0261,24,0.0933,0.144,,0.078,15.3469,0.1191,0.1194,0.2385,0.5083,0.9976,64.3448,0.3271,0.4994,0.5006,3.5747,0.018,0.041,-0.622492569,-1.43334211,,,1.816,,0.558,0.558,0.000637449,32.70735396,17.23194861,39.11778116,10.94291627,100
32.3,Betula pendula,Betulaceae,1,A,2000,2.7,0.016,1.9,0.0205,17,0.0953,0.098,,0.0801,10.5871,0.0961,0.1158,0.2119,0.7568,0.8301,49.9575,0.3781,0.4536,0.5464,4.6488,0.018,0.0391,-0.673824006,-1.551537113,,,1.816,,0.558,0.558,0.000783474,37.80729924,7.549948499,44.96938075,9.673371514,100
9.2,Betula pendula,Betulaceae,1,B,1999,10,0.2247,2.5,0.166,20,0.4139,0.33,0.528,0.273,45.44,0.4977,0.5799,1.0776,0.6009,0.8583,42.1658,0.2534,0.4619,0.5381,2.4934,0.124,0.0343,0.032477595,0.074782425,2.75,46.22,2.02,22.87,,0.275,0.000813965,25.33751619,20.85093228,38.40765852,15.403893,100
17.2,Betula pendula,Betulaceae,1,B,1999,6.2,0.0988,2.1,0.042,25,0.1421,0.21,0.322,0.1723,33.77,0.2711,0.1841,0.4552,0.5103,1.4727,74.1834,0.3785,0.5956,0.4044,3.3833,0.124,0.0206,-0.341775497,-0.786967164,,,,,,,0.000278269,37.85467779,21.70363321,31.21544816,9.226240837,100
13.1,Betula pendula,Betulaceae,1,B,1999,14.8,0.5467,1,0.4752,45,0.8554,0.42,1.336,0.5682,105.76,1.1149,1.3306,2.4455,0.5373,0.8379,43.2465,0.2323,0.4559,0.5441,1.8001,0.124,0.0473,0.388370398,0.89425589,2.34,46.15,2,23.05,,0.234,0.001094401,23.23499513,22.35520597,34.97831203,19.43148688,100
13.2,Betula pendula,Betulaceae,1,B,1999,10.6,0.2039,2,0.2679,19,0.1911,0.28,0.848,0.3551,60.14,0.559,0.459,1.018,0.5905,1.2179,59.0765,0.3488,0.5491,0.4509,0.7133,0.124,0.0334,0.007748678,0.017841991,2.34,46.15,2,23.05,,0.234,0.000565668,34.8822568,20.02942803,18.77206325,26.31625193,100
13.3,Betula pendula,Betulaceae,1,B,1999,3.1,0.0128,4.2,0.0582,5,0.0174,0.12,0.018,0.0663,12.5378,0.0791,0.0756,0.1547,0.5292,1.0469,81.0224,0.4287,0.5115,0.4885,0.299,0.124,0.0035,-0.810385615,-1.865981837,2.34,46.15,2,23.05,,0.234,4.34E-05,42.87346534,8.271715425,11.24436316,37.61045607,100
5.1,Betula pendula,Betulaceae,1,B,2000,12.6,0.2139,2.7,0.1173,45.5,0.613,0.265,,0.5445,91.9188,0.7584,0.7303,1.4887,0.5923,1.0384,61.7461,0.3657,0.5094,0.4906,5.2259,0.018,0.0701,0.17279457,0.3978742,,,2.133,,0.307,0.307,0.001135026,36.57369284,14.36865823,41.17806216,7.879586772,100
5.2,Betula pendula,Betulaceae,1,B,2000,6.7,0.0655,2.5,0.0502,35,0.1952,0.165,,0.1554,28.4926,0.2209,0.2454,0.4663,0.5454,0.9001,61.1042,0.3333,0.4737,0.5263,3.8884,0.018,0.0517,-0.331338608,-0.762935339,,,2.133,,0.307,0.307,0.000845407,33.32556723,14.04688114,41.86185036,10.76570127,100
5.3,Betula pendula,Betulaceae,1,B,2000,8,0.0568,2.5,0.04,25,0.1387,0.143,,0.1884,37.6854,0.2452,0.1787,0.4239,0.5001,1.3724,88.8918,0.4445,0.5785,0.4215,3.4675,0.018,0.0501,-0.372688528,-0.85814705,,,2.133,,0.307,0.307,0.000564131,44.45059138,13.39790407,32.71636083,9.435143714,100
8.1,Betula pendula,Betulaceae,1,B,2000,10.6,0.1092,4.5,0.1174,28.5,0.2319,0.185,,0.3603,68.8506,0.4695,0.3493,0.8188,0.5233,1.3442,84.0845,0.4401,0.5734,0.4266,1.9753,0.018,0.0606,-0.086808327,-0.199883559,,,2.169,,0.316,0.316,0.000720647,44.00520399,13.33616516,28.32103205,14.3375988,100
8.2,Betula pendula,Betulaceae,1,B,2000,7.7,0.0659,3.4,0.0508,32,0.1144,0.162,,0.1538,31.0874,0.2197,0.1652,0.3849,0.4948,1.3299,80.7662,0.3996,0.5708,0.4292,2.252,0.018,0.0486,-0.414645159,-0.954755761,,,2.169,,0.316,0.316,0.0006019,39.95938888,17.121057,29.72153142,13.19802269,100
8.3,Betula pendula,Betulaceae,1,B,2000,9.5,0.105,3.5,0.0793,34,0.2429,0.175,,0.2372,42.3164,0.3422,0.3222,0.6644,0.5606,1.0621,63.69,0.357,0.5151,0.4849,3.0631,0.018,0.0573,-0.177562235,-0.408852156,,,2.169,,0.316,0.316,0.00089933,35.70258997,15.80343645,36.55861633,11.93535724,100
15.1,Betula pendula,Betulaceae,1,C,1999,21,0.6312,1.5,0.5903,43,1.2422,0.44,1.593,0.786,134.018,1.4172,1.8325,3.2497,0.5865,0.7734,41.2399,0.2419,0.4361,0.5639,2.1044,0.124,0.0518,0.511845306,1.17856737,2.18,46.83,1.83,25.55,,0.218,0.001257081,24.18720328,19.42324037,38.2248878,18.16466855,100
15.2,Betula pendula,Betulaceae,1,C,1999,18.5,0.4636,1.2,0.4104,35,0.669,0.38,1.212,0.6153,95.8888,1.0789,1.0794,2.1583,0.6417,0.9996,44.4276,0.2851,0.4999,0.5001,1.6301,0.124,0.0453,0.334114739,0.769327618,2.18,46.83,1.83,25.55,,0.218,0.001020672,28.50903045,21.47972358,30.9964087,19.01483727,100
15.3,Betula pendula,Betulaceae,1,C,1999,13.8,0.3409,2,0.3566,30,0.4572,0.36,0.88,0.4193,72.52,0.7602,0.8138,1.574,0.5782,0.9342,46.0726,0.2664,0.483,0.517,1.2821,0.124,0.0403,0.19701512,0.453644078,2.18,46.83,1.83,25.55,,0.218,0.000875471,26.64089133,21.65767744,29.04631894,22.65511228,100
11.1,Betula pendula,Betulaceae,1,C,1999,7,0.0932,1.5,0.104,23,0.1261,0.23,0.292,0.1474,27.03,0.2406,0.2301,0.4707,0.5452,1.0455,57.4293,0.3131,0.5111,0.4889,1.2125,0.124,0.0212,-0.327287136,-0.75360648,3.7,46.59,2.19,21.26,,0.37,0.000368671,31.31010688,19.80172607,26.79182036,22.09634669,100
11.2,Betula pendula,Betulaceae,1,C,1999,16.6,0.4709,1.9,0.5079,24,0.7106,0.4,1.292,0.6095,96.39,1.0804,1.2185,2.2989,0.6323,0.8867,41.9288,0.2651,0.47,0.53,1.3991,0.124,0.0463,0.36151974,0.832429964,3.7,46.59,2.19,21.26,,0.37,0.001105391,26.51262235,20.48372566,30.91045966,22.09319232,100
23.1,Betula pendula,Betulaceae,1,C,2000,14.1,0.2095,2.5,0.1053,23,0.2271,0.227,,0.5368,96.0077,0.7463,0.3324,1.0787,0.5591,2.2452,89.003,0.4976,0.6919,0.3081,2.1567,0.018,0.065,0.032901216,0.07575785,,,2.022,,0.279,0.279,0.000729981,49.7636665,19.42150188,21.05309344,9.761738175,100
23.2,Betula pendula,Betulaceae,1,C,2000,13.5,0.1838,3,0.0953,33,0.4009,0.206,,0.4011,79.0144,0.5849,0.4962,1.0811,0.5076,1.1788,73.0867,0.371,0.541,0.459,4.2067,0.018,0.065,0.033867973,0.077983889,,,2.022,,0.279,0.279,0.000889435,37.10140564,17.00112006,37.08242129,8.815053003,100
23.3,Betula pendula,Betulaceae,1,C,2000,13.5,0.2238,3.5,0.1772,24,0.344,0.258,,0.5327,107.2438,0.7565,0.5212,1.2777,0.4967,1.4515,83.9336,0.4169,0.5921,0.4079,1.9413,0.018,0.0677,0.106436173,0.245078345,,,2.022,,0.279,0.279,0.000806091,41.69308013,17.51555526,26.92292676,13.86843785,100
24.1,Betula pendula,Betulaceae,1,C,2000,15.3,0.2439,2.8,0.1407,37,0.4959,0.236,,0.5982,107.7651,0.8421,0.6366,1.4787,0.5551,1.3228,72.8798,0.4045,0.5695,0.4305,3.5245,0.018,0.07,0.169871303,0.391143131,,,1.946,,0.252,0.252,0.000960165,40.45325083,16.49455096,33.53689144,9.515306766,100
24.2,Betula pendula,Betulaceae,1,C,2000,12,0.1671,2.5,0.1556,49,0.5759,0.204,,0.5152,92.2415,0.6823,0.7315,1.4138,0.5585,0.9327,65.2438,0.3644,0.4826,0.5174,3.7012,0.018,0.0693,0.150386986,0.346278833,,,1.946,,0.252,0.252,0.001061625,36.44065282,11.81923761,40.73428449,11.00582508,100
24.3,Betula pendula,Betulaceae,1,C,2000,10,0.1678,3.1,0.1575,22,0.3384,0.226,,0.4807,86.0287,0.6485,0.4959,1.1444,0.5588,1.3077,75.1737,0.42,0.5667,0.4333,2.1486,0.018,0.0659,0.058577311,0.134879242,,,1.946,,0.252,0.252,0.000876755,42.00447196,14.66272353,29.57011705,13.76268746,100
16.2,Betula pendula,Betulaceae,1,D,1999,19,0.5904,1.6,0.6966,43,0.8871,0.43,1.478,0.669,107.35,1.2594,1.5837,2.8431,0.6232,0.7952,37.7582,0.2353,0.443,0.557,1.2735,0.124,0.0497,0.453791295,1.044893071,1.79,47.29,2.04,23.15,,0.179,0.001316805,23.53050517,20.7661054,31.20191751,24.50147192,100
16.3,Betula pendula,Betulaceae,1,D,1999,15.5,0.5052,1.9,0.333,30,0.5372,0.46,1.467,0.6447,102.04,1.1499,0.8702,2.0201,0.6318,1.3214,50.513,0.3191,0.5692,0.4308,1.6132,0.124,0.0443,0.305367047,0.70313361,1.79,47.29,2.04,23.15,,0.179,0.00087691,31.91334896,25.00899819,26.59309942,16.48455344,100
14.1,Betula pendula,Betulaceae,1,D,1999,17.3,0.5421,3.3,0.7214,18,0.3562,0.42,1.706,0.7716,120.3064,1.3137,1.0776,2.3913,0.6414,1.2191,50.31,0.3227,0.5494,0.4506,0.4938,0.124,0.047,0.378634039,0.871837093,2.44,47.57,2.2,21.65,0.291,0.291,0.000933674,32.26696385,22.66967889,14.89566431,30.16769295,100
14.3,Betula pendula,Betulaceae,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.3,Betula pendula,Betulaceae,1,D,1999,12.5,0.3779,3.5,0.4714,23,0.4044,0.43,1.584,0.7201,130.03,1.098,0.8758,1.9738,0.5538,1.2537,65.8789,0.3648,0.5563,0.4437,0.8579,0.124,0.0439,0.295297535,0.679947703,,,,,,,0.000666789,36.48210597,19.14605739,20.48866263,23.883174,100
13.1,Betula pendula,Betulaceae,1,D,2000,25.3,0.5483,4.1,0.2218,30,0.6344,0.336,,1.1165,243.8372,1.6648,0.8562,2.521,0.4579,1.9444,96.7215,0.4429,0.6604,0.3396,2.8602,0.018,0.0784,0.401576739,0.924664613,,,2.4,,0.265,0.265,0.000811042,44.28848039,21.74911086,25.16439163,8.798017123,100
13.2,Betula pendula,Betulaceae,1,D,2000,18.1,0.3152,3.5,0.1501,53,0.7701,0.317,,0.7603,157.4167,1.0755,0.9202,1.9957,0.483,1.1688,78.8773,0.381,0.5389,0.4611,5.1306,0.018,0.0747,0.300098671,0.691002725,,,2.4,,0.265,0.265,0.0009475,38.09739487,15.79383288,38.58766084,7.521111405,100
13.3,Betula pendula,Betulaceae,1,D,2000,17.6,0.2097,2,0.0747,17.5,0.1895,0.216,,0.5557,123.4261,0.7654,0.2642,1.0296,0.4502,2.8969,119.882,0.5397,0.7434,0.2566,2.5368,0.018,0.0642,0.012653088,0.029134812,,,2.4,,0.265,0.265,0.000535781,53.97077947,20.36785724,18.4058605,7.255502793,100
14.1,Betula pendula,Betulaceae,1,D,2000,15,0.279,2.2,0.1665,27,0.3566,0.271,,0.6905,134.5669,0.9695,0.5231,1.4926,0.5132,1.8535,90.1532,0.4626,0.6495,0.3505,2.1417,0.018,0.0701,0.173957335,0.400551566,,,2.334,,0.291,0.291,0.000777854,46.26327663,18.69161678,23.89043206,11.15467453,100
14.2,Betula pendula,Betulaceae,1,D,2000,15.2,0.3278,2,0.211,36,0.4773,0.283,,0.6422,118.4212,0.97,0.6883,1.6583,0.5423,1.4092,71.4124,0.3873,0.5849,0.4151,2.2621,0.018,0.0718,0.2196557,0.505775941,,,2.334,,0.291,0.291,0.001005374,38.72536243,19.76756835,28.78297856,12.72409067,100
14.3,Betula pendula,Betulaceae,1,D,2000,8.6,0.1506,2,0.1462,23,0.3221,0.223,,0.5084,91.3229,0.659,0.4683,1.1273,0.5567,1.4072,81.0116,0.451,0.5846,0.4154,2.2031,0.018,0.0657,0.0520328,0.119809949,,,2.334,,0.291,0.291,0.000810622,45.09806102,13.35956053,28.57313709,12.96924136,100
33.2,Betula pendula,Betulaceae,2,A,1999,4.8,0.0413,4.3,0.0511,17,0.1827,0.15,0.1768,0.107,21.43,0.1483,0.2338,0.3821,0.4995,0.6345,56.0783,0.2801,0.3882,0.6118,3.5753,0.124,0.0179,-0.417772555,-0.961956857,,,,,,,0.000318579,28.01149653,10.80743436,47.80915879,13.37191031,100
37.1,Betula pendula,Betulaceae,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.1,Betula pendula,Betulaceae,2,A,1999,8.8,0.2232,1.5,0.1888,27,0.566,0.31,0.0224,0.0186,4.81,0.2418,0.7548,0.9966,0.3864,0.3203,,,0.2426,0.7574,2.9979,0.124,0.0331,-0.001484829,-0.003418946,,,,,,,,,,,,0
48.2,Betula pendula,Betulaceae,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.3,Betula pendula,Betulaceae,2,A,1999,6.7,0.1694,4.3,0.1127,36.5,0.5049,0.3,0.1328,0.0769,14.11,0.2463,0.6176,0.8639,0.545,0.3988,,,0.2851,0.7149,4.48,0.124,0.0308,-0.063535649,-0.146296238,3.83,47.86,1.62,29.55,,0.383,,8.901677185,19.60871142,58.44414636,13.04546503,100
58.1,Betula pendula,Betulaceae,2,A,2000,5.5,0.044,2,0.0319,23,0.1438,0.14,,0.1218,41.5824,0.1658,0.1757,0.3415,0.2928,0.9434,121.7809,0.3566,0.4854,0.5146,4.5078,0.018,0.0467,-0.466669708,-1.074546713,,,1.765,,0.308,0.308,0.000383572,35.65722832,12.88612633,42.11420377,9.342441587,100
58.2,Betula pendula,Betulaceae,2,A,2000,7.4,0.0514,2.5,0.0336,35,0.1028,0.138,,0.173,41.5824,0.2244,0.1364,0.3608,0.416,1.6452,115.2504,0.4795,0.622,0.378,3.0595,0.018,0.0476,-0.442732727,-1.019429778,,,1.765,,0.308,0.308,0.000412897,47.94909136,14.24609533,28.49219067,9.312622631,100
58.3,Betula pendula,Betulaceae,2,A,2000,5,0.0252,2,0.0168,19,0.0721,0.103,,0.0653,15.2293,0.0905,0.0889,0.1794,0.4288,1.018,84.8909,0.364,0.5045,0.4955,4.2917,0.018,0.0365,-0.746181144,-1.718145579,,,1.765,,0.308,0.308,0.000429915,36.39858346,14.04693862,40.18985217,9.364625748,100
59.1,Betula pendula,Betulaceae,2,A,2000,5.4,0.0345,2,0.0225,23,0.1007,0.118,,0.125,33.7182,0.1595,0.1232,0.2827,0.3706,1.2942,119.2926,0.4421,0.5641,0.4359,4.4756,0.018,0.0437,-0.548749737,-1.263542965,,,1.572,,0.383,0.383,0.000366425,44.2067795,12.20587259,35.62699622,7.960351688,100
59.2,Betula pendula,Betulaceae,2,A,2000,5.2,0.0391,1.5,0.0196,24,0.1001,0.142,,0.0999,24.6938,0.139,0.1197,0.2587,0.4046,1.1613,95.4489,0.3862,0.5373,0.4627,5.1071,0.018,0.0423,-0.587182368,-1.352037369,,,1.572,,0.383,0.383,0.000443243,38.61915448,15.11329383,38.69157832,7.575973377,100
59.3,Betula pendula,Betulaceae,2,A,2000,4.5,0.0284,0.8,0.0123,22.5,0.0729,0.119,,0.0656,14.4242,0.094,0.0852,0.1792,0.4548,1.1033,80.4928,0.3661,0.5245,0.4755,5.9268,0.018,0.0365,-0.746665299,-1.719260388,,,1.572,,0.383,0.383,0.000453185,36.60666047,15.84833488,40.68111313,6.863891516,100
43.1,Betula pendula,Betulaceae,2,B,1999,3.6,0.0691,3.1,0.1049,21,0.2927,0.22,0.2991,0.1684,32.8635,0.2375,0.3976,0.6351,0.5123,0.5972,51.7484,0.2651,0.3739,0.6261,2.7903,0.124,0.0259,-0.197183587,-0.454031989,4.06,46.62,2.06,22.62,,0.406,0.000501033,26.51116067,10.88082022,46.08995773,16.51806138,100
43.3,Betula pendula,Betulaceae,2,B,1999,3.3,0.0499,3.5,0.1171,19,0.2409,0.17,0.3462,0.1736,41.97,0.2235,0.358,0.5815,0.4137,0.6244,72.1701,0.2986,0.3844,0.6156,2.0572,0.124,0.0245,-0.23541841,-0.542070921,4.06,46.62,2.06,22.62,,0.406,0.000339894,29.85897384,8.580625656,41.42430302,20.13609748,100
35.1,Betula pendula,Betulaceae,2,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.3,Betula pendula,Betulaceae,2,B,1999,9.5,0.1179,2.5,0.1042,18.5,0.1737,0.2,0.268,0.1828,41.33,0.3007,0.2779,0.5786,0.4423,1.0821,71.4302,0.3159,0.5197,0.4803,1.667,0.124,0.0244,-0.237616528,-0.547132276,1.28,47.28,1.35,35.03,,0.128,0.00034229,31.59429576,20.37653494,30.02039117,18.00877812,100
38.1,Betula pendula,Betulaceae,2,B,2000,14.5,0.2271,2.6,0.1218,26,0.3982,0.215,,0.5753,128.6218,0.8024,0.52,1.3224,0.4473,1.5432,97.2609,0.4351,0.6068,0.3932,3.2693,0.018,0.0682,0.121376362,0.279479403,,,1.795,,0.242,0.242,0.00070125,43.5059937,17.17278655,30.1109802,9.210239549,100
38.2,Betula pendula,Betulaceae,2,B,2000,9.6,0.0878,3,0.0687,16,0.0982,0.17,,0.2591,62.1658,0.3469,0.1669,0.5138,0.4168,2.0785,120.9907,0.5043,0.6752,0.3248,1.4294,0.018,0.0532,-0.28920046,-0.665908669,,,1.795,,0.242,0.242,0.000439687,50.42880308,17.08814719,19.11225574,13.37079399,100
38.3,Betula pendula,Betulaceae,2,B,2000,14,0.2123,3,0.1236,33,0.2454,0.263,,0.5404,123.6035,0.7527,0.369,1.1217,0.4372,2.0397,110.1966,0.4818,0.671,0.329,1.9854,0.018,0.0656,0.049862465,0.11481257,,,1.795,,0.242,0.242,0.000595212,48.17517342,18.92725044,21.87822543,11.01935071,100
40.1,Betula pendula,Betulaceae,2,B,2000,14.2,0.185,1.9,0.1018,37,0.3701,0.213,,0.4605,107.0971,0.6455,0.4719,1.1174,0.43,1.3679,95.8442,0.4121,0.5777,0.4223,3.6356,0.018,0.0655,0.048211746,0.111011648,,,1.847,,0.229,0.229,0.000683715,41.21215833,16.55617401,33.12129731,9.110370349,100
40.2,Betula pendula,Betulaceae,2,B,2000,8.2,0.0973,2.2,0.0472,19.3,0.1235,0.215,,0.247,68.5844,0.3443,0.1707,0.515,0.3601,2.017,133.1736,0.4796,0.6685,0.3315,2.6165,0.018,0.0532,-0.288192771,-0.663588378,,,1.847,,0.229,0.229,0.00039974,47.96116505,18.89320388,23.98058252,9.165048544,100
40.3,Betula pendula,Betulaceae,2,B,2000,16.8,0.2683,3.1,0.1511,44,0.5349,0.242,,0.6293,147.3471,0.8976,0.686,1.5836,0.4271,1.3084,93.0465,0.3974,0.5668,0.4332,3.54,0.018,0.0711,0.199641517,0.459691582,,,1.847,,0.229,0.229,0.000763754,39.73801868,16.9425648,33.77777828,9.541638245,100
45.2,Betula pendula,Betulaceae,2,C,1999,15.3,0.3537,2.2,0.2346,12,0.6225,0.35,1.158,0.5417,123.22,0.8954,0.8571,1.7525,0.4397,1.0447,70.3092,0.3091,0.5109,0.4891,2.6535,0.124,0.042,0.24366927,0.561069229,2.02,44.47,1.78,24.93,,0.202,0.000597936,30.91191702,20.18207379,35.51976516,13.38624403,100
36.1,Betula pendula,Betulaceae,2,C,1999,3,0.0328,1.4,0.0359,12,0.0834,0.15,0.114,0.0776,17.03,0.1104,0.1193,0.2297,0.4556,0.9254,74.1415,0.3378,0.4806,0.5194,2.3231,0.124,0.0098,-0.638846762,-1.47099903,2.64,46.75,2.08,22.49,,0.264,0.000131982,33.78201278,14.27975004,36.30887662,15.62936056,100
36.2,Betula pendula,Betulaceae,2,C,1999,18,0.3868,3,0.6695,17,0.516,0.29,1.517,0.6438,135.66,1.0306,1.1855,2.2161,0.4746,0.8694,61.2149,0.2905,0.4651,0.5349,0.7707,0.124,0.0458,0.345594671,0.795761138,2.64,46.75,2.08,22.49,,0.264,0.000747622,29.0519043,17.4538723,23.28386274,30.21036066,100
36.3,Betula pendula,Betulaceae,2,C,1999,9.6,0.1387,3,0.187,24,0.2952,0.17,0.689,0.3795,80.0669,0.5182,0.4822,1.0004,0.4739,1.0746,80.038,0.3793,0.518,0.482,1.5786,0.124,0.0331,0.000156716,0.000360851,2.64,46.75,2.08,22.49,,0.264,0.000414056,37.93240121,13.8649959,29.50934959,18.6932533,100
40.1,Betula pendula,Betulaceae,2,C,1999,13.6,0.3296,5.5,0.625,36,0.6006,0.29,1.165,0.5777,119.4293,0.9073,1.2256,2.1329,0.4837,0.7403,55.9942,0.2708,0.4254,0.5746,0.961,0.124,0.0452,0.328967755,0.75747625,3.06,46.54,2.07,22.44,,0.306,0.000806475,27.08472936,15.45323637,28.15902234,29.30301193,100
40.2,Betula pendula,Betulaceae,2,C,1999,5.1,0.0827,3.5,0.1211,17,0.2156,0.22,0.37,0.1612,38.68,0.2439,0.3367,0.5806,0.4168,0.7245,66.617,0.2777,0.4201,0.5799,1.7803,0.124,0.0245,-0.236098338,-0.543636514,3.06,46.54,2.07,22.44,,0.306,0.000367855,27.76847828,14.24307784,37.13189338,20.8565505,100
40.3,Betula pendula,Betulaceae,2,C,1999,12.2,0.2751,3.4,0.4525,18.5,0.5378,0.27,0.763,0.3561,73.23,0.6312,0.9903,1.6215,0.4863,0.6374,45.1622,0.2196,0.3893,0.6107,1.1885,0.124,0.0408,0.209914394,0.483345754,3.06,46.54,2.07,22.44,,0.306,0.000903559,21.96068721,16.96587241,33.16701629,27.90642408,100
52.1,Betula pendula,Betulaceae,2,C,2000,11.1,0.1224,3,0.0577,26,0.1619,0.172,,0.42,91.3763,0.5424,0.2196,0.762,0.4597,2.4701,119.9107,0.5512,0.7118,0.2882,2.8059,0.018,0.0595,-0.118024341,-0.271761087,,,,,,,0.000495822,55.12024818,16.06222697,21.24570708,7.571817778,100
52.2,Betula pendula,Betulaceae,2,C,2000,12.2,0.1899,3,0.0852,27,0.3268,0.212,,0.5803,139.6001,0.7702,0.412,1.1822,0.4157,1.8694,118.0853,0.4909,0.6515,0.3485,3.8357,0.018,0.0664,0.072690173,0.167375308,,,,,,,0.000562515,49.08635728,16.0633008,27.64342655,7.206915367,100
52.3,Betula pendula,Betulaceae,2,C,2000,16.5,0.2475,3,0.1215,30,0.4973,0.229,,0.6962,169.4323,0.9437,0.6188,1.5625,0.4109,1.525,108.4394,0.4456,0.604,0.396,4.093,0.018,0.0709,0.193809155,0.446262071,,,,,,,0.000653374,44.55541214,15.84039651,31.8279967,7.77619465,100
53.1,Betula pendula,Betulaceae,2,C,2000,12.8,0.1926,3,0.0985,22,0.2074,0.237,,0.5295,131.558,0.7221,0.3059,1.028,0.4025,2.3606,127.9752,0.5151,0.7024,0.2976,2.1056,0.018,0.0642,0.011991547,0.027611556,,,1.767,,0.192,0.192,0.000501709,51.50760701,18.73547621,20.17517012,9.581746659,100
