Tree ,species,family,light conditions,NUTRITION,growing year,trunk height cm,trunk dry mass g,Coarse root length cm,coarse root dry mass g,fine root length cm,fine root dry mass g,trunk diameter at soil level cm,leaves fresh mass g, total leaves dry mass g,total leaves area cm 2,above ground dry mass g ,below ground dry mass g ,total dry mass g,Leaf mass per area :LMA*100 g cm-2,Shoot/ root: S/R g g-1,Leaf area ratio: LAR cm2 g-1,Leaf weigh ratio: LWR g g-1,Shoot weigh ratio: SWR g g -1,Root weigh ratio: RWR g g-1,fine root/ coarse root g g-1,average minimum weight at the beginning of the experiment,Relative growth rate RGR la (l›ppkaal)-ln(algkaal)/63,log total dry mass,ln total dry mass,P (mg/g) in leaves ,C (%) in leaves,N (%) in leaves,C/N in leaves,P % in leaves,all data together P % in leaves ,NAR=RGR/LAR,leaves % of total dry mass,stem% of total dry mass,fine roots % of total dry mass,coarse roots % of total dry mass,nothing
57.3,Betula pubescens,Betulaceae,3,C,1999,7,0.0729,3,0.0457,17,0.0776,0.17,0.232,0.1343,42.85,0.2072,0.1233,0.3305,0.3135,1.6808,129.6349,0.4064,0.627,0.373,1.698,0.0133,0.051,-0.480771205,-1.10701661,3.98,45.68,3.12,14.62,,0.398,0.000393409,40.64323712,22.05457703,23.47647706,13.82570879,100
58.1,Betula pubescens,Betulaceae,3,C,1999,5.9,0.0351,0.8,0.0099,13,0.0514,0.15,0.206,0.0618,18.23,0.0969,0.0613,0.1582,0.3391,1.5812,115.2151,0.3907,0.6126,0.3874,5.1919,0.0133,0.0393,-0.800722866,-1.843732535,4.17,43.1,3.13,13.79,,0.417,0.00034115,39.07438808,22.18349563,32.48523291,6.256883382,100
58.2,Betula pubescens,Betulaceae,3,C,1999,4.1,0.0144,1.4,0.0047,9,0.0144,0.1,0.074,0.019,6.79,0.0334,0.0191,0.0525,0.2793,1.7469,129.4179,0.3615,0.636,0.364,3.0638,0.0133,0.0218,-1.280124553,-2.947595714,4.17,43.1,3.13,13.79,,0.417,0.000168323,36.14875636,27.44650473,27.44650473,8.958234182,100
50.1,Betula pubescens,Betulaceae,3,C,2000,3.6,0.0168,1.2,0,3.5,0.0175,0.09,,0.0366,16.5761,0.0534,0.0175,0.0709,0.2208,3.0513,233.8003,0.5162,0.7532,0.2468,,0.0371,0.0103,-1.149362674,-2.64650536,,,3.251,,0.304,0.304,4.40E-05,51.62101038,23.69583165,24.68315797,,100
50.2,Betula pubescens,Betulaceae,3,C,2000,8.1,0.0789,1.7,0.0288,11,0.0593,0.188,,0.1391,47.2693,0.218,0.0881,0.3061,0.2942,2.474,154.4429,0.4544,0.7122,0.2878,2.059,0.0371,0.0335,-0.514188841,-1.183963561,,,3.251,,0.304,0.304,0.000216875,45.43611153,25.77898683,19.37508136,9.409820287,100
54.1,Betula pubescens,Betulaceae,3,C,2000,3,0.038,1,0.0116,4.5,0.0304,0.119,,0.0819,34.1123,0.1199,0.042,0.1619,0.2402,2.8559,210.6372,0.506,0.7407,0.2593,2.6207,0.0371,0.0234,-0.790624164,-1.820479415,,,2.819,,0.532,0.532,0.000111051,50.60145567,23.46430856,18.77144685,7.162788928,100
54.2,Betula pubescens,Betulaceae,3,C,2000,8.5,0.0096,1.2,0,9.5,0.0085,0.079,,0.0273,7.4071,0.0369,0.0085,0.0454,0.3686,4.3412,163.152,0.6013,0.8128,0.1872,,0.0371,0.0032,-1.342944147,-3.092243174,,,2.819,,0.532,0.532,1.96E-05,60.13215859,21.14537445,18.72246696,,100
72.1,Betula pubescens,Betulaceae,3,D,1999,3.2,0.0184,3,0.0146,12,0.0339,0.11,0.02,0.0482,19.14,0.0666,0.0485,0.1151,0.252,1.3738,166.2473,0.4189,0.5787,0.4213,2.3219,0.0133,0.0343,-0.938812644,-2.161695999,3.39,44.81,2.85,15.72,,0.339,0.00020607,41.89162084,15.98197573,29.44505312,12.68135031,100
72.2,Betula pubescens,Betulaceae,3,D,1999,4.2,0.0382,4,0.0401,14,0.029,0.18,0.369,0.1421,51.55,0.1803,0.0691,0.2494,0.2757,2.6093,206.6964,0.5698,0.7229,0.2771,0.7232,0.0133,0.0465,-0.603104339,-1.388699062,3.39,44.81,2.85,15.72,,0.339,0.000225105,56.97666606,15.31678804,11.62792809,16.07861781,100
53.4,Betula pubescens,Betulaceae,3,D,1999,7.5,0.036,2,0.0109,7,0.02,0.11,0.062,0.0469,17.72,0.0829,0.0309,0.1138,0.2647,2.6831,155.7006,0.4122,0.7285,0.2715,1.8349,0.0133,0.0341,-0.943826665,-2.173241208,3.39,44.81,2.85,15.72,,0.339,0.000218852,41.21685982,31.63218306,17.57343503,9.577522093,100
56.1,Betula pubescens,Betulaceae,3,D,1999,1,0.0049,0.6,0,4.5,0.0101,0.09,0.016,0.0127,4.07,0.0176,0.0101,0.0277,0.3116,1.7409,147.0232,0.4581,0.6352,0.3648,,0.0133,0.0116,-1.557791402,-3.58694726,3.41,44.84,3.15,14.22,,0.341,7.91E-05,45.81455293,17.70057938,36.48486769,,100
56.2,Betula pubescens,Betulaceae,3,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.3,Betula pubescens,Betulaceae,3,D,1999,1.3,0.0031,4.5,0,6.5,0.0184,0.09,0.0579,0.005,2.23,0.061,0.0184,0.0265,0.2242,3.3169,84.1509,,,0.6943,,0.0133,0.0109,-1.576754126,-3.630610546,3.41,44.84,3.15,14.22,,0.341,0.000130035,18.86792453,11.69811321,69.43396226,,100
59.1,Betula pubescens,Betulaceae,3,D,1999,2.2,0.015,1.3,0.0166,10.5,0.0308,0.31,0.088,0.0493,11.93,0.0643,0.0474,0.1117,0.4129,1.3556,106.8456,0.4411,0.5755,0.4245,1.8554,0.0133,0.0338,-0.952116139,-2.192328429,3.81,45.24,2.39,15.63,,0.381,0.000316086,44.11429563,13.43406355,27.58461049,14.86703033,100
59.2,Betula pubescens,Betulaceae,3,D,1999,3.6,0.0186,2.8,0.017,15,0.0291,0.15,0.051,0.0401,13.7,0.0587,0.0461,0.1048,0.293,1.2741,130.6783,0.3829,0.5603,0.4397,1.7118,0.0133,0.0328,-0.979483074,-2.255343125,3.81,45.24,2.39,15.63,,0.381,0.000250785,38.28548015,17.74173214,27.75722609,16.21556163,100
43.1,Betula pubescens,Betulaceae,3,D,2000,9.5,0.0659,2.3,0.0314,16,0.0376,0.159,,0.206,73.8811,0.2719,0.069,0.3409,0.2789,3.9412,216.6948,0.6043,0.7976,0.2024,1.1975,0.0371,0.0352,-0.467315056,-1.076032683,,,,,,,0.000162478,60.43355729,19.32860322,11.02815601,9.209683478,100
43.2,Betula pubescens,Betulaceae,3,D,2000,6.2,0.0262,1.5,0.0117,8,0.0229,0.097,,0.0422,15.3917,0.0684,0.0346,0.103,0.2742,1.9769,149.434,0.4097,0.6641,0.3359,1.9573,0.0371,0.0162,-0.987162775,-2.273026291,,,,,,,0.000108463,40.97087379,25.4368932,22.23300971,11.3592233,100
43.3,Betula pubescens,Betulaceae,3,D,2000,4.5,0.0156,1.5,0.0059,5.5,0.0066,0.108,,0.0437,17.3483,0.0593,0.0125,0.0718,0.2519,4.744,241.6198,0.6086,0.8259,0.1741,1.1186,0.0371,0.0105,-1.143875556,-2.633870803,,,,,,,4.34E-05,60.86350975,21.7270195,9.192200557,8.217270195,100
46.1,Betula pubescens,Betulaceae,3,D,2000,7.7,0.0629,2,0.0257,13,0.0729,0.183,,0.1475,51.4149,0.2104,0.0986,0.309,0.2869,2.1339,166.3874,0.4774,0.6809,0.3191,2.8366,0.0371,0.0336,-0.510031559,-1.174391064,,,2.823,,0.323,0.323,0.000202219,47.73582667,20.35552014,23.59169186,8.316961328,100
86.1,Betula pubescens,Betulaceae,4,A,1999,8.6,0.0265,1,0,11,0.0228,0.1,0.059,0.0244,13.39,0.0509,0.0228,0.0737,0.182,2.231,181.7621,0.3308,0.6905,0.3095,,0.0133,0.0272,-1.13272265,-2.608190289,,42.86,2.06,20.82,,,0.000149489,33.07789863,35.97232629,30.94977507,,100
